"var","categoria","Patricia Bullrich por Juntos por el Cambio","Cristina Fernández de Kirchner por el Frente de Todos","No sabe"
"P04","Tengo trabajo estable",0.455,0.51,0.418
"P04","Realizo changas o trabajos de vez en cuando",0.184,0.154,0.276
"P04","No tengo trabajo",0.147,0.134,0.158
"P04","Soy jubilado o pensionado",0.214,0.202,0.148
"P05","1",0.387,0.218,0.25
"P05","2",0.095,0.058,0.08
"P05","3",0.085,0.016,0.046
"P05","4",0.104,0.036,0.089
"P05","5",0.197,0.131,0.29
"P05","6",0.032,0.073,0.039
"P05","7",0.03,0.14,0.062
"P05","8",0.017,0.102,0.024
"P05","9",0.053,0.226,0.12
"P06","1",0.135,0.426,0.206
"P06","2",0.034,0.084,0.054
"P06","3",0.025,0.101,0.042
"P06","4",0.037,0.041,0.043
"P06","5",0.185,0.148,0.246
"P06","6",0.061,0.047,0.047
"P06","7",0.095,0.036,0.061
"P06","8",0.104,0.032,0.046
"P06","9",0.324,0.085,0.255
"P07","1",0.194,0.587,0.331
"P07","2",0.034,0.048,0.037
"P07","3",0.032,0.037,0.034
"P07","4",0.018,0.018,0.019
"P07","5",0.122,0.064,0.089
"P07","6",0.036,0.018,0.028
"P07","7",0.052,0.015,0.047
"P07","8",0.064,0.011,0.058
"P07","9",0.448,0.202,0.357
"P09","Del Frente de Todos y el peronismo",0.056,0.812,0.107
"P09","De Juntos por el cambio",0.618,0.034,0.177
"P09","De los Liberales libertarios",0.244,0.03,0.311
"P09","De la Izquierda",0.006,0.041,0.072
"P09","No sabe",0.076,0.083,0.333
"P10","A Alberto Fernández",0.174,0.155,0.135
"P10","A Sergio Massa",0.172,0.247,0.285
"P10","A algún candidato del peronismo",0.538,0.091,0.376
"P10","A algún candidato del kirchnerismo",0.116,0.507,0.204
"P11","A Alberto Fernández",0.145,0.106,0.092
"P11","A Sergio Massa",0.212,0.118,0.225
"P11","A algún candidato del peronismo",0.501,0.075,0.455
"P11","A Cristina Fernández de Kirchner",0.142,0.701,0.228
"P12","A Horacio Rodriguez Larreta",0.185,0.454,0.501
"P12","A Mauricio Macri",0.343,0.08,0.182
"P12","A Patricia Bullrich",0.403,0.085,0.094
"P12","A Facundo Manes",0.04,0.248,0.157
"P12","A Gerardo Morales",0.029,0.133,0.066
"P13","Seguro lo votaria",0.18,0.019,0.293
"P13","Quizás lo votaría",0.374,0.121,0.224
"P13","Nunca lo votaría",0.446,0.86,0.483
"P14","Lo votaría",0.417,0.015,0.076
"P14","Puede que lo vote",0.353,0.032,0.156
"P14","Nunca lo votaría",0.175,0.882,0.618
"P14","No sabe",0.055,0.071,0.15
"P15","Lo votaría",0.064,0.246,0.051
"P15","Puede que lo vote",0.089,0.384,0.136
"P15","Nunca lo votaría",0.823,0.273,0.676
"P15","No sabe",0.024,0.097,0.137
"P16","Lo votaría",0.023,0.277,0.05
"P16","Puede que lo vote",0.024,0.405,0.127
"P16","Nunca lo votaría",0.945,0.23,0.726
"P16","No sabe",0.008,0.088,0.097
"P17","La votaría",0.025,0.761,0.045
"P17","Puede que la vote",0.008,0.134,0.059
"P17","Nunca la votaría",0.961,0.07,0.787
"P17","No sabe",0.006,0.035,0.109
"P18","Lo votaría",0.194,0.091,0.114
"P18","Puede que lo vote",0.405,0.062,0.219
"P18","Nunca lo votaría",0.344,0.81,0.509
"P18","No sabe",0.057,0.037,0.158
"P19","Lo votaría",0.082,0.03,0.117
"P19","Puede que lo vote",0.34,0.135,0.173
"P19","Nunca lo votaría",0.488,0.691,0.491
"P19","No sabe",0.09,0.144,0.219
"P20","La votaría",0.55,0.013,0.045
"P20","Puede que la vote",0.311,0.028,0.179
"P20","Nunca la votaría",0.105,0.914,0.647
"P20","No sabe",0.034,0.045,0.129
"P21","Lo votaría",0.314,0.031,0.329
"P21","Puede que lo vote",0.3,0.055,0.114
"P21","Nunca lo votaría",0.333,0.872,0.44
"P21","No sabe",0.053,0.042,0.117
"P22","La votaría",0.242,0.021,0.092
"P22","Puede que la vote",0.358,0.035,0.142
"P22","Nunca la votaría",0.309,0.88,0.581
"P22","No sabe",0.091,0.064,0.185
"P23","Lo votaría",0.042,0.351,0.035
"P23","Puede que lo vote",0.086,0.274,0.089
"P23","Nunca lo votaría",0.796,0.274,0.645
"P23","No sabe",0.076,0.101,0.231
"P24","Lo votaría",0.076,0.055,0.032
"P24","Puede que lo vote",0.261,0.091,0.101
"P24","Nunca lo votaría",0.547,0.728,0.584
"P24","No sabe",0.116,0.126,0.283
"P25","Mauricio Macri por Juntos por el Cambio",0.264,0.008,0.023
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.113,0.006,0.173
"P25","Patricia Bullrich por Juntos por el Cambio",0.346,0.008,0.021
"P25","Facundo Manes por Juntos por el Cambio",0.033,0.022,0.084
"P25","Alberto Fernández por el Frente de Todos",0.007,0.102,0.035
"P25","Cristina Fernández de Kirchner por el Frente de Todos",0.009,0.759,0.032
"P25","Javier Milei por los liberales libertarios",0.171,0.02,0.334
"P25","Nicolás del Caño por la izquierda",0.003,0.017,0.025
"P25","Otros candidatos",0.018,0.028,0.115
"P25","Aún no lo tengo decidido",0.036,0.03,0.158
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.179,0.012,0.151
"P26","Patricia Bullrich por Juntos por el Cambio",0.464,0.011,0.048
"P26","Facundo Manes por Juntos por el Cambio",0.111,0.019,0.09
"P26","Wado de Pedro por el Frente de Todos",0.003,0.387,0.053
"P26","Sergio Massa por el Frente de Todos",0.011,0.376,0.076
"P26","Javier Milei por los liberales libertarios",0.163,0.042,0.298
"P26","Nicolás del Caño por la izquierda",0.028,0.025,0.045
"P26","Otros candidatos",0.014,0.043,0.068
"P26","Aún no lo tengo decidido",0.027,0.085,0.171
"P27","Cristina Fernández de Kirchner por el Frente de Todos",0.015,0.859,0.059
"P27","Mauricio Macri por Juntos por el Cambio",0.552,0.009,0.068
"P27","Javier Milei por los liberales libertarios",0.267,0.027,0.373
"P27","Nicolás del Caño por la izquierda",0.004,0.026,0.057
"P27","Otro candidato",0.094,0.036,0.205
"P27","Aún no lo tengo decidido",0.068,0.043,0.238
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.425,0.086,0.157
"P29","Wado de Pedro por el Frente de Todos",0.062,0.63,0.031
"P29","Javier Milei por los liberales libertarios",0.317,0.047,0.391
"P29","Nicolás del Caño por la izquierda",0.003,0.038,0.038
"P29","Otro candidato",0.116,0.09,0.154
"P29","Aún no lo tengo decidido",0.077,0.109,0.229
"P31","Sergio Massa por el Frente de Todos",0.044,0.639,0.111
"P31","Patricia Bullrich por Juntos por el Cambio",0.633,0.041,0.045
"P31","Javier Milei por los liberales libertarios",0.228,0.028,0.391
"P31","Nicolás del Caño por la izquierda",0.005,0.047,0.046
"P31","Otro candidato",0.053,0.135,0.188
"P31","Aún no lo tengo decidido",0.037,0.11,0.219
"P33","Sergio Massa por el Frente de Todos",0.066,0.583,0.086
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.455,0.082,0.17
"P33","Javier Milei por los liberales libertarios",0.31,0.035,0.37
"P33","Nicolás del Caño por la izquierda",0.005,0.05,0.049
"P33","Otro candidato",0.095,0.149,0.149
"P33","Aún no lo tengo decidido",0.069,0.101,0.176
"P35","Cristina Fernández de Kirchner por el Frente de Todos",0.06,0.829,0.056
"P35","Horacio Rodríguez Larreta por Juntos por el Cambio",0.457,0.038,0.184
"P35","Javier Milei por los liberales libertarios",0.333,0.029,0.353
"P35","Nicolás del Caño por la izquierda",0.001,0.032,0.043
"P35","Otro candidato",0.101,0.038,0.167
"P35","Aún no lo tengo decidido",0.048,0.034,0.197
"P36","Sergio Massa por el Frente de Todos",0.038,0.67,0.104
"P36","Mauricio Macri por Juntos por el Cambio",0.544,0.022,0.078
"P36","Javier Milei por los liberales libertarios",0.288,0.025,0.365
"P36","Nicolás del Caño por la izquierda",0.003,0.045,0.05
"P36","Otro candidato",0.08,0.147,0.206
"P36","Aún no lo tengo decidido",0.047,0.091,0.197
"P37","Wado de Pedro por el Frente de Todos",0.022,0.71,0.047
"P37","Mauricio Macri por Juntos por el Cambio",0.569,0.014,0.068
"P37","Javier Milei por los liberales libertarios",0.275,0.04,0.372
"P37","Nicolás del Caño por la izquierda",0.007,0.037,0.05
"P37","Otro candidato",0.077,0.1,0.246
"P37","Aún no lo tengo decidido",0.05,0.099,0.217
"P38","Wado de Pedro por el Frente de Todos",0.024,0.713,0.047
"P38","Patricia Bullrich por Juntos por el Cambio",0.663,0.014,0.047
"P38","Javier Milei por los liberales libertarios",0.22,0.026,0.38
"P38","Nicolás del Caño por la izquierda",0.003,0.042,0.043
"P38","Otro candidato",0.046,0.108,0.256
"P38","Aún no lo tengo decidido",0.044,0.097,0.227
"P39","Cristina Fernández de Kirchner por el Frente de Todos",0.023,0.852,0.05
"P39","Patricia Bullrich por Juntos por el Cambio",0.676,0.016,0.042
"P39","Javier Milei por los liberales libertarios",0.221,0.024,0.401
"P39","Nicolás del Caño por la izquierda",0.007,0.03,0.046
"P39","Otro candidato",0.041,0.038,0.233
"P39","Aún no lo tengo decidido",0.032,0.04,0.228
"P40","Cristina Fernández de Kirchner por el Frente de Todos",0.098,0.856,0.066
"P40","Mauricio Macri por Juntos por el Cambio",0.744,0.113,0.162
"P40","No sabe",0.158,0.031,0.772
