"var","categoria","Seguro lo votaria","Quizás lo votaría","Nunca lo votaría"
"P04","Tengo trabajo estable",0.382,0.436,0.47
"P04","Realizo changas o trabajos de vez en cuando",0.285,0.227,0.148
"P04","No tengo trabajo",0.17,0.125,0.133
"P04","Soy jubilado o pensionado",0.163,0.212,0.249
"P05","1",0.483,0.338,0.368
"P05","2",0.042,0.094,0.061
"P05","3",0.06,0.098,0.076
"P05","4",0.05,0.092,0.1
"P05","5",0.159,0.198,0.199
"P05","6",0.022,0.036,0.051
"P05","7",0.017,0.033,0.041
"P05","8",0.025,0.032,0.019
"P05","9",0.142,0.079,0.085
"P06","1",0.277,0.144,0.171
"P06","2",0.045,0.046,0.029
"P06","3",0.024,0.023,0.031
"P06","4",0.016,0.035,0.033
"P06","5",0.123,0.193,0.244
"P06","6",0.038,0.061,0.067
"P06","7",0.049,0.103,0.099
"P06","8",0.057,0.099,0.077
"P06","9",0.371,0.296,0.249
"P07","1",0.368,0.224,0.245
"P07","2",0.035,0.037,0.045
"P07","3",0.032,0.032,0.038
"P07","4",0.027,0.014,0.022
"P07","5",0.099,0.117,0.114
"P07","6",0.015,0.04,0.034
"P07","7",0.023,0.06,0.041
"P07","8",0.017,0.049,0.06
"P07","9",0.384,0.427,0.401
"P12","A Horacio Rodriguez Larreta",0.326,0.23,0.222
"P12","A Mauricio Macri",0.272,0.378,0.279
"P12","A Patricia Bullrich",0.32,0.306,0.343
"P12","A Facundo Manes",0.042,0.052,0.086
"P12","A Gerardo Morales",0.04,0.034,0.07
"P14","Lo votaría",0.591,0.512,0.44
"P14","Puede que lo vote",0.225,0.365,0.233
"P14","Nunca lo votaría",0.14,0.085,0.282
"P14","No sabe",0.044,0.038,0.045
"P15","Lo votaría",0.103,0.085,0.084
"P15","Puede que lo vote",0.11,0.089,0.087
"P15","Nunca lo votaría",0.745,0.79,0.804
"P15","No sabe",0.042,0.036,0.025
"P16","Lo votaría",0.079,0.041,0.068
"P16","Puede que lo vote",0.046,0.055,0.041
"P16","Nunca lo votaría",0.836,0.896,0.887
"P16","No sabe",0.039,0.008,0.004
"P17","La votaría",0.088,0.032,0.077
"P17","Puede que la vote",0.025,0.037,0.018
"P17","Nunca la votaría",0.861,0.919,0.902
"P17","No sabe",0.026,0.012,0.003
"P18","Lo votaría",0.289,0.259,0.262
"P18","Puede que lo vote",0.302,0.459,0.424
"P18","Nunca lo votaría",0.333,0.236,0.273
"P18","No sabe",0.076,0.046,0.041
"P19","Lo votaría",0.147,0.079,0.144
"P19","Puede que lo vote",0.224,0.373,0.307
"P19","Nunca lo votaría",0.463,0.42,0.501
"P19","No sabe",0.166,0.128,0.048
"P20","La votaría",0.557,0.541,0.506
"P20","Puede que la vote",0.223,0.294,0.248
"P20","Nunca la votaría",0.166,0.121,0.209
"P20","No sabe",0.054,0.044,0.037
"P21","Lo votaría",0.495,0.095,0.081
"P21","Puede que lo vote",0.229,0.619,0.101
"P21","Nunca lo votaría",0.194,0.202,0.761
"P21","No sabe",0.082,0.084,0.057
"P22","La votaría",0.25,0.249,0.264
"P22","Puede que la vote",0.352,0.447,0.315
"P22","Nunca la votaría",0.3,0.216,0.339
"P22","No sabe",0.098,0.088,0.082
"P23","Lo votaría",0.026,0.05,0.047
"P23","Puede que lo vote",0.072,0.112,0.064
"P23","Nunca lo votaría",0.781,0.751,0.825
"P23","No sabe",0.121,0.087,0.064
"P24","Lo votaría",0.077,0.072,0.11
"P24","Puede que lo vote",0.211,0.298,0.287
"P24","Nunca lo votaría",0.584,0.5,0.503
"P24","No sabe",0.128,0.13,0.1
"P25","Mauricio Macri por Juntos por el Cambio",0.278,0.392,0.286
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.176,0.127,0.16
"P25","Patricia Bullrich por Juntos por el Cambio",0.266,0.332,0.326
"P25","Facundo Manes por Juntos por el Cambio",0.057,0.037,0.071
"P25","Alberto Fernández por el Frente de Todos",0.037,0.031,0.037
"P25","Cristina Fernández de Kirchner por el Frente de Todos",0.005,0.013,0.044
"P25","Javier Milei por los liberales libertarios",0.148,0.007,0.017
"P25","Nicolás del Caño por la izquierda",0.005,0.002,0
"P25","Otros candidatos",0.015,0.024,0.028
"P25","Aún no lo tengo decidido",0.013,0.035,0.031
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.242,0.272,0.217
"P26","Patricia Bullrich por Juntos por el Cambio",0.48,0.535,0.453
"P26","Facundo Manes por Juntos por el Cambio",0.073,0.084,0.168
"P26","Wado de Pedro por el Frente de Todos",0.006,0.01,0.045
"P26","Sergio Massa por el Frente de Todos",0.017,0.007,0.039
"P26","Javier Milei por los liberales libertarios",0.127,0.023,0.016
"P26","Nicolás del Caño por la izquierda",0.019,0.003,0.008
"P26","Otros candidatos",0.01,0.012,0.012
"P26","Aún no lo tengo decidido",0.026,0.054,0.042
"P27","Cristina Fernández de Kirchner por el Frente de Todos",0.059,0.022,0.067
"P27","Mauricio Macri por Juntos por el Cambio",0.517,0.711,0.644
"P27","Javier Milei por los liberales libertarios",0.306,0.059,0.054
"P27","Nicolás del Caño por la izquierda",0.002,0.002,0.01
"P27","Otro candidato",0.056,0.121,0.156
"P27","Aún no lo tengo decidido",0.06,0.085,0.069
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.426,0.556,0.579
"P29","Wado de Pedro por el Frente de Todos",0.075,0.079,0.123
"P29","Javier Milei por los liberales libertarios",0.344,0.136,0.047
"P29","Nicolás del Caño por la izquierda",0.006,0.003,0.007
"P29","Otro candidato",0.068,0.124,0.164
"P29","Aún no lo tengo decidido",0.081,0.102,0.08
"P31","Sergio Massa por el Frente de Todos",0.047,0.047,0.089
"P31","Patricia Bullrich por Juntos por el Cambio",0.584,0.744,0.716
"P31","Javier Milei por los liberales libertarios",0.273,0.08,0.032
"P31","Nicolás del Caño por la izquierda",0.001,0.011,0.005
"P31","Otro candidato",0.03,0.047,0.114
"P31","Aún no lo tengo decidido",0.065,0.071,0.044
"P33","Sergio Massa por el Frente de Todos",0.086,0.058,0.096
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.452,0.595,0.645
"P33","Javier Milei por los liberales libertarios",0.305,0.13,0.037
"P33","Nicolás del Caño por la izquierda",0,0.013,0.002
"P33","Otro candidato",0.095,0.098,0.157
"P33","Aún no lo tengo decidido",0.062,0.106,0.063
"P35","Cristina Fernández de Kirchner por el Frente de Todos",0.078,0.078,0.084
"P35","Horacio Rodríguez Larreta por Juntos por el Cambio",0.433,0.601,0.669
"P35","Javier Milei por los liberales libertarios",0.369,0.143,0.054
"P35","Nicolás del Caño por la izquierda",0,0.008,0.009
"P35","Otro candidato",0.084,0.095,0.125
"P35","Aún no lo tengo decidido",0.036,0.075,0.059
"P36","Sergio Massa por el Frente de Todos",0.046,0.033,0.089
"P36","Mauricio Macri por Juntos por el Cambio",0.534,0.733,0.655
"P36","Javier Milei por los liberales libertarios",0.308,0.076,0.054
"P36","Nicolás del Caño por la izquierda",0.012,0.012,0.001
"P36","Otro candidato",0.084,0.076,0.143
"P36","Aún no lo tengo decidido",0.016,0.07,0.058
"P37","Wado de Pedro por el Frente de Todos",0.009,0.027,0.071
"P37","Mauricio Macri por Juntos por el Cambio",0.58,0.755,0.681
"P37","Javier Milei por los liberales libertarios",0.334,0.067,0.04
"P37","Nicolás del Caño por la izquierda",0.001,0.02,0.006
"P37","Otro candidato",0.05,0.086,0.147
"P37","Aún no lo tengo decidido",0.026,0.045,0.055
"P38","Wado de Pedro por el Frente de Todos",0.055,0.017,0.05
"P38","Patricia Bullrich por Juntos por el Cambio",0.6,0.788,0.741
"P38","Javier Milei por los liberales libertarios",0.268,0.05,0.029
"P38","Nicolás del Caño por la izquierda",0.002,0.018,0.004
"P38","Otro candidato",0.037,0.065,0.116
"P38","Aún no lo tengo decidido",0.038,0.062,0.06
"P39","Cristina Fernández de Kirchner por el Frente de Todos",0.015,0.02,0.07
"P39","Patricia Bullrich por Juntos por el Cambio",0.625,0.775,0.773
"P39","Javier Milei por los liberales libertarios",0.247,0.056,0.021
"P39","Nicolás del Caño por la izquierda",0.005,0.018,0.003
"P39","Otro candidato",0.06,0.061,0.099
"P39","Aún no lo tengo decidido",0.048,0.07,0.034
"P40","Cristina Fernández de Kirchner por el Frente de Todos",0.051,0.11,0.156
"P40","Mauricio Macri por Juntos por el Cambio",0.766,0.795,0.714
"P40","No sabe",0.183,0.095,0.13
"P41","Wado de Pedro por el Frente de Todos",0.05,0.011,0.06
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.717,0.838,0.776
"P41","No sabe",0.233,0.151,0.164
"P42","Sergio Massa por el Frente de Todos",0.028,0.011,0.062
"P42","Patricia Bullrich por Juntos por el Cambio",0.865,0.885,0.826
"P42","No sabe",0.107,0.104,0.112
"P43","Sergio Massa por el Frente de Todos",0.021,0.019,0.074
"P43","Mauricio Macri por Juntos por el Cambio",0.868,0.884,0.816
"P43","No sabe",0.111,0.097,0.11
"P44","Sergio Massa por el Frente de Todos",0.015,0.02,0.074
"P44","Javier Milei por los liberales libertarios",0.761,0.664,0.352
"P44","No sabe",0.224,0.316,0.574
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.232,0.37,0.377
"P45","Javier Milei por los liberales libertarios",0.602,0.442,0.2
"P45","No sabe",0.166,0.188,0.423
"P46","Patricia Bullrich por Juntos por el Cambio",0.859,0.844,0.785
