"var","categoria","Sergio Massa por el Frente de Todos","Javier Milei por los liberales libertarios","No sabe"
"P04","Tengo trabajo estable",0.549,0.478,0.362
"P04","Realizo changas o trabajos de vez en cuando",0.154,0.223,0.178
"P04","No tengo trabajo",0.113,0.151,0.18
"P04","Soy jubilado o pensionado",0.184,0.148,0.28
"P05","1",0.205,0.369,0.337
"P05","2",0.059,0.108,0.064
"P05","3",0.018,0.094,0.043
"P05","4",0.04,0.105,0.087
"P05","5",0.154,0.193,0.224
"P05","6",0.078,0.021,0.055
"P05","7",0.139,0.029,0.056
"P05","8",0.103,0.016,0.027
"P05","9",0.204,0.065,0.107
"P06","1",0.409,0.12,0.238
"P06","2",0.08,0.035,0.05
"P06","3",0.095,0.028,0.046
"P06","4",0.04,0.032,0.045
"P06","5",0.169,0.159,0.226
"P06","6",0.049,0.054,0.06
"P06","7",0.038,0.1,0.064
"P06","8",0.025,0.118,0.054
"P06","9",0.095,0.354,0.217
"P07","1",0.567,0.183,0.333
"P07","2",0.052,0.034,0.04
"P07","3",0.046,0.03,0.023
"P07","4",0.013,0.017,0.025
"P07","5",0.063,0.118,0.106
"P07","6",0.017,0.034,0.031
"P07","7",0.016,0.058,0.034
"P07","8",0.014,0.073,0.039
"P07","9",0.212,0.453,0.369
"P09","Del Frente de Todos y el peronismo",0.817,0.046,0.167
"P09","De Juntos por el cambio",0.052,0.478,0.505
"P09","De los Liberales libertarios",0.009,0.4,0.07
"P09","De la Izquierda",0.034,0.009,0.043
"P09","No sabe",0.088,0.067,0.215
"P10","A Alberto Fernández",0.159,0.076,0.186
"P10","A Sergio Massa",0.289,0.179,0.029
"P10","A algún candidato del peronismo",0.09,0.658,0.233
"P10","A algún candidato del kirchnerismo",0.462,0.087,0.552
"P11","A Alberto Fernández",0.113,0.058,0.104
"P11","A Sergio Massa",0.171,0.103,0.021
"P11","A algún candidato del peronismo",0.07,0.75,0.216
"P11","A Cristina Fernández de Kirchner",0.646,0.089,0.659
"P12","A Horacio Rodriguez Larreta",0.386,0.206,0.2
"P12","A Mauricio Macri",0.096,0.313,0.37
"P12","A Patricia Bullrich",0.093,0.422,0.33
"P12","A Facundo Manes",0.312,0.032,0.065
"P12","A Gerardo Morales",0.113,0.027,0.035
"P13","Seguro lo votaria",0.06,0.256,0.098
"P13","Quizás lo votaría",0.171,0.451,0.279
"P13","Nunca lo votaría",0.769,0.293,0.623
"P14","Lo votaría",0.036,0.345,0.286
"P14","Puede que lo vote",0.04,0.346,0.209
"P14","Nunca lo votaría",0.854,0.257,0.39
"P14","No sabe",0.07,0.052,0.115
"P15","Lo votaría",0.304,0.047,0.046
"P15","Puede que lo vote",0.441,0.092,0.093
"P15","Nunca lo votaría",0.191,0.844,0.732
"P15","No sabe",0.064,0.017,0.129
"P16","Lo votaría",0.283,0.015,0.073
"P16","Puede que lo vote",0.436,0.022,0.093
"P16","Nunca lo votaría",0.208,0.953,0.763
"P16","No sabe",0.073,0.01,0.071
"P17","La votaría",0.721,0.016,0.162
"P17","Puede que la vote",0.143,0.004,0.042
"P17","Nunca la votaría",0.11,0.969,0.731
"P17","No sabe",0.026,0.011,0.065
"P18","Lo votaría",0.119,0.143,0.19
"P18","Puede que lo vote",0.075,0.364,0.318
"P18","Nunca lo votaría",0.768,0.444,0.37
"P18","No sabe",0.038,0.049,0.122
"P19","Lo votaría",0.048,0.07,0.101
"P19","Puede que lo vote",0.145,0.29,0.287
"P19","Nunca lo votaría",0.665,0.54,0.455
"P19","No sabe",0.142,0.1,0.157
"P20","La votaría",0.033,0.469,0.318
"P20","Puede que la vote",0.045,0.294,0.231
"P20","Nunca la votaría",0.88,0.206,0.362
"P20","No sabe",0.042,0.031,0.089
"P21","Lo votaría",0.024,0.478,0.083
"P21","Puede que lo vote",0.053,0.319,0.164
"P21","Nunca lo votaría",0.882,0.158,0.649
"P21","No sabe",0.041,0.045,0.104
"P22","La votaría",0.025,0.236,0.145
"P22","Puede que la vote",0.046,0.313,0.274
"P22","Nunca la votaría",0.866,0.36,0.443
"P22","No sabe",0.063,0.091,0.138
"P23","Lo votaría",0.366,0.033,0.065
"P23","Puede que lo vote",0.275,0.093,0.097
"P23","Nunca lo votaría",0.281,0.772,0.696
"P23","No sabe",0.078,0.102,0.142
"P24","Lo votaría",0.064,0.054,0.076
"P24","Puede que lo vote",0.115,0.211,0.212
"P24","Nunca lo votaría",0.713,0.6,0.527
"P24","No sabe",0.108,0.135,0.185
"P25","Mauricio Macri por Juntos por el Cambio",0.016,0.198,0.196
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.027,0.089,0.139
"P25","Patricia Bullrich por Juntos por el Cambio",0.013,0.303,0.19
"P25","Facundo Manes por Juntos por el Cambio",0.026,0.021,0.07
"P25","Alberto Fernández por el Frente de Todos",0.094,0.006,0.042
"P25","Cristina Fernández de Kirchner por el Frente de Todos",0.715,0.008,0.135
"P25","Javier Milei por los liberales libertarios",0.005,0.327,0.054
"P25","Nicolás del Caño por la izquierda",0.013,0.004,0.018
"P25","Otros candidatos",0.045,0.021,0.05
"P25","Aún no lo tengo decidido",0.046,0.023,0.106
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.03,0.137,0.19
"P26","Patricia Bullrich por Juntos por el Cambio",0.022,0.38,0.298
"P26","Facundo Manes por Juntos por el Cambio",0.027,0.096,0.102
"P26","Wado de Pedro por el Frente de Todos",0.363,0.004,0.091
"P26","Sergio Massa por el Frente de Todos",0.423,0.011,0.031
"P26","Javier Milei por los liberales libertarios",0.03,0.304,0.053
"P26","Nicolás del Caño por la izquierda",0.018,0.037,0.029
"P26","Otros candidatos",0.033,0.013,0.053
"P26","Aún no lo tengo decidido",0.054,0.018,0.153
"P27","Cristina Fernández de Kirchner por el Frente de Todos",0.813,0.012,0.17
"P27","Mauricio Macri por Juntos por el Cambio",0.027,0.432,0.383
"P27","Javier Milei por los liberales libertarios",0.014,0.443,0.083
"P27","Nicolás del Caño por la izquierda",0.02,0.009,0.031
"P27","Otro candidato",0.074,0.062,0.151
"P27","Aún no lo tengo decidido",0.052,0.042,0.182
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.12,0.31,0.373
"P29","Wado de Pedro por el Frente de Todos",0.64,0.044,0.112
"P29","Javier Milei por los liberales libertarios",0.024,0.519,0.083
"P29","Nicolás del Caño por la izquierda",0.026,0.004,0.032
"P29","Otro candidato",0.101,0.076,0.176
"P29","Aún no lo tengo decidido",0.089,0.047,0.224
"P31","Sergio Massa por el Frente de Todos",0.753,0.029,0.049
"P31","Patricia Bullrich por Juntos por el Cambio",0.055,0.487,0.45
"P31","Javier Milei por los liberales libertarios",0.008,0.405,0.074
"P31","Nicolás del Caño por la izquierda",0.039,0.007,0.036
"P31","Otro candidato",0.09,0.041,0.186
"P31","Aún no lo tengo decidido",0.055,0.031,0.205
"P33","Sergio Massa por el Frente de Todos",0.687,0.049,0.054
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.123,0.325,0.393
"P33","Javier Milei por los liberales libertarios",0.013,0.505,0.083
"P33","Nicolás del Caño por la izquierda",0.036,0.01,0.036
"P33","Otro candidato",0.094,0.062,0.219
"P33","Aún no lo tengo decidido",0.047,0.049,0.215
"P35","Cristina Fernández de Kirchner por el Frente de Todos",0.811,0.042,0.167
"P35","Horacio Rodríguez Larreta por Juntos por el Cambio",0.075,0.322,0.421
"P35","Javier Milei por los liberales libertarios",0.007,0.529,0.075
"P35","Nicolás del Caño por la izquierda",0.021,0,0.035
"P35","Otro candidato",0.053,0.08,0.139
"P35","Aún no lo tengo decidido",0.033,0.027,0.163
"P36","Sergio Massa por el Frente de Todos",0.786,0.022,0.046
"P36","Mauricio Macri por Juntos por el Cambio",0.04,0.418,0.396
"P36","Javier Milei por los liberales libertarios",0.003,0.473,0.077
"P36","Nicolás del Caño por la izquierda",0.032,0.007,0.037
"P36","Otro candidato",0.094,0.053,0.236
"P36","Aún no lo tengo decidido",0.045,0.027,0.208
"P37","Wado de Pedro por el Frente de Todos",0.723,0.017,0.092
