"var","categoria","Cristina Fernández de Kirchner por el Frente de Todos","Mauricio Macri por Juntos por el Cambio","No sabe"
"P04","Tengo trabajo estable",0.472,0.448,0.453
"P04","Realizo changas o trabajos de vez en cuando",0.165,0.193,0.224
"P04","No tengo trabajo",0.156,0.143,0.162
"P04","Soy jubilado o pensionado",0.207,0.216,0.161
"P05","1",0.235,0.374,0.317
"P05","2",0.066,0.095,0.066
"P05","3",0.025,0.08,0.055
"P05","4",0.048,0.101,0.087
"P05","5",0.126,0.191,0.272
"P05","6",0.063,0.032,0.05
"P05","7",0.132,0.037,0.036
"P05","8",0.09,0.015,0.026
"P05","9",0.215,0.075,0.091
"P06","1",0.441,0.134,0.172
"P06","2",0.078,0.04,0.031
"P06","3",0.087,0.028,0.046
"P06","4",0.036,0.031,0.048
"P06","5",0.146,0.177,0.255
"P06","6",0.04,0.064,0.058
"P06","7",0.043,0.103,0.057
"P06","8",0.035,0.101,0.056
"P06","9",0.094,0.322,0.277
"P07","1",0.54,0.231,0.28
"P07","2",0.048,0.036,0.038
"P07","3",0.033,0.034,0.028
"P07","4",0.01,0.024,0.02
"P07","5",0.076,0.111,0.111
"P07","6",0.015,0.037,0.035
"P07","7",0.025,0.052,0.027
"P07","8",0.023,0.05,0.065
"P07","9",0.23,0.425,0.396
"P09","Del Frente de Todos y el peronismo",0.723,0.105,0.066
"P09","De Juntos por el cambio",0.133,0.611,0.209
"P09","De los Liberales libertarios",0.023,0.224,0.361
"P09","De la Izquierda",0.041,0.004,0.043
"P09","No sabe",0.08,0.056,0.321
"P10","A Alberto Fernández",0.189,0.085,0.205
"P10","A Sergio Massa",0.217,0.283,0.39
"P10","A algún candidato del peronismo",0.11,0.345,0.234
"P10","A algún candidato del kirchnerismo",0.484,0.287,0.171
"P11","A Alberto Fernández",0.14,0.076,0.16
"P11","A Sergio Massa",0.136,0.12,0.295
"P11","A algún candidato del peronismo",0.075,0.318,0.348
"P11","A Cristina Fernández de Kirchner",0.649,0.486,0.197
"P12","A Horacio Rodriguez Larreta",0.259,0.186,0.336
"P12","A Mauricio Macri",0.222,0.381,0.135
"P12","A Patricia Bullrich",0.31,0.37,0.358
"P12","A Facundo Manes",0.127,0.035,0.12
"P12","A Gerardo Morales",0.082,0.028,0.051
"P13","Seguro lo votaria",0.076,0.184,0.26
"P13","Quizás lo votaría",0.336,0.387,0.275
"P13","Nunca lo votaría",0.588,0.429,0.465
"P14","Lo votaría",0.075,0.457,0.061
"P14","Puede que lo vote",0.061,0.333,0.202
"P14","Nunca lo votaría",0.808,0.166,0.57
"P14","No sabe",0.056,0.044,0.167
"P15","Lo votaría",0.25,0.056,0.047
"P15","Puede que lo vote",0.373,0.086,0.132
"P15","Nunca lo votaría",0.296,0.833,0.695
"P15","No sabe",0.081,0.025,0.126
"P16","Lo votaría",0.278,0.033,0.037
"P16","Puede que lo vote",0.358,0.052,0.083
"P16","Nunca lo votaría",0.293,0.902,0.797
"P16","No sabe",0.071,0.013,0.083
"P17","La votaría",0.716,0.047,0.029
"P17","Puede que la vote",0.114,0.023,0.05
"P17","Nunca la votaría",0.146,0.921,0.839
"P17","No sabe",0.024,0.009,0.082
"P18","Lo votaría",0.095,0.211,0.097
"P18","Puede que lo vote",0.096,0.387,0.276
"P18","Nunca lo votaría",0.78,0.344,0.48
"P18","No sabe",0.029,0.058,0.147
"P19","Lo votaría",0.045,0.079,0.11
"P19","Puede que lo vote",0.167,0.297,0.235
"P19","Nunca lo votaría",0.665,0.534,0.434
"P19","No sabe",0.123,0.09,0.221
"P20","La votaría",0.077,0.524,0.157
"P20","Puede que la vote",0.057,0.281,0.267
