"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires","Fernandez","Macri","Lavagna","opciones"
"Muy buena",0.06,0.059,0.061,0.058,0.048,0.068,0.076,0.066,0.059,0.056,0.054,0.085,0.101,0.05,0.024,0.097,0.082,6
"Buena",0.129,0.124,0.133,0.087,0.089,0.159,0.204,0.132,0.122,0.134,0.114,0.14,0.097,0.141,0.048,0.197,0.185,6
"Ni buena ni mala",0.294,0.276,0.313,0.215,0.313,0.29,0.328,0.339,0.292,0.259,0.285,0.304,0.223,0.308,0.239,0.34,0.368,6
"Mala",0.147,0.174,0.121,0.179,0.131,0.152,0.145,0.136,0.152,0.151,0.169,0.137,0.156,0.13,0.169,0.136,0.101,6
"Muy mala",0.27,0.288,0.253,0.301,0.305,0.255,0.195,0.219,0.253,0.334,0.293,0.203,0.342,0.269,0.439,0.159,0.104,6
"No sabe",0.1,0.079,0.119,0.16,0.114,0.076,0.052,0.108,0.122,0.066,0.085,0.131,0.081,0.102,0.081,0.071,0.16,6
"Positiva",0.189,0.183,0.194,0.145,0.137,0.227,0.28,0.198,0.181,0.19,0.168,0.225,0.198,0.191,0.072,0.294,0.267,4
"Neutra",0.294,0.276,0.313,0.215,0.313,0.29,0.328,0.339,0.292,0.259,0.285,0.304,0.223,0.308,0.239,0.34,0.368,4
"Negativa",0.417,0.462,0.374,0.48,0.436,0.407,0.34,0.355,0.405,0.485,0.462,0.34,0.498,0.399,0.608,0.295,0.205,4
"No sabe",0.1,0.079,0.119,0.16,0.114,0.076,0.052,0.108,0.122,0.066,0.085,0.131,0.081,0.102,0.081,0.071,0.16,4
