"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires","Fernandez","Macri","Lavagna","opciones"
"Muy buena",0.111,0.116,0.107,0.144,0.1,0.09,0.139,0.157,0.111,0.073,0.111,0.161,0.088,0.095,0.096,0.118,0.061,6
"Buena",0.142,0.136,0.148,0.085,0.147,0.165,0.146,0.17,0.129,0.133,0.135,0.103,0.189,0.158,0.338,0.027,0.113,6
"Ni buena ni mala",0.152,0.143,0.16,0.119,0.183,0.132,0.142,0.188,0.154,0.118,0.152,0.165,0.174,0.144,0.275,0.062,0.171,6
"Mala",0.101,0.084,0.117,0.106,0.104,0.09,0.105,0.07,0.103,0.124,0.105,0.1,0.09,0.099,0.126,0.079,0.183,6
"Muy mala",0.486,0.519,0.454,0.537,0.458,0.52,0.456,0.403,0.497,0.545,0.495,0.461,0.457,0.492,0.151,0.712,0.472,6
"No sabe",0.008,0.002,0.014,0.009,0.008,0.003,0.012,0.012,0.006,0.007,0.002,0.01,0.002,0.012,0.014,0.002,0,6
"Positiva",0.253,0.252,0.255,0.229,0.247,0.255,0.285,0.327,0.24,0.206,0.246,0.264,0.277,0.253,0.434,0.145,0.174,4
"Neutra",0.152,0.143,0.16,0.119,0.183,0.132,0.142,0.188,0.154,0.118,0.152,0.165,0.174,0.144,0.275,0.062,0.171,4
"Negativa",0.587,0.603,0.571,0.643,0.562,0.61,0.561,0.473,0.6,0.669,0.6,0.561,0.547,0.591,0.277,0.791,0.655,4
"No sabe",0.008,0.002,0.014,0.009,0.008,0.003,0.012,0.012,0.006,0.007,0.002,0.01,0.002,0.012,0.014,0.002,0,4
