"var","categoria","Wado de Pedro por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","No sabe"
"P04","Tengo trabajo estable",0.531,0.433,0.43
"P04","Realizo changas o trabajos de vez en cuando",0.125,0.193,0.238
"P04","No tengo trabajo",0.126,0.149,0.18
"P04","Soy jubilado o pensionado",0.218,0.225,0.152
"P05","1",0.218,0.354,0.344
"P05","2",0.063,0.087,0.086
"P05","3",0.017,0.076,0.063
"P05","4",0.036,0.109,0.079
"P05","5",0.113,0.218,0.217
"P05","6",0.071,0.036,0.038
"P05","7",0.165,0.029,0.035
"P05","8",0.105,0.015,0.028
"P05","9",0.212,0.076,0.11
"P06","1",0.443,0.123,0.233
"P06","2",0.091,0.038,0.034
"P06","3",0.099,0.03,0.038
"P06","4",0.045,0.032,0.036
"P06","5",0.135,0.208,0.198
"P06","6",0.038,0.067,0.05
"P06","7",0.044,0.097,0.067
"P06","8",0.026,0.098,0.068
"P06","9",0.079,0.307,0.276
"P07","1",0.613,0.215,0.277
"P07","2",0.058,0.04,0.026
"P07","3",0.045,0.032,0.022
"P07","4",0.017,0.019,0.019
"P07","5",0.062,0.114,0.11
"P07","6",0.009,0.037,0.037
"P07","7",0.016,0.047,0.043
"P07","8",0.012,0.057,0.058
"P07","9",0.168,0.439,0.408
"P09","Del Frente de Todos y el peronismo",0.826,0.053,0.176
"P09","De Juntos por el cambio",0.05,0.678,0.206
"P09","De los Liberales libertarios",0.02,0.181,0.347
"P09","De la Izquierda",0.038,0.006,0.041
"P09","No sabe",0.066,0.082,0.23
"P10","A Alberto Fernández",0.14,0.156,0.251
"P10","A Sergio Massa",0.245,0.164,0.23
"P10","A algún candidato del peronismo",0.112,0.519,0.178
"P10","A algún candidato del kirchnerismo",0.503,0.161,0.341
"P11","A Alberto Fernández",0.091,0.209,0.202
"P11","A Sergio Massa",0.129,0.099,0.209
"P11","A algún candidato del peronismo",0.078,0.52,0.193
"P11","A Cristina Fernández de Kirchner",0.702,0.172,0.396
"P12","A Horacio Rodriguez Larreta",0.269,0.225,0.144
"P12","A Mauricio Macri",0.093,0.344,0.326
"P12","A Patricia Bullrich",0.216,0.357,0.423
"P12","A Facundo Manes",0.295,0.048,0.046
"P12","A Gerardo Morales",0.127,0.026,0.061
"P13","Seguro lo votaria",0.226,0.165,0.246
"P13","Quizás lo votaría",0.098,0.39,0.323
"P13","Nunca lo votaría",0.676,0.445,0.431
"P14","Lo votaría",0.025,0.438,0.158
"P14","Puede que lo vote",0.035,0.329,0.217
"P14","Nunca lo votaría",0.866,0.189,0.504
"P14","No sabe",0.074,0.044,0.121
"P15","Lo votaría",0.258,0.062,0.073
"P15","Puede que lo vote",0.402,0.101,0.123
"P15","Nunca lo votaría",0.269,0.808,0.691
"P15","No sabe",0.071,0.029,0.113
"P16","Lo votaría",0.264,0.015,0.11
"P16","Puede que lo vote",0.441,0.038,0.087
"P16","Nunca lo votaría",0.222,0.94,0.723
"P16","No sabe",0.073,0.007,0.08
"P17","La votaría",0.77,0.008,0.169
"P17","Puede que la vote",0.112,0.022,0.062
"P17","Nunca la votaría",0.082,0.963,0.712
"P17","No sabe",0.036,0.007,0.057
"P18","Lo votaría",0.108,0.261,0.025
"P18","Puede que lo vote",0.053,0.45,0.199
"P18","Nunca lo votaría",0.808,0.231,0.661
"P18","No sabe",0.031,0.058,0.115
"P19","Lo votaría",0.044,0.109,0.058
"P19","Puede que lo vote",0.132,0.354,0.181
"P19","Nunca lo votaría",0.703,0.439,0.58
"P19","No sabe",0.121,0.098,0.181
"P20","La votaría",0.044,0.512,0.209
"P20","Puede que la vote",0.032,0.294,0.235
"P20","Nunca la votaría",0.891,0.162,0.461
"P20","No sabe",0.033,0.032,0.095
"P21","Lo votaría",0.041,0.239,0.362
"P21","Puede que lo vote",0.033,0.311,0.181
"P21","Nunca lo votaría",0.898,0.39,0.364
"P21","No sabe",0.028,0.06,0.093
"P22","La votaría",0.029,0.261,0.076
"P22","Puede que la vote",0.03,0.375,0.183
"P22","Nunca la votaría",0.896,0.266,0.593
"P22","No sabe",0.045,0.098,0.148
"P23","Lo votaría",0.413,0.038,0.016
"P23","Puede que lo vote",0.292,0.09,0.092
"P23","Nunca lo votaría",0.224,0.789,0.717
"P23","No sabe",0.071,0.083,0.175
"P24","Lo votaría",0.069,0.072,0.038
"P24","Puede que lo vote",0.096,0.291,0.112
"P24","Nunca lo votaría",0.741,0.509,0.654
"P24","No sabe",0.094,0.128,0.196
"P25","Mauricio Macri por Juntos por el Cambio",0.014,0.274,0.089
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.007,0.183,0.023
"P25","Patricia Bullrich por Juntos por el Cambio",0.022,0.302,0.149
"P25","Facundo Manes por Juntos por el Cambio",0.02,0.045,0.044
"P25","Alberto Fernández por el Frente de Todos",0.071,0.006,0.089
"P25","Cristina Fernández de Kirchner por el Frente de Todos",0.769,0.011,0.103
"P25","Javier Milei por los liberales libertarios",0.012,0.124,0.312
"P25","Nicolás del Caño por la izquierda",0.015,0.003,0.016
"P25","Otros candidatos",0.03,0.02,0.068
"P25","Aún no lo tengo decidido",0.04,0.032,0.107
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.007,0.252,0.043
"P26","Patricia Bullrich por Juntos por el Cambio",0.019,0.439,0.199
"P26","Facundo Manes por Juntos por el Cambio",0.012,0.114,0.081
"P26","Wado de Pedro por el Frente de Todos",0.453,0.005,0.023
"P26","Sergio Massa por el Frente de Todos",0.366,0.014,0.103
"P26","Javier Milei por los liberales libertarios",0.037,0.119,0.289
"P26","Nicolás del Caño por la izquierda",0.019,0.021,0.047
"P26","Otros candidatos",0.03,0.013,0.062
"P26","Aún no lo tengo decidido",0.057,0.023,0.153
"P27","Cristina Fernández de Kirchner por el Frente de Todos",0.867,0.018,0.164
"P27","Mauricio Macri por Juntos por el Cambio",0.02,0.58,0.157
"P27","Javier Milei por los liberales libertarios",0.013,0.218,0.366
