"var","categoria","Sergio Massa por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","No sabe"
"P04","Tengo trabajo estable",0.516,0.441,0.428
"P04","Realizo changas o trabajos de vez en cuando",0.146,0.194,0.229
"P04","No tengo trabajo",0.129,0.153,0.188
"P04","Soy jubilado o pensionado",0.209,0.212,0.155
"P05","1",0.217,0.385,0.281
"P05","2",0.06,0.093,0.076
"P05","3",0.019,0.079,0.052
"P05","4",0.039,0.106,0.078
"P05","5",0.145,0.206,0.206
"P05","6",0.073,0.03,0.05
"P05","7",0.143,0.028,0.066
"P05","8",0.098,0.015,0.04
"P05","9",0.206,0.058,0.151
"P06","1",0.414,0.125,0.279
"P06","2",0.082,0.034,0.051
"P06","3",0.103,0.025,0.048
"P06","4",0.044,0.035,0.035
"P06","5",0.16,0.19,0.201
"P06","6",0.039,0.064,0.054
"P06","7",0.037,0.099,0.056
"P06","8",0.025,0.108,0.046
"P06","9",0.096,0.32,0.23
"P07","1",0.556,0.205,0.355
"P07","2",0.052,0.035,0.034
"P07","3",0.05,0.029,0.02
"P07","4",0.013,0.021,0.021
"P07","5",0.064,0.117,0.101
"P07","6",0.01,0.041,0.03
"P07","7",0.014,0.051,0.04
"P07","8",0.022,0.06,0.047
"P07","9",0.219,0.441,0.352
"P09","Del Frente de Todos y el peronismo",0.792,0.042,0.263
"P09","De Juntos por el cambio",0.049,0.647,0.161
"P09","De los Liberales libertarios",0.03,0.239,0.262
"P09","De la Izquierda",0.033,0.003,0.062
"P09","No sabe",0.096,0.069,0.252
"P10","A Alberto Fernández",0.159,0.094,0.184
"P10","A Sergio Massa",0.293,0.122,0.076
"P10","A algún candidato del peronismo",0.102,0.666,0.159
"P10","A algún candidato del kirchnerismo",0.446,0.118,0.581
"P11","A Alberto Fernández",0.116,0.094,0.136
"P11","A Sergio Massa",0.173,0.07,0.052
"P11","A algún candidato del peronismo",0.073,0.651,0.163
"P11","A Cristina Fernández de Kirchner",0.638,0.185,0.649
"P12","A Horacio Rodriguez Larreta",0.462,0.188,0.288
"P12","A Mauricio Macri",0.024,0.349,0.288
"P12","A Patricia Bullrich",0.086,0.399,0.215
"P12","A Facundo Manes",0.22,0.042,0.127
"P12","A Gerardo Morales",0.208,0.022,0.082
"P13","Seguro lo votaria",0.138,0.185,0.182
"P13","Quizás lo votaría",0.107,0.379,0.352
"P13","Nunca lo votaría",0.755,0.436,0.466
"P14","Lo votaría",0.036,0.439,0.079
"P14","Puede que lo vote",0.04,0.339,0.159
"P14","Nunca lo votaría",0.853,0.174,0.624
"P14","No sabe",0.071,0.048,0.138
"P15","Lo votaría",0.308,0.053,0.031
"P15","Puede que lo vote",0.442,0.082,0.121
"P15","Nunca lo votaría",0.197,0.842,0.683
"P15","No sabe",0.053,0.023,0.165
"P16","Lo votaría",0.293,0.015,0.1
"P16","Puede que lo vote",0.425,0.026,0.13
"P16","Nunca lo votaría",0.217,0.954,0.657
"P16","No sabe",0.065,0.005,0.113
"P17","La votaría",0.705,0.019,0.25
"P17","Puede que la vote",0.134,0.009,0.07
"P17","Nunca la votaría",0.124,0.969,0.602
"P17","No sabe",0.037,0.003,0.078
"P18","Lo votaría",0.114,0.212,0.062
"P18","Puede que lo vote",0.073,0.405,0.213
"P18","Nunca lo votaría",0.771,0.329,0.602
"P18","No sabe",0.042,0.054,0.123
"P19","Lo votaría",0.044,0.094,0.078
"P19","Puede que lo vote",0.145,0.327,0.194
"P19","Nunca lo votaría",0.667,0.488,0.539
"P19","No sabe",0.144,0.091,0.189
"P20","La votaría",0.032,0.551,0.074
"P20","Puede que la vote",0.038,0.321,0.174
"P20","Nunca la votaría",0.894,0.1,0.634
"P20","No sabe",0.036,0.028,0.118
"P21","Lo votaría",0.046,0.305,0.27
"P21","Puede que lo vote",0.06,0.298,0.149
"P21","Nunca lo votaría",0.853,0.345,0.475
"P21","No sabe",0.041,0.052,0.106
"P22","La votaría",0.035,0.244,0.066
"P22","Puede que la vote",0.046,0.359,0.157
"P22","Nunca la votaría",0.851,0.309,0.62
"P22","No sabe",0.068,0.088,0.157
"P23","Lo votaría",0.36,0.034,0.071
"P23","Puede que lo vote",0.261,0.084,0.139
"P23","Nunca lo votaría",0.292,0.809,0.596
"P23","No sabe",0.087,0.073,0.194
"P24","Lo votaría",0.067,0.073,0.033
"P24","Puede que lo vote",0.11,0.267,0.103
"P24","Nunca lo votaría",0.704,0.548,0.64
"P24","No sabe",0.119,0.112,0.224
"P25","Mauricio Macri por Juntos por el Cambio",0.017,0.272,0.043
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.027,0.121,0.087
"P25","Patricia Bullrich por Juntos por el Cambio",0.013,0.339,0.06
"P25","Facundo Manes por Juntos por el Cambio",0.02,0.034,0.066
"P25","Alberto Fernández por el Frente de Todos",0.108,0.008,0.059
"P25","Cristina Fernández de Kirchner por el Frente de Todos",0.688,0.011,0.208
"P25","Javier Milei por los liberales libertarios",0.019,0.165,0.273
"P25","Nicolás del Caño por la izquierda",0.016,0.003,0.02
"P25","Otros candidatos",0.047,0.015,0.063
"P25","Aún no lo tengo decidido",0.045,0.032,0.121
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.03,0.183,0.101
"P26","Patricia Bullrich por Juntos por el Cambio",0.015,0.48,0.07
"P26","Facundo Manes por Juntos por el Cambio",0.025,0.1,0.092
"P26","Wado de Pedro por el Frente de Todos",0.354,0.004,0.133
"P26","Sergio Massa por el Frente de Todos",0.43,0.013,0.043
"P26","Javier Milei por los liberales libertarios",0.038,0.168,0.233
"P26","Nicolás del Caño por la izquierda",0.016,0.023,0.056
"P26","Otros candidatos",0.039,0.007,0.075
"P26","Aún no lo tengo decidido",0.053,0.022,0.197
"P27","Cristina Fernández de Kirchner por el Frente de Todos",0.794,0.021,0.261
"P27","Mauricio Macri por Juntos por el Cambio",0.023,0.565,0.089
"P27","Javier Milei por los liberales libertarios",0.039,0.263,0.292
"P27","Nicolás del Caño por la izquierda",0.02,0.004,0.046
"P27","Otro candidato",0.073,0.083,0.133
"P27","Aún no lo tengo decidido",0.051,0.064,0.179
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.109,0.438,0.126
"P29","Wado de Pedro por el Frente de Todos",0.628,0.064,0.132
"P29","Javier Milei por los liberales libertarios",0.042,0.316,0.325
"P29","Nicolás del Caño por la izquierda",0.032,0.003,0.035
"P29","Otro candidato",0.097,0.1,0.158
"P29","Aún no lo tengo decidido",0.092,0.079,0.224
"P31","Sergio Massa por el Frente de Todos",0.745,0.038,0.067
"P31","Patricia Bullrich por Juntos por el Cambio",0.058,0.653,0.082
"P31","Javier Milei por los liberales libertarios",0.023,0.221,0.317
"P31","Nicolás del Caño por la izquierda",0.035,0.004,0.053
"P31","Otro candidato",0.077,0.049,0.222
"P31","Aún no lo tengo decidido",0.062,0.035,0.259
"P33","Sergio Massa por el Frente de Todos",0.692,0.055,0.053
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.113,0.466,0.129
"P33","Javier Milei por los liberales libertarios",0.031,0.311,0.308
"P33","Nicolás del Caño por la izquierda",0.035,0.005,0.057
"P33","Otro candidato",0.08,0.092,0.224
"P33","Aún no lo tengo decidido",0.049,0.071,0.229
"P35","Cristina Fernández de Kirchner por el Frente de Todos",0.793,0.048,0.232
"P35","Horacio Rodríguez Larreta por Juntos por el Cambio",0.072,0.485,0.123
"P35","Javier Milei por los liberales libertarios",0.02,0.331,0.31
"P35","Nicolás del Caño por la izquierda",0.022,0.001,0.043
"P35","Otro candidato",0.06,0.09,0.121
"P35","Aún no lo tengo decidido",0.033,0.045,0.171
"P36","Sergio Massa por el Frente de Todos",0.784,0.025,0.067
"P36","Mauricio Macri por Juntos por el Cambio",0.035,0.57,0.08
"P36","Javier Milei por los liberales libertarios",0.019,0.281,0.303
"P36","Nicolás del Caño por la izquierda",0.033,0.002,0.063
"P36","Otro candidato",0.091,0.072,0.249
"P36","Aún no lo tengo decidido",0.038,0.05,0.238
