"var","categoria","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por los liberales libertarios","No sabe"
"P04","Tengo trabajo estable",0.498,0.484,0.425
"P04","Realizo changas o trabajos de vez en cuando",0.169,0.236,0.161
"P04","No tengo trabajo",0.11,0.16,0.156
"P04","Soy jubilado o pensionado",0.223,0.12,0.258
"P05","1",0.274,0.383,0.278
"P05","2",0.069,0.11,0.061
"P05","3",0.043,0.099,0.029
"P05","4",0.071,0.095,0.075
"P05","5",0.2,0.189,0.187
"P05","6",0.059,0.016,0.065
"P05","7",0.088,0.034,0.088
"P05","8",0.068,0.017,0.052
"P05","9",0.128,0.057,0.165
"P06","1",0.27,0.12,0.323
"P06","2",0.069,0.03,0.061
"P06","3",0.08,0.022,0.056
"P06","4",0.037,0.033,0.046
"P06","5",0.188,0.155,0.207
"P06","6",0.062,0.047,0.055
"P06","7",0.075,0.094,0.045
"P06","8",0.048,0.121,0.047
"P06","9",0.171,0.378,0.16
"P07","1",0.374,0.186,0.458
"P07","2",0.049,0.027,0.047
"P07","3",0.055,0.024,0.024
"P07","4",0.015,0.016,0.024
"P07","5",0.092,0.122,0.082
"P07","6",0.021,0.032,0.031
"P07","7",0.032,0.056,0.029
"P07","8",0.039,0.073,0.028
"P07","9",0.323,0.464,0.277
"P09","Del Frente de Todos y el peronismo",0.408,0.065,0.441
"P09","De Juntos por el cambio",0.436,0.381,0.294
"P09","De los Liberales libertarios",0.029,0.478,0.042
"P09","De la Izquierda",0.022,0.011,0.046
"P09","No sabe",0.105,0.065,0.177
"P10","A Alberto Fernández",0.196,0.168,0.13
"P10","A Sergio Massa",0.283,0.171,0.218
"P10","A algún candidato del peronismo",0.11,0.401,0.146
"P10","A algún candidato del kirchnerismo",0.411,0.26,0.506
"P11","A Alberto Fernández",0.108,0.207,0.093
"P11","A Sergio Massa",0.179,0.095,0.115
"P11","A algún candidato del peronismo",0.121,0.479,0.105
"P11","A Cristina Fernández de Kirchner",0.592,0.219,0.687
"P12","A Horacio Rodriguez Larreta",0.275,0.165,0.207
"P12","A Mauricio Macri",0.281,0.333,0.363
"P12","A Patricia Bullrich",0.342,0.422,0.33
"P12","A Facundo Manes",0.068,0.049,0.061
"P12","A Gerardo Morales",0.034,0.031,0.039
"P13","Seguro lo votaria",0.121,0.303,0.103
"P13","Quizás lo votaría",0.382,0.442,0.23
"P13","Nunca lo votaría",0.497,0.255,0.667
"P14","Lo votaría",0.246,0.306,0.169
"P14","Puede que lo vote",0.178,0.335,0.143
"P14","Nunca lo votaría",0.518,0.291,0.594
"P14","No sabe",0.058,0.068,0.094
"P15","Lo votaría",0.177,0.052,0.136
"P15","Puede que lo vote",0.234,0.102,0.233
"P15","Nunca lo votaría",0.542,0.821,0.513
"P15","No sabe",0.047,0.025,0.118
"P16","Lo votaría",0.159,0.024,0.148
"P16","Puede que lo vote",0.207,0.028,0.246
"P16","Nunca lo votaría",0.584,0.936,0.529
"P16","No sabe",0.05,0.012,0.077
"P17","La votaría",0.367,0.029,0.395
"P17","Puede que la vote",0.064,0.016,0.083
"P17","Nunca la votaría",0.553,0.943,0.462
"P17","No sabe",0.016,0.012,0.06
"P18","Lo votaría",0.24,0.095,0.13
"P18","Puede que lo vote",0.261,0.335,0.212
"P18","Nunca lo votaría",0.449,0.515,0.566
"P18","No sabe",0.05,0.055,0.092
"P19","Lo votaría",0.08,0.067,0.076
"P19","Puede que lo vote",0.264,0.255,0.231
"P19","Nunca lo votaría",0.537,0.579,0.535
"P19","No sabe",0.119,0.099,0.158
"P20","La votaría",0.287,0.433,0.189
"P20","Puede que la vote",0.149,0.3,0.156
"P20","Nunca la votaría",0.522,0.236,0.573
"P20","No sabe",0.042,0.031,0.082
"P21","Lo votaría",0.075,0.539,0.055
"P21","Puede que lo vote",0.182,0.313,0.095
"P21","Nunca lo votaría",0.696,0.111,0.757
"P21","No sabe",0.047,0.037,0.093
"P22","La votaría",0.161,0.201,0.088
"P22","Puede que la vote",0.238,0.279,0.162
"P22","Nunca la votaría",0.52,0.423,0.637
"P22","No sabe",0.081,0.097,0.113
"P23","Lo votaría",0.205,0.038,0.178
"P23","Puede que lo vote",0.17,0.097,0.174
"P23","Nunca lo votaría",0.559,0.769,0.497
"P23","No sabe",0.066,0.096,0.151
"P24","Lo votaría",0.074,0.056,0.061
"P24","Puede que lo vote",0.223,0.19,0.147
"P24","Nunca lo votaría",0.581,0.632,0.612
"P24","No sabe",0.122,0.122,0.18
"P25","Mauricio Macri por Juntos por el Cambio",0.164,0.171,0.106
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.132,0.054,0.084
"P25","Patricia Bullrich por Juntos por el Cambio",0.161,0.268,0.132
"P25","Facundo Manes por Juntos por el Cambio",0.041,0.03,0.044
"P25","Alberto Fernández por el Frente de Todos",0.068,0.007,0.053
"P25","Cristina Fernández de Kirchner por el Frente de Todos",0.327,0.023,0.398
"P25","Javier Milei por los liberales libertarios",0.011,0.403,0.021
"P25","Nicolás del Caño por la izquierda",0.009,0.005,0.018
"P25","Otros candidatos",0.041,0.011,0.058
"P25","Aún no lo tengo decidido",0.046,0.028,0.086
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.178,0.095,0.1
"P26","Patricia Bullrich por Juntos por el Cambio",0.254,0.34,0.176
"P26","Facundo Manes por Juntos por el Cambio",0.073,0.088,0.078
"P26","Wado de Pedro por el Frente de Todos",0.169,0.012,0.219
"P26","Sergio Massa por el Frente de Todos",0.2,0.013,0.197
"P26","Javier Milei por los liberales libertarios",0.031,0.368,0.028
"P26","Nicolás del Caño por la izquierda",0.013,0.056,0.019
"P26","Otros candidatos",0.033,0.011,0.049
"P26","Aún no lo tengo decidido",0.049,0.017,0.134
"P27","Cristina Fernández de Kirchner por el Frente de Todos",0.399,0.027,0.445
"P27","Mauricio Macri por Juntos por el Cambio",0.346,0.336,0.24
"P27","Javier Milei por los liberales libertarios",0.038,0.537,0.038
"P27","Nicolás del Caño por la izquierda",0.02,0.007,0.029
"P27","Otro candidato",0.119,0.052,0.112
"P27","Aún no lo tengo decidido",0.078,0.041,0.136
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.393,0.196,0.257
"P29","Wado de Pedro por el Frente de Todos",0.344,0.04,0.335
"P29","Javier Milei por los liberales libertarios",0.024,0.64,0.046
"P29","Nicolás del Caño por la izquierda",0.016,0.003,0.037
"P29","Otro candidato",0.133,0.078,0.134
"P29","Aún no lo tengo decidido",0.09,0.043,0.191
