"var","categoria","Gran excedente habitual","Gran excedente excepcional","Pequeño excedente habitual","Pequeño excedente excepcional","Alcanza gastos familia","No alcanza gastos familia","Solo NBFamiliares","No alcanza NBFamiliares","No sabe"
"P05","Si",0.229,0.285,0.102,0.124,0.106,0.192,0.131,0.449,0.138
"P05","No",0.771,0.715,0.898,0.876,0.894,0.808,0.869,0.551,0.862
"P06","Robo en vivienda, en su presencia",0.562,0.46,0.196,0.659,0.325,0.417,0.405,0.343,0.266
"P06","Robo en vivienda, en su ausencia",0,0,0.292,0.136,0.093,0.226,0.226,0.17,0
"P06","Robo de auto",0.074,0.374,0.09,0.034,0.105,0.06,0.102,0.048,0
"P06","Robo de moto",0,0,0,0.024,0.015,0.012,0.027,0.036,0
"P06","Robo de bicicleta",0.206,0,0.014,0.016,0.069,0.043,0.058,0.074,0
"P06","Vandalismo, como pintura de paredes, rotura de vidrios, o similares",0,0,0.256,0.043,0.137,0.044,0.068,0.092,0.115
"P06","Otro tipo de delito a la propiedad",0.158,0.166,0.152,0.088,0.256,0.198,0.114,0.237,0.619
"P07","Muy seguro",0.489,0.495,0.168,0.119,0.133,0.086,0.104,0.112,0.15
"P07","Algo seguro",0.209,0.19,0.409,0.427,0.373,0.425,0.36,0.322,0.273
"P07","Seguro",0.118,0.037,0.162,0.16,0.188,0.099,0.115,0.093,0.225
"P07","Algo inseguro",0.052,0.204,0.14,0.185,0.168,0.171,0.197,0.166,0.179
"P07","Inseguro",0.038,0.074,0.096,0.074,0.098,0.133,0.134,0.183,0.152
"P07","Muy inseguro",0.094,0,0.025,0.035,0.04,0.086,0.09,0.124,0.021
"P08","Han aumentado en el último mes",0.352,0.179,0.256,0.227,0.282,0.382,0.378,0.531,0.329
"P08","Han disminuido en el ultimo mes",0.218,0.14,0.066,0.135,0.108,0.066,0.119,0.081,0.007
"P08","Se mantienen igual que el mes anterior",0.275,0.535,0.496,0.467,0.44,0.357,0.321,0.244,0.282
"P08","No sabe",0.155,0.146,0.182,0.171,0.17,0.195,0.182,0.144,0.382
"P09","Si",0.122,0.326,0.066,0.096,0.118,0.247,0.203,0.344,0.171
"P09","No",0.878,0.674,0.934,0.904,0.882,0.753,0.797,0.656,0.829
"P10","Hurto",0.293,0.531,0.511,0.237,0.439,0.399,0.373,0.388,0.221
"P10","Robo con violencia",0.169,0.469,0.102,0.171,0.216,0.181,0.182,0.262,0.097
"P10","Agresión física",0,0,0,0,0.016,0.057,0.03,0.072,0
"P10","Acoso verbal o intimidación",0.538,0,0.132,0.031,0.17,0.123,0.137,0.099,0.334
"P10","Otros delitos en la vía pública",0,0,0.255,0.561,0.159,0.24,0.278,0.179,0.348
"P11","Muy seguro",0.472,0.302,0.111,0.124,0.124,0.084,0.088,0.092,0.193
"P11","Algo seguro",0.175,0.255,0.364,0.363,0.359,0.345,0.378,0.326,0.324
"P11","Seguro",0.156,0,0.126,0.199,0.177,0.11,0.117,0.088,0.123
"P11","Algo inseguro",0.095,0.262,0.232,0.166,0.211,0.193,0.188,0.192,0.137
"P11","Inseguro",0.061,0.181,0.139,0.098,0.09,0.16,0.159,0.183,0.196
"P11","Muy inseguro",0.041,0,0.028,0.05,0.039,0.108,0.07,0.119,0.027
"P12","Han aumentado en el último mes",0.374,0.189,0.214,0.203,0.257,0.374,0.351,0.457,0.331
"P12","Han disminuido en el último mes",0.134,0.117,0.073,0.068,0.08,0.08,0.104,0.08,0.062
"P12","Se mantienen igual que el mes anterior",0.376,0.487,0.448,0.475,0.466,0.376,0.357,0.265,0.232
"P12","No sabe",0.116,0.207,0.265,0.254,0.197,0.17,0.188,0.198,0.375
"P13","Mayor presencia de policía en las calles",0.301,0.185,0.148,0.141,0.233,0.216,0.23,0.289,0.183
"P13","Presencia de Gendarmería en las calles",0.221,0.061,0.093,0.044,0.054,0.116,0.141,0.186,0.111
"P13","Cámaras de seguridad en el espacio público como calles, plazas, parques, y similares",0.067,0.027,0.143,0.163,0.132,0.21,0.152,0.125,0.148
