"var","categoria","Hurto","Robo con violencia","Agresión física","Acoso verbal o intimidación","Otros delitos en la vía pública"
"P04","Gran excedente habitual",0.004,0.003,0,0.02,0
"P04","Gran excedente excepcional",0.004,0.007,0,0,0
"P04","Pequeño excedente habitual",0.022,0.008,0,0.018,0.019
"P04","Pequeño excedente excepcional",0.015,0.019,0,0.006,0.061
"P04","Alcanza gastos familia",0.073,0.064,0.02,0.092,0.046
"P04","No alcanza gastos familia",0.21,0.168,0.22,0.21,0.221
"P04","Solo NBFamiliares",0.2,0.172,0.118,0.237,0.26
"P04","No alcanza NBFamiliares",0.466,0.554,0.642,0.386,0.376
"P04","No sabe",0.006,0.005,0,0.031,0.017
"P05","Si",0.468,0.585,0.697,0.418,0.352
"P05","No",0.532,0.415,0.303,0.582,0.648
"P06","Robo en vivienda, en su presencia",0.572,0.5,0.374,0.485,0.228
"P06","Robo en vivienda, en su ausencia",0.203,0.152,0.288,0.151,0.206
"P06","Robo de auto",0.067,0.042,0.055,0.024,0.146
"P06","Robo de moto",0.024,0.038,0.025,0,0
"P06","Robo de bicicleta",0.028,0.095,0.168,0.122,0.151
"P06","Vandalismo, como pintura de paredes, rotura de vidrios, o similares",0.032,0.035,0.009,0.068,0.071
"P06","Otro tipo de delito a la propiedad",0.074,0.138,0.081,0.15,0.198
"P07","Muy seguro",0.121,0.073,0.186,0.11,0.085
"P07","Algo seguro",0.277,0.244,0.139,0.289,0.387
"P07","Seguro",0.048,0.011,0,0.054,0.084
"P07","Algo inseguro",0.184,0.118,0.167,0.173,0.084
"P07","Inseguro",0.191,0.277,0.292,0.195,0.209
"P07","Muy inseguro",0.179,0.277,0.216,0.179,0.151
"P08","Han aumentado en el último mes",0.71,0.747,0.806,0.854,0.82
"P08","Han disminuido en el ultimo mes",0.06,0.048,0,0.022,0.032
"P08","Se mantienen igual que el mes anterior",0.149,0.132,0.104,0.053,0.118
"P08","No sabe",0.081,0.073,0.09,0.071,0.03
"P11","Muy seguro",0.25,0.022,0.017,0.031,0.082
"P11","Algo seguro",0.081,0.307,0.072,0.089,0.061
"P11","Seguro",0.022,0.04,0.311,0.016,0.052
"P11","Algo inseguro",0.198,0.108,0.136,0.537,0.164
"P11","Inseguro",0.24,0.196,0.197,0.131,0.499
"P11","Muy inseguro",0.209,0.327,0.267,0.196,0.142
"P12","Han aumentado en el último mes",0.664,0.718,0.741,0.56,0.585
"P12","Han disminuido en el último mes",0.024,0.032,0.018,0.053,0.068
"P12","Se mantienen igual que el mes anterior",0.157,0.182,0.137,0.226,0.196
"P12","No sabe",0.155,0.068,0.104,0.161,0.151
"P13","Mayor presencia de policía en las calles",0.444,0.24,0.444,0.227,0.32
"P13","Presencia de Gendarmería en las calles",0.142,0.259,0.138,0.14,0.122
"P13","Cámaras de seguridad en el espacio público como calles, plazas, parques, y similares",0.097,0.098,0.105,0.132,0.138
"P13","Más iluminación en espacios públicos",0.071,0.041,0.018,0.031,0.083
"P13","Capacitación a las fuerzas de seguridad para la prevención del delito",0.039,0.019,0.026,0.182,0.026
"P13","Mayor inversión en equipamiento y tecnología para las fuerzas de seguridad, como mejores patrulleros, armas, uniformes, chalecos, elementos de comunicación, etc",0.046,0.059,0.048,0.043,0.051
"P13","Todas las anteriores",0.131,0.265,0.14,0.225,0.229
"P13","No sabe",0.03,0.019,0.081,0.02,0.031
"P14","Mayor presencia de policía en las calles",0.318,0.276,0.189,0.172,0.215
"P14","Presencia de Gendarmería en las calles",0.142,0.099,0.166,0.159,0.151
"P14","Cámaras de seguridad en el espacio público como calles, plazas, parques, y similares",0.077,0.079,0.092,0.083,0.126
"P14","Más iluminación en espacios públicos",0.064,0.103,0,0.114,0.067
"P14","Capacitación a las fuerzas de seguridad para la prevención del delito",0.08,0.014,0.047,0.138,0.065
"P14","Mayor inversión en equipamiento y tecnología ara las fuerzas de seguridad, como mejores patrulleros, armas, uniformes, chalecos, elementos de comunicación, etc",0.072,0.083,0.058,0.03,0.068
"P14","Todas las anteriores",0.193,0.298,0.359,0.219,0.251
"P14","No sabe",0.054,0.048,0.089,0.085,0.057
"P15","El Gobierno Nacional",0.229,0.28,0.222,0.181,0.178
"P15","El Gobierno Provincial",0.238,0.188,0.218,0.299,0.17
"P15","El Municipio",0.123,0.056,0.024,0.09,0.192
"P15","Todos los niveles de gobierno son igualmente responsables",0.346,0.451,0.483,0.373,0.405
"P15","No sabe",0.064,0.025,0.053,0.057,0.055
