"var","categoria","Han aumentado en el último mes","Han disminuido en el último mes","Se mantienen igual que el mes anterior","No sabe"
"P04","Gran excedente habitual",0.008,0.012,0.008,0.005
"P04","Gran excedente excepcional",0.001,0.003,0.003,0.002
"P04","Pequeño excedente habitual",0.032,0.047,0.069,0.073
"P04","Pequeño excedente excepcional",0.03,0.043,0.072,0.069
"P04","Alcanza gastos familia",0.085,0.113,0.157,0.118
"P04","No alcanza gastos familia",0.185,0.167,0.189,0.153
"P04","Solo NBFamiliares",0.251,0.313,0.26,0.243
"P04","No alcanza NBFamiliares",0.394,0.291,0.232,0.309
"P04","No sabe",0.014,0.011,0.01,0.028
"P05","Si",0.345,0.164,0.138,0.152
"P05","No",0.655,0.836,0.862,0.848
"P06","Robo en vivienda, en su presencia",0.394,0.399,0.335,0.355
"P06","Robo en vivienda, en su ausencia",0.198,0.109,0.183,0.151
"P06","Robo de auto",0.051,0.129,0.079,0.046
"P06","Robo de moto",0.036,0.013,0.031,0.02
"P06","Robo de bicicleta",0.088,0.027,0.041,0.022
"P06","Vandalismo, como pintura de paredes, rotura de vidrios, o similares",0.072,0.043,0.123,0.121
"P06","Otro tipo de delito a la propiedad",0.161,0.28,0.208,0.285
"P07","Muy seguro",0.094,0.199,0.114,0.108
"P07","Algo seguro",0.294,0.541,0.371,0.397
"P07","Seguro",0.053,0.105,0.169,0.167
"P07","Algo inseguro",0.174,0.095,0.186,0.228
"P07","Inseguro",0.219,0.044,0.112,0.07
"P07","Muy inseguro",0.166,0.016,0.048,0.03
"P08","Han aumentado en el último mes",0.725,0.281,0.193,0.202
"P08","Han disminuido en el ultimo mes",0.069,0.361,0.078,0.076
"P08","Se mantienen igual que el mes anterior",0.142,0.214,0.631,0.246
"P08","No sabe",0.064,0.144,0.098,0.476
"P09","Si",0.385,0.101,0.103,0.146
"P09","No",0.615,0.899,0.897,0.854
"P10","Hurto",0.395,0.244,0.343,0.451
"P10","Robo con violencia",0.244,0.183,0.225,0.113
"P10","Agresión física",0.061,0.024,0.041,0.042
"P10","Acoso verbal o intimidación",0.092,0.146,0.136,0.13
"P10","Otros delitos en la vía pública",0.208,0.403,0.255,0.264
"P11","Muy seguro",0.125,0.156,0.084,0.082
"P11","Algo seguro",0.238,0.689,0.376,0.334
"P11","Seguro",0.045,0.056,0.201,0.138
"P11","Algo inseguro",0.166,0.027,0.175,0.341
"P11","Inseguro",0.255,0.06,0.116,0.09
"P11","Muy inseguro",0.171,0.012,0.048,0.015
"P13","Mayor presencia de policía en las calles",0.413,0.269,0.109,0.13
"P13","Presencia de Gendarmería en las calles",0.164,0.277,0.091,0.088
"P13","Cámaras de seguridad en el espacio público como calles, plazas, parques, y similares",0.058,0.088,0.309,0.063
"P13","Más iluminación en espacios públicos",0.033,0.107,0.086,0.293
"P13","Capacitación a las fuerzas de seguridad para la prevención del delito",0.044,0.096,0.084,0.07
"P13","Mayor inversión en equipamiento y tecnología para las fuerzas de seguridad, como mejores patrulleros, armas, uniformes, chalecos, elementos de comunicación, etc",0.058,0.009,0.049,0.071
"P13","Todas las anteriores",0.199,0.088,0.225,0.228
"P13","No sabe",0.031,0.066,0.047,0.057
"P14","Mayor presencia de policía en las calles",0.285,0.277,0.152,0.188
"P14","Presencia de Gendarmería en las calles",0.135,0.176,0.127,0.114
"P14","Cámaras de seguridad en el espacio público como calles, plazas, parques, y similares",0.075,0.143,0.118,0.084
"P14","Más iluminación en espacios públicos",0.052,0.078,0.103,0.115
"P14","Capacitación a las fuerzas de seguridad para la prevención del delito",0.066,0.101,0.087,0.065
"P14","Mayor inversión en equipamiento y tecnología ara las fuerzas de seguridad, como mejores patrulleros, armas, uniformes, chalecos, elementos de comunicación, etc",0.064,0.037,0.069,0.045
"P14","Todas las anteriores",0.255,0.086,0.21,0.224
"P14","No sabe",0.068,0.102,0.134,0.165
"P15","El Gobierno Nacional",0.208,0.157,0.078,0.103
"P15","El Gobierno Provincial",0.237,0.272,0.247,0.198
"P15","El Municipio",0.131,0.255,0.211,0.18
"P15","Todos los niveles de gobierno son igualmente responsables",0.394,0.241,0.425,0.437
"P15","No sabe",0.03,0.075,0.039,0.082
