"var","categoria","El Gobierno Nacional","El Gobierno Provincial","El Municipio","Todos los niveles de gobierno son igualmente responsables","No sabe"
"P04","Gran excedente habitual",0.002,0.014,0.014,0.006,0
"P04","Gran excedente excepcional",0,0.003,0.002,0.003,0.002
"P04","Pequeño excedente habitual",0.019,0.069,0.067,0.055,0.075
"P04","Pequeño excedente excepcional",0.026,0.068,0.063,0.049,0.049
"P04","Alcanza gastos familia",0.088,0.123,0.121,0.119,0.115
"P04","No alcanza gastos familia",0.182,0.148,0.196,0.182,0.261
"P04","Solo NBFamiliares",0.223,0.278,0.268,0.27,0.172
"P04","No alcanza NBFamiliares",0.444,0.291,0.254,0.299,0.271
"P04","No sabe",0.016,0.006,0.015,0.017,0.055
"P05","Si",0.402,0.18,0.154,0.223,0.2
"P05","No",0.598,0.82,0.846,0.777,0.8
"P06","Robo en vivienda, en su presencia",0.507,0.402,0.334,0.344,0.098
"P06","Robo en vivienda, en su ausencia",0.148,0.138,0.112,0.218,0.187
"P06","Robo de auto",0.053,0.048,0.116,0.063,0.006
"P06","Robo de moto",0,0.039,0.034,0.027,0
"P06","Robo de bicicleta",0.058,0.081,0.094,0.048,0.265
"P06","Vandalismo, como pintura de paredes, rotura de vidrios, o similares",0.04,0.116,0.134,0.099,0.151
"P06","Otro tipo de delito a la propiedad",0.194,0.176,0.176,0.201,0.293
"P07","Muy seguro",0.135,0.108,0.147,0.082,0.11
"P07","Algo seguro",0.351,0.379,0.409,0.319,0.445
"P07","Seguro",0.054,0.126,0.155,0.125,0.136
"P07","Algo inseguro",0.213,0.182,0.152,0.182,0.169
"P07","Inseguro",0.161,0.137,0.089,0.166,0.095
"P07","Muy inseguro",0.086,0.068,0.048,0.126,0.045
"P08","Han aumentado en el último mes",0.533,0.387,0.308,0.407,0.253
"P08","Han disminuido en el ultimo mes",0.096,0.118,0.137,0.061,0.129
"P08","Se mantienen igual que el mes anterior",0.243,0.349,0.393,0.354,0.374
"P08","No sabe",0.128,0.146,0.162,0.178,0.244
"P09","Si",0.356,0.198,0.138,0.211,0.221
"P09","No",0.644,0.802,0.862,0.789,0.779
"P10","Hurto",0.382,0.409,0.398,0.326,0.461
"P10","Robo con violencia",0.288,0.2,0.113,0.263,0.11
"P10","Agresión física",0.054,0.055,0.011,0.067,0.056
"P10","Acoso verbal o intimidación",0.089,0.151,0.086,0.103,0.122
"P10","Otros delitos en la vía pública",0.187,0.185,0.392,0.241,0.251
"P11","Muy seguro",0.11,0.107,0.137,0.075,0.095
"P11","Algo seguro",0.336,0.363,0.4,0.313,0.429
"P11","Seguro",0.058,0.122,0.165,0.12,0.139
"P11","Algo inseguro",0.224,0.199,0.155,0.187,0.17
"P11","Inseguro",0.168,0.142,0.103,0.192,0.153
"P11","Muy inseguro",0.104,0.067,0.04,0.113,0.014
"P12","Han aumentado en el último mes",0.555,0.368,0.267,0.359,0.236
"P12","Han disminuido en el último mes",0.094,0.095,0.117,0.049,0.131
"P12","Se mantienen igual que el mes anterior",0.203,0.372,0.418,0.377,0.293
"P12","No sabe",0.148,0.165,0.198,0.215,0.34
"P13","Mayor presencia de policía en las calles",0.401,0.277,0.241,0.163,0.199
"P13","Presencia de Gendarmería en las calles",0.195,0.146,0.128,0.132,0.028
"P13","Cámaras de seguridad en el espacio público como calles, plazas, parques, y similares",0.105,0.151,0.189,0.132,0.209
"P13","Más iluminación en espacios públicos",0.061,0.097,0.137,0.101,0.219
"P13","Capacitación a las fuerzas de seguridad para la prevención del delito",0.036,0.071,0.096,0.063,0.092
"P13","Mayor inversión en equipamiento y tecnología para las fuerzas de seguridad, como mejores patrulleros, armas, uniformes, chalecos, elementos de comunicación, etc",0.057,0.064,0.046,0.052,0.037
"P13","Todas las anteriores",0.114,0.149,0.118,0.32,0.081
"P13","No sabe",0.031,0.045,0.045,0.037,0.135
"P14","Mayor presencia de policía en las calles",0.518,0.244,0.206,0.125,0.048
"P14","Presencia de Gendarmería en las calles",0.135,0.207,0.122,0.108,0.017
"P14","Cámaras de seguridad en el espacio público como calles, plazas, parques, y similares",0.053,0.061,0.241,0.076,0.058
"P14","Más iluminación en espacios públicos",0.028,0.063,0.076,0.114,0.145
"P14","Capacitación a las fuerzas de seguridad para la prevención del delito",0.041,0.061,0.065,0.063,0.419
"P14","Mayor inversión en equipamiento y tecnología ara las fuerzas de seguridad, como mejores patrulleros, armas, uniformes, chalecos, elementos de comunicación, etc",0.053,0.074,0.038,0.069,0.044
"P14","Todas las anteriores",0.085,0.168,0.128,0.349,0.055
"P14","No sabe",0.087,0.122,0.124,0.096,0.214
