"var","categoria","Muy seguro","Algo seguro","Seguro","Algo inseguro","Inseguro","Muy inseguro"
"P04","Gran excedente habitual",0.033,0.004,0.008,0.002,0.002,0.008
"P04","Gran excedente excepcional",0.01,0.001,0.001,0.003,0.001,0
"P04","Pequeño excedente habitual",0.073,0.056,0.067,0.04,0.034,0.014
"P04","Pequeño excedente excepcional",0.053,0.06,0.069,0.055,0.027,0.021
"P04","Alcanza gastos familia",0.129,0.115,0.176,0.109,0.078,0.051
"P04","No alcanza gastos familia",0.142,0.222,0.158,0.187,0.181,0.189
"P04","Solo NBFamiliares",0.221,0.242,0.235,0.277,0.234,0.253
"P04","No alcanza NBFamiliares",0.315,0.286,0.252,0.308,0.423,0.46
"P04","No sabe",0.024,0.014,0.034,0.019,0.02,0.004
"P05","Si",0.221,0.096,0.127,0.224,0.418,0.531
"P05","No",0.779,0.904,0.873,0.776,0.582,0.469
"P06","Robo en vivienda, en su presencia",0.783,0.226,0.31,0.307,0.358,0.368
"P06","Robo en vivienda, en su ausencia",0.057,0.382,0.119,0.233,0.126,0.17
"P06","Robo de auto",0.031,0.048,0.241,0.02,0.068,0.062
"P06","Robo de moto",0,0.01,0.014,0.037,0.052,0.031
"P06","Robo de bicicleta",0.007,0.048,0.032,0.091,0.107,0.037
"P06","Vandalismo, como pintura de paredes, rotura de vidrios, o similares",0.019,0.055,0.074,0.083,0.074,0.164
"P06","Otro tipo de delito a la propiedad",0.103,0.231,0.21,0.229,0.215,0.168
"P08","Han aumentado en el último mes",0.459,0.343,0.167,0.366,0.562,0.712
"P08","Han disminuido en el ultimo mes",0.099,0.167,0.05,0.034,0.034,0.039
"P08","Se mantienen igual que el mes anterior",0.315,0.328,0.587,0.274,0.317,0.171
"P08","No sabe",0.127,0.162,0.196,0.326,0.087,0.078
"P09","Si",0.208,0.194,0.088,0.179,0.367,0.534
"P09","No",0.792,0.806,0.912,0.821,0.633,0.466
"P10","Hurto",0.448,0.371,0.399,0.492,0.337,0.352
"P10","Robo con violencia",0.152,0.186,0.055,0.178,0.276,0.31
"P10","Agresión física",0.093,0.025,0,0.06,0.07,0.058
"P10","Acoso verbal o intimidación",0.126,0.12,0.139,0.142,0.106,0.109
"P10","Otros delitos en la vía pública",0.181,0.298,0.407,0.128,0.211,0.171
"P11","Muy seguro",0.44,0.087,0.05,0.04,0.022,0.035
"P11","Algo seguro",0.326,0.55,0.31,0.231,0.164,0.118
"P11","Seguro",0.089,0.108,0.459,0.047,0.023,0.01
"P11","Algo inseguro",0.063,0.151,0.135,0.477,0.172,0.05
"P11","Inseguro",0.056,0.076,0.03,0.189,0.474,0.222
"P11","Muy inseguro",0.026,0.028,0.016,0.016,0.145,0.565
"P12","Han aumentado en el último mes",0.301,0.292,0.158,0.344,0.578,0.713
"P12","Han disminuido en el último mes",0.151,0.127,0.074,0.044,0.027,0.016
"P12","Se mantienen igual que el mes anterior",0.358,0.363,0.494,0.362,0.292,0.201
"P12","No sabe",0.19,0.218,0.274,0.25,0.103,0.07
"P13","Mayor presencia de policía en las calles",0.311,0.24,0.161,0.207,0.278,0.227
"P13","Presencia de Gendarmería en las calles",0.113,0.12,0.06,0.141,0.191,0.193
"P13","Cámaras de seguridad en el espacio público como calles, plazas, parques, y similares",0.155,0.19,0.174,0.145,0.072,0.092
"P13","Más iluminación en espacios públicos",0.112,0.128,0.153,0.113,0.064,0.036
"P13","Capacitación a las fuerzas de seguridad para la prevención del delito",0.113,0.06,0.101,0.077,0.043,0.013
"P13","Mayor inversión en equipamiento y tecnología para las fuerzas de seguridad, como mejores patrulleros, armas, uniformes, chalecos, elementos de comunicación, etc",0.045,0.044,0.067,0.047,0.058,0.091
"P13","Todas las anteriores",0.11,0.165,0.234,0.225,0.254,0.333
"P13","No sabe",0.041,0.053,0.05,0.045,0.04,0.015
"P14","Mayor presencia de policía en las calles",0.244,0.212,0.179,0.236,0.243,0.189
"P14","Presencia de Gendarmería en las calles",0.159,0.133,0.098,0.142,0.144,0.096
"P14","Cámaras de seguridad en el espacio público como calles, plazas, parques, y similares",0.122,0.113,0.125,0.093,0.045,0.061
"P14","Más iluminación en espacios públicos",0.078,0.109,0.096,0.055,0.079,0.047
"P14","Capacitación a las fuerzas de seguridad para la prevención del delito",0.097,0.074,0.109,0.077,0.041,0.066
"P14","Mayor inversión en equipamiento y tecnología ara las fuerzas de seguridad, como mejores patrulleros, armas, uniformes, chalecos, elementos de comunicación, etc",0.057,0.053,0.041,0.048,0.072,0.12
"P14","Todas las anteriores",0.098,0.175,0.194,0.253,0.302,0.384
"P14","No sabe",0.145,0.131,0.158,0.096,0.074,0.037
"P15","El Gobierno Nacional",0.171,0.134,0.061,0.162,0.155,0.133
"P15","El Gobierno Provincial",0.234,0.248,0.245,0.238,0.229,0.179
"P15","El Municipio",0.243,0.204,0.229,0.151,0.113,0.096
"P15","Todos los niveles de gobierno son igualmente responsables",0.304,0.356,0.412,0.405,0.471,0.568
"P15","No sabe",0.048,0.058,0.053,0.044,0.032,0.024
