"var","categoria","A Leandro Santoro","A Matias Lammens","A Mariano Recalde"
"P05","Siempre",0.257,0.286,0.295
"P05","Casi siempre",0.413,0.305,0.419
"P05","Casi nunca",0.248,0.227,0.198
"P05","Nunca, pero esta es una excepción",0.082,0.182,0.088
"P06","Mucho",0.596,0.474,0.624
"P06","Bastante",0.259,0.248,0.264
"P06","Poco",0.094,0.165,0.06
"P06","Nada",0.044,0.085,0.037
"P06","No sabe",0.007,0.028,0.015
"P10","Jorge Macri por Juntos por el Cambio",0.022,0.05,0.045
"P10","Martín Lousteau  por Juntos por el Cambio",0.025,0.072,0.024
"P10","Ricardo López Murphy  por Juntos por el Cambio",0.009,0.038,0.029
"P10","Leandro Santoro por el Frente de Todos",0.687,0.207,0.06
"P10","Mariano Recalde por el Frente de Todos",0.037,0.116,0.43
"P10","Pedro Rosemblat por el Frente de Todos",0.113,0.268,0.256
"P10","Ramiro Marra por la Libertad Avanza",0.03,0.051,0.061
"P10","Al candidato del Frente de Izquierda",0.011,0.02,0.01
"P10","En blanco",0.018,0.1,0.025
"P10","No sabe",0.048,0.078,0.06
"P13","Jorge Macri por Juntos por el Cambio",0.032,0.048,0.031
"P13","Martín Lousteau  por Juntos por el Cambio",0.041,0.083,0.08
"P13","Leandro Santoro por el Frente de Todos",0.79,0.474,0.55
"P13","Ramiro Marra por la Libertad Avanza",0.038,0.098,0.07
"P13","Al candidato del Frente de Izquierda",0.033,0.037,0.058
"P13","En blanco",0.027,0.12,0.059
"P13","No sabe",0.039,0.14,0.152
"P16","Jorge Macri por Juntos por el Cambio",0.054,0.085,0.078
"P16","Martín Lousteau  por Juntos por el Cambio",0.033,0.135,0.049
"P16","Ricardo López Murphy  por Juntos por el Cambio",0.019,0.053,0.037
"P16","Leandro Santoro por el Frente de Todos",0.821,0.443,0.576
"P16","Ramiro Marra por la Libertad Avanza",0.019,0.055,0.079
"P16","Al candidato del Frente de Izquierda",0.009,0.061,0.039
"P16","En blanco",0.015,0.134,0.064
"P16","No sabe",0.03,0.034,0.078
"P19","Jorge Macri por Juntos por el Cambio",0.048,0.116,0.111
"P19","Leandro Santoro por el Frente de Todos",0.885,0.51,0.736
"P19","Ramiro Marra por la Libertad Avanza",0.013,0.049,0.021
"P19","Al candidato del Frente de Izquierda",0.007,0.121,0.044
"P19","En blanco",0.01,0.14,0.042
"P19","No sabe",0.037,0.064,0.046
"P22","Martín Lousteau  por Juntos por el Cambio",0.08,0.138,0.108
"P22","Leandro Santoro por el Frente de Todos",0.804,0.517,0.734
"P22","Ramiro Marra por la Libertad Avanza",0.062,0.06,0.039
"P22","Al candidato del Frente de Izquierda",0.005,0.122,0.03
"P22","En blanco",0.021,0.119,0.061
"P22","No sabe",0.028,0.044,0.028
"P25","Ricardo López Murphy  por Juntos por el Cambio",0.069,0.09,0.103
"P25","Leandro Santoro por el Frente de Todos",0.863,0.556,0.656
"P25","Ramiro Marra por la Libertad Avanza",0.016,0.081,0.059
"P25","Al candidato del Frente de Izquierda",0.006,0.12,0.038
"P25","En blanco",0.01,0.113,0.096
"P25","No sabe",0.036,0.04,0.048
"P26","Jorge Macri por Juntos por el Cambio",0.044,0.147,0.093
"P26","Leandro Santoro por el Frente de Todos",0.917,0.647,0.802
"P26","En blanco",0.011,0.095,0.034
"P26","No sabe",0.028,0.111,0.071
"P27","Martín Lousteau por Juntos por el Cambio",0.043,0.211,0.094
"P27","Leandro Santoro por el Frente de Todos",0.918,0.666,0.824
"P27","En blanco",0.019,0.07,0.07
"P27","No sabe",0.02,0.053,0.012
"P28","Ricardo López Murphy por Juntos por el Cambio",0.038,0.17,0.069
"P28","Leandro Santoro por el Frente de Todos",0.918,0.71,0.848
"P28","En blanco",0.013,0.045,0.062
"P28","No sabe",0.031,0.075,0.021
"P29","Lo votaría",0.033,0.15,0.063
"P29","Puede que lo vote",0.11,0.084,0.117
"P29","Nunca lo votaría",0.835,0.718,0.817
"P29","No sabe",0.022,0.048,0.003
"P30","Lo votaría",0.045,0.104,0.061
"P30","Puede que lo vote",0.149,0.326,0.174
"P30","Nunca lo votaría",0.745,0.506,0.733
"P30","No sabe",0.061,0.064,0.032
"P31","Lo votaría",0.024,0.128,0.047
"P31","Puede que lo vote",0.027,0.1,0.041
"P31","Nunca lo votaría",0.919,0.711,0.901
"P31","No sabe",0.03,0.061,0.011
"P32","Lo votaría",0.82,0.566,0.694
"P32","Puede que lo vote",0.045,0.19,0.17
"P32","Nunca lo votaría",0.126,0.244,0.101
"P32","No sabe",0.009,0,0.035
"P33","Lo votaría",0.493,0.296,0.775
"P33","Puede que lo vote",0.337,0.326,0.114
"P33","Nunca lo votaría",0.129,0.285,0.085
"P33","No sabe",0.041,0.093,0.026
"P34","Lo votaría",0.295,0.327,0.509
"P34","Puede que lo vote",0.24,0.231,0.16
"P34","Nunca lo votaría",0.354,0.353,0.255
"P34","No sabe",0.111,0.089,0.076
"P35","Lo votaría",0.04,0.071,0.059
"P35","Puede que lo vote",0.059,0.062,0.027
"P35","Nunca lo votaría",0.834,0.769,0.877
"P35","No sabe",0.067,0.098,0.037
"P36","Si",0.594,0.722,0.574
"P36","No",0.406,0.278,0.426
