"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.026,0.04,0.011,0,0.035,0.018,0.028,0,0.04,0.017,0.019,0.043,0.018,0.018,0.037,0,0,0,6
"Buena",0.175,0.206,0.145,0.241,0.166,0.161,0.182,0.327,0.168,0.137,0.234,0.137,0.256,0.216,0.15,0,0,0,6
"Ni buena ni mala",0.293,0.268,0.318,0.358,0.22,0.284,0.47,0.424,0.286,0.259,0.356,0.202,0.226,0.321,0.278,0,0,0,6
"Mala",0.316,0.306,0.326,0.128,0.339,0.388,0.257,0.16,0.351,0.326,0.256,0.381,0.35,0.309,0.313,0,0,0,6
"Muy mala",0.176,0.168,0.184,0.273,0.219,0.136,0.058,0.089,0.134,0.25,0.126,0.237,0.139,0.125,0.202,0,0,0,6
"No sabe",0.014,0.012,0.016,0,0.021,0.013,0.005,0,0.021,0.011,0.009,0,0.011,0.011,0.02,0,0,0,6
"Positiva",0.201,0.246,0.156,0.241,0.201,0.179,0.21,0.327,0.208,0.154,0.253,0.18,0.274,0.234,0.187,0,0,0,4
"Neutra",0.293,0.268,0.318,0.358,0.22,0.284,0.47,0.424,0.286,0.259,0.356,0.202,0.226,0.321,0.278,0,0,0,4
"Negativa",0.492,0.474,0.51,0.401,0.558,0.524,0.315,0.249,0.485,0.576,0.382,0.618,0.489,0.434,0.515,0,0,0,4
"No sabe",0.014,0.012,0.016,0,0.021,0.013,0.005,0,0.021,0.011,0.009,0,0.011,0.011,0.02,0,0,0,4
