"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.084,0.077,0.091,0.145,0.097,0.074,0.026,0.054,0.102,0.076,0.129,0.018,0.102,0.183,0.009,0,0,0,6
"Buena",0.161,0.168,0.155,0.145,0.121,0.205,0.201,0.295,0.114,0.168,0.226,0.018,0.231,0.318,0,0,0,0,6
"Ni buena ni mala",0.167,0.159,0.173,0.145,0.176,0.137,0.209,0.044,0.187,0.184,0.186,0.007,0.623,0.337,0.023,0,0,0,6
"Mala",0.166,0.19,0.146,0.19,0.15,0.177,0.173,0.142,0.16,0.18,0.18,0.188,0.013,0.082,0.218,0,0,0,6
"Muy mala",0.415,0.391,0.435,0.375,0.456,0.404,0.355,0.421,0.437,0.39,0.277,0.769,0.031,0.08,0.748,0,0,0,6
"No sabe",0.007,0.015,0,0,0,0.003,0.036,0.044,0,0.002,0.002,0,0,0,0.002,0,0,0,6
"Positiva",0.245,0.245,0.246,0.29,0.218,0.279,0.227,0.349,0.216,0.244,0.355,0.036,0.333,0.501,0.009,0,0,0,4
"Neutra",0.167,0.159,0.173,0.145,0.176,0.137,0.209,0.044,0.187,0.184,0.186,0.007,0.623,0.337,0.023,0,0,0,4
"Negativa",0.581,0.581,0.581,0.565,0.606,0.581,0.528,0.563,0.597,0.57,0.457,0.957,0.044,0.162,0.966,0,0,0,4
"No sabe",0.007,0.015,0,0,0,0.003,0.036,0.044,0,0.002,0.002,0,0,0,0.002,0,0,0,4
