"var","categoria","El anterior gobierno de Arabela Carreras","El actual gobierno de Alberto Weretilneck","No sabe"
"P10","Gran excedente habitual",0.018,0,0
"P10","Gran excedente excepcional",0,0,0.013
"P10","Pequeño excedente habitual",0.062,0,0.042
"P10","Pequeño excedente excepcional",0.052,0,0.032
"P10","Alcanza gastos familia",0.167,0,0.064
"P10","No alcanza gastos familia",0.147,0,0.045
"P10","Solo NBFamiliares",0.331,0,0.54
"P10","No alcanza NBFamiliares",0.223,0,0.237
"P10","No sabe",0,0,0.027
"P11","Muy buena",0.02,0,0.106
"P11","Buena",0.023,0,0.213
"P11","Ni buena ni mala",0.506,0,0.52
"P11","Mala",0.226,0,0.161
"P11","Muy mala",0.225,0,0
"P11","No sabe",0,0,0
"P12","Muy buena",0.332,0,0.298
"P12","Buena",0.165,0,0.261
"P12","Ni buena ni mala",0.137,0,0.18
"P12","Mala",0.156,0,0.174
"P12","Muy mala",0.21,0,0.087
"P12","No sabe",0,0,0
"P13","Muy buena",0.033,0,0.033
"P13","Buena",0.195,0,0.218
"P13","Ni buena ni mala",0.384,0,0.529
"P13","Mala",0.184,0,0.174
"P13","Muy mala",0.204,0,0.046
"P13","No sabe",0,0,0
"P15","Muy buena",0.007,0,0.066
"P15","Buena",0.114,0,0.489
"P15","Ni buena ni mala",0.431,0,0.316
"P15","Mala",0.231,0,0.102
"P15","Muy mala",0.192,0,0
"P15","No sabe",0.025,0,0.027
"P19","Muy buena",0.045,0,0
"P19","Buena",0.064,0,0.087
"P19","Ni buena ni mala",0.283,0,0.609
"P19","Mala",0.344,0,0.304
"P19","Muy mala",0.22,0,0
"P19","No sabe",0.044,0,0
"P20","Muy buena",0.026,0,0
"P20","Buena",0.044,0,0.077
"P20","Ni buena ni mala",0.168,0,0.453
"P20","Mala",0.418,0,0.431
"P20","Muy mala",0.296,0,0.039
"P20","No sabe",0.048,0,0
"P21","Muy buena",0,0,0
"P21","Buena",0.073,0,0.311
"P21","Ni buena ni mala",0.329,0,0.371
"P21","Mala",0.394,0,0.303
"P21","Muy mala",0.179,0,0.015
"P21","No sabe",0.025,0,0
"P22","Muy de acuerdo",0.359,0,0.303
