"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.261,0.266,0.257,0.19,0.368,0.217,0.101,0.17,0.353,0.193,0.201,0.386,0.027,0.057,0.497,0,0,0,6
"Buena",0.135,0.156,0.117,0.233,0.067,0.146,0.228,0.158,0.09,0.175,0.092,0.373,0.016,0.014,0.284,0,0,0,6
"Ni buena ni mala",0.082,0.048,0.111,0,0.083,0.116,0.081,0.081,0.107,0.056,0.108,0.152,0,0.047,0.115,0,0,0,6
"Mala",0.139,0.105,0.169,0.326,0.058,0.163,0.181,0.418,0.086,0.108,0.231,0.008,0.149,0.219,0.06,0,0,0,6
"Muy mala",0.368,0.401,0.339,0.251,0.415,0.34,0.373,0.129,0.352,0.459,0.359,0.081,0.808,0.642,0.044,0,0,0,6
"No sabe",0.015,0.024,0.007,0,0.009,0.018,0.036,0.044,0.012,0.009,0.009,0,0,0.021,0,0,0,0,6
"Positiva",0.396,0.422,0.374,0.423,0.435,0.363,0.329,0.328,0.443,0.368,0.293,0.759,0.043,0.071,0.781,0,0,0,4
"Neutra",0.082,0.048,0.111,0,0.083,0.116,0.081,0.081,0.107,0.056,0.108,0.152,0,0.047,0.115,0,0,0,4
"Negativa",0.507,0.506,0.508,0.577,0.473,0.503,0.554,0.547,0.438,0.567,0.59,0.089,0.957,0.861,0.104,0,0,0,4
"No sabe",0.015,0.024,0.007,0,0.009,0.018,0.036,0.044,0.012,0.009,0.009,0,0,0.021,0,0,0,0,4
