"var","categoria","El estado nacional","El estado provincial","Ambos de forma coordinada","No sabe"
"P10","Gran excedente habitual",0.006,0,0.042,0.014
"P10","Gran excedente excepcional",0,0,0.002,0
"P10","Pequeño excedente habitual",0.102,0,0.071,0.041
"P10","Pequeño excedente excepcional",0.032,0,0.087,0.044
"P10","Alcanza gastos familia",0.122,0,0.188,0.159
"P10","No alcanza gastos familia",0.115,0,0.097,0.287
"P10","Solo NBFamiliares",0.317,0,0.223,0.166
"P10","No alcanza NBFamiliares",0.306,0,0.265,0.211
"P10","No sabe",0,0,0.025,0.078
"P11","Muy buena",0.012,0,0.008,0.121
"P11","Buena",0.064,0,0.04,0.023
"P11","Ni buena ni mala",0.219,0,0.471,0.426
"P11","Mala",0.231,0,0.203,0.158
"P11","Muy mala",0.445,0,0.273,0.194
"P11","No sabe",0.029,0,0.005,0.078
"P12","Muy buena",0.422,0,0.312,0.374
"P12","Buena",0.186,0,0.202,0.155
"P12","Ni buena ni mala",0.044,0,0.17,0.313
"P12","Mala",0.086,0,0.064,0.04
"P12","Muy mala",0.233,0,0.234,0.04
"P12","No sabe",0.029,0,0.018,0.078
"P13","Muy buena",0.028,0,0.012,0.035
"P13","Buena",0.059,0,0.122,0.099
"P13","Ni buena ni mala",0.245,0,0.448,0.418
"P13","Mala",0.239,0,0.247,0.183
"P13","Muy mala",0.345,0,0.164,0.187
"P13","No sabe",0.084,0,0.007,0.078
"P15","Muy buena",0.006,0,0.026,0.136
"P15","Buena",0.061,0,0.167,0.128
"P15","Ni buena ni mala",0.257,0,0.471,0.337
"P15","Mala",0.204,0,0.148,0.147
"P15","Muy mala",0.437,0,0.148,0.174
"P15","No sabe",0.035,0,0.04,0.078
"P16","Gobierno nacional",0.111,0,0.158,0.026
"P16","Gobierno provincial",0.761,0,0.568,0.53
"P16","No sabe",0.128,0,0.274,0.444
"P17","El anterior gobierno de Arabela Carreras",0.387,0,0.508,0.556
"P17","El actual gobierno de Alberto Weretilneck",0.508,0,0.357,0.376
"P17","No sabe",0.105,0,0.135,0.068
"P18","El anterior gobierno de Alberto Fernández",0,0,0.559,1
"P18","El actual gobierno de Javier Milei",1,0,0.441,0
"P18","No sabe",0,0,0,0
"P19","Muy buena",0.008,0,0.022,0
"P19","Buena",0.118,0,0.135,0.09
"P19","Ni buena ni mala",0.303,0,0.339,0.421
"P19","Mala",0.365,0,0.244,0.343
"P19","Muy mala",0.206,0,0.233,0.132
"P19","No sabe",0,0,0.027,0.014
"P20","Muy buena",0,0,0.028,0.106
"P20","Buena",0.054,0,0.02,0
"P20","Ni buena ni mala",0.075,0,0.323,0.337
"P20","Mala",0.395,0,0.368,0.415
"P20","Muy mala",0.468,0,0.239,0.121
"P20","No sabe",0.008,0,0.022,0.021
"P21","Muy buena",0,0,0,0
"P21","Buena",0.068,0,0.145,0.096
"P21","Ni buena ni mala",0.287,0,0.276,0.363
"P21","Mala",0.304,0,0.363,0.356
"P21","Muy mala",0.329,0,0.208,0.096
"P21","No sabe",0.012,0,0.008,0.089
"P22","Muy de acuerdo",0.267,0,0.209,0.126
"P22","De acuerdo",0.031,0,0.286,0.067
"P22","Ni de acuerdo ni en desacuerdo",0.232,0,0.344,0.323
"P22","En desacuerdo",0.189,0,0.11,0.282
"P22","Muy en desacuerdo",0.255,0,0.042,0.081
"P22","No sabe",0.026,0,0.009,0.121
"P24","Inseguridad y narcotráfico",0.3,0,0.192,0.239
"P24","Altos impuestos y tarifas",0.138,0,0.307,0.087
"P24","Educación y estado de las escuelas",0.127,0,0.16,0.138
"P24","Inflación",0.173,0,0.136,0.194
"P24","Estado de la salud",0.043,0,0.038,0.06
"P24","Corrupción",0.176,0,0.114,0.262
"P24","Pobreza",0.043,0,0.008,0.009
"P24","Medio ambiente, incendios y contaminación",0,0,0.002,0
"P24","Falta de trabajo",0,0,0.039,0
"P24","No sabe",0,0,0.004,0.011
"P28","Muy buena",0.011,0,0.017,0
"P28","Buena",0.021,0,0.072,0.015
"P28","Ni buena ni mala",0.198,0,0.347,0.396
"P28","Mala",0.359,0,0.333,0.279
"P28","Muy mala",0.382,0,0.181,0.121
"P28","No sabe",0.029,0,0.05,0.189
"P29","Peor",0.636,0,0.333,0.265
"P29","Igual",0.231,0,0.55,0.455
"P29","Mejor",0.009,0,0.067,0.023
"P29","No sabe",0.124,0,0.05,0.257
"P30","Peor",0.55,0,0.434,0.295
"P30","Igual",0.307,0,0.293,0.253
"P30","Mejor",0.093,0,0.212,0.223
"P30","No sabe",0.05,0,0.061,0.229
"P31","Javier Milei",0.746,0,0.615,0.709
"P31","Los gobernadores",0.165,0,0.35,0.062
"P31","No sabe",0.089,0,0.035,0.229
"P32","Muy buena",0.023,0,0.132,0.233
"P32","Buena",0.13,0,0.098,0.01
"P32","Ni buena ni mala",0.123,0,0.315,0.378
"P32","Mala",0.215,0,0.282,0.202
"P32","Muy mala",0.43,0,0.145,0.177
"P32","No sabe",0.079,0,0.028,0
"P33","Muy buena",0.057,0,0.054,0
"P33","Buena",0.04,0,0.133,0.127
"P33","Ni buena ni mala",0.235,0,0.257,0.189
"P33","Mala",0.137,0,0.356,0.203
"P33","Muy mala",0.531,0,0.198,0.383
"P33","No sabe",0,0,0.002,0.098
"P34","Muy buena",0.122,0,0.022,0
"P34","Buena",0.097,0,0.089,0.016
"P34","Ni buena ni mala",0.129,0,0.292,0.342
"P34","Mala",0.154,0,0.276,0.178
"P34","Muy mala",0.475,0,0.273,0.378
"P34","No sabe",0.023,0,0.048,0.086
"P35","Muy buena",0.016,0,0.016,0.124
"P35","Buena",0.11,0,0.18,0.234
"P35","Ni buena ni mala",0.448,0,0.325,0.368
"P35","Mala",0.144,0,0.178,0.131
"P35","Muy mala",0.259,0,0.216,0.046
"P35","No sabe",0.023,0,0.085,0.097
"P36","Muy buena",0.243,0,0.133,0.026
"P36","Buena",0.031,0,0.06,0.011
"P36","Ni buena ni mala",0.01,0,0.08,0.057
"P36","Mala",0.114,0,0.133,0.344
"P36","Muy mala",0.602,0,0.586,0.485
"P36","No sabe",0,0,0.008,0.077
"P37","Muy buena",0.206,0,0.1,0.285
"P37","Buena",0.268,0,0.255,0.24
"P37","Ni buena ni mala",0.101,0,0.099,0.227
"P37","Mala",0.176,0,0.271,0.1
"P37","Muy mala",0.249,0,0.272,0.071
"P37","No sabe",0,0,0.003,0.077
"P38","Muy buena",0.145,0,0.024,0
"P38","Buena",0.084,0,0.096,0.026
"P38","Ni buena ni mala",0.057,0,0.103,0
"P38","Mala",0.125,0,0.206,0.306
"P38","Muy mala",0.589,0,0.571,0.592
"P38","No sabe",0,0,0,0.076
"P39","Muy buena",0.219,0,0.123,0.026
"P39","Buena",0.022,0,0.055,0
"P39","Ni buena ni mala",0.022,0,0.1,0.068
"P39","Mala",0.125,0,0.183,0.321
"P39","Muy mala",0.612,0,0.539,0.509
"P39","No sabe",0,0,0,0.076
"P40","Muy buena",0.505,0,0.239,0.696
"P40","Buena",0.134,0,0.293,0.12
"P40","Ni buena ni mala",0.04,0,0.151,0.027
"P40","Mala",0.03,0,0.056,0.04
"P40","Muy mala",0.291,0,0.25,0.04
"P40","No sabe",0,0,0.011,0.077
"P41","Muy buena",0.537,0,0.288,0.388
"P41","Buena",0.169,0,0.249,0.42
"P41","Ni buena ni mala",0.019,0,0.038,0.044
"P41","Mala",0.03,0,0.152,0
"P41","Muy mala",0.245,0,0.241,0.071
"P41","No sabe",0,0,0.032,0.077
"P42","Muy buena",0.537,0,0.352,0.544
"P42","Buena",0.141,0,0.157,0.296
"P42","Ni buena ni mala",0.051,0,0.19,0.029
"P42","Mala",0.037,0,0.056,0.015
"P42","Muy mala",0.234,0,0.231,0.04
"P42","No sabe",0,0,0.014,0.076
"P43","Muy buena",0.174,0,0.093,0.052
"P43","Buena",0.321,0,0.229,0.275
"P43","Ni buena ni mala",0.36,0,0.378,0.43
"P43","Mala",0.068,0,0.129,0.057
"P43","Muy mala",0.077,0,0.148,0.055
"P43","No sabe",0,0,0.023,0.131
