"var","categoria","Gobierno nacional","Gobierno provincial","No sabe"
"P10","Gran excedente habitual",0.013,0,0.053
"P10","Gran excedente excepcional",0,0,0
"P10","Pequeño excedente habitual",0.032,0,0.005
"P10","Pequeño excedente excepcional",0.008,0,0.036
"P10","Alcanza gastos familia",0.066,0,0.198
"P10","No alcanza gastos familia",0.104,0,0.121
"P10","Solo NBFamiliares",0.277,0,0.18
"P10","No alcanza NBFamiliares",0.5,0,0.354
"P10","No sabe",0,0,0.053
"P11","Muy buena",0.114,0,0.056
"P11","Buena",0.268,0,0.144
"P11","Ni buena ni mala",0.361,0,0.543
"P11","Mala",0.134,0,0.161
"P11","Muy mala",0.116,0,0.068
"P11","No sabe",0.007,0,0.028
"P12","Muy buena",0.057,0,0.155
"P12","Buena",0.055,0,0.147
"P12","Ni buena ni mala",0.03,0,0.296
"P12","Mala",0.175,0,0.105
"P12","Muy mala",0.667,0,0.254
"P12","No sabe",0.016,0,0.043
"P13","Muy buena",0.047,0,0.02
"P13","Buena",0.152,0,0.085
"P13","Ni buena ni mala",0.481,0,0.63
"P13","Mala",0.202,0,0.167
"P13","Muy mala",0.107,0,0.075
"P13","No sabe",0.011,0,0.023
"P15","Muy buena",0.184,0,0.054
"P15","Buena",0.307,0,0.274
"P15","Ni buena ni mala",0.357,0,0.502
"P15","Mala",0.082,0,0.104
"P15","Muy mala",0.052,0,0.042
"P15","No sabe",0.018,0,0.024
"P19","Muy buena",0.033,0,0
"P19","Buena",0.259,0,0.206
"P19","Ni buena ni mala",0.267,0,0.432
"P19","Mala",0.279,0,0.265
"P19","Muy mala",0.162,0,0.085
"P19","No sabe",0,0,0.012
"P20","Muy buena",0.03,0,0.116
"P20","Buena",0.182,0,0.07
"P20","Ni buena ni mala",0.345,0,0.335
"P20","Mala",0.248,0,0.407
"P20","Muy mala",0.167,0,0.056
"P20","No sabe",0.028,0,0.016
"P21","Muy buena",0.007,0,0
"P21","Buena",0.228,0,0.222
"P21","Ni buena ni mala",0.378,0,0.311
"P21","Mala",0.272,0,0.383
"P21","Muy mala",0.107,0,0.055
"P21","No sabe",0.008,0,0.029
"P22","Muy de acuerdo",0.527,0,0.228
"P22","De acuerdo",0.203,0,0.26
"P22","Ni de acuerdo ni en desacuerdo",0.132,0,0.295
"P22","En desacuerdo",0.075,0,0.126
"P22","Muy en desacuerdo",0.034,0,0.047
"P22","No sabe",0.029,0,0.044
"P23","El estado nacional",0.04,0,0.088
"P23","El estado provincial",0.809,0,0.242
"P23","Ambos de forma coordinada",0.145,0,0.481
"P23","No sabe",0.006,0,0.189
"P24","Inseguridad y narcotráfico",0.3,0,0.266
"P24","Altos impuestos y tarifas",0.161,0,0.308
"P24","Educación y estado de las escuelas",0.149,0,0.134
"P24","Inflación",0.26,0,0.172
"P24","Estado de la salud",0.056,0,0.004
"P24","Corrupción",0.04,0,0.096
"P24","Pobreza",0.023,0,0.004
"P24","Medio ambiente, incendios y contaminación",0,0,0.004
"P24","Falta de trabajo",0.011,0,0.012
"P24","No sabe",0,0,0
"P28","Muy buena",0.005,0,0.032
"P28","Buena",0.09,0,0.005
"P28","Ni buena ni mala",0.37,0,0.447
"P28","Mala",0.357,0,0.348
"P28","Muy mala",0.139,0,0.124
"P28","No sabe",0.039,0,0.044
"P29","Peor",0.704,0,0.396
"P29","Igual",0.176,0,0.515
"P29","Mejor",0.059,0,0.017
"P29","No sabe",0.061,0,0.072
"P30","Peor",0.702,0,0.349
"P30","Igual",0.201,0,0.345
"P30","Mejor",0.021,0,0.209
"P30","No sabe",0.076,0,0.097
"P31","Javier Milei",0.094,0,0.406
"P31","Los gobernadores",0.83,0,0.404
"P31","No sabe",0.076,0,0.19
"P32","Muy buena",0.177,0,0.235
"P32","Buena",0.289,0,0.12
"P32","Ni buena ni mala",0.274,0,0.364
"P32","Mala",0.231,0,0.097
"P32","Muy mala",0.029,0,0.067
"P32","No sabe",0,0,0.117
"P33","Muy buena",0.082,0,0.077
"P33","Buena",0.114,0,0.047
"P33","Ni buena ni mala",0.218,0,0.208
"P33","Mala",0.318,0,0.326
"P33","Muy mala",0.268,0,0.298
