"var","categoria","Javier Milei","Los gobernadores","No sabe"
"P10","Gran excedente habitual",0.022,0,0
"P10","Gran excedente excepcional",0.002,0,0
"P10","Pequeño excedente habitual",0.092,0,0.057
"P10","Pequeño excedente excepcional",0.077,0,0.027
"P10","Alcanza gastos familia",0.169,0,0.096
"P10","No alcanza gastos familia",0.173,0,0.202
"P10","Solo NBFamiliares",0.265,0,0.206
"P10","No alcanza NBFamiliares",0.2,0,0.322
"P10","No sabe",0,0,0.09
"P11","Muy buena",0.025,0,0
"P11","Buena",0.039,0,0.037
"P11","Ni buena ni mala",0.341,0,0.594
"P11","Mala",0.234,0,0.191
"P11","Muy mala",0.35,0,0.051
"P11","No sabe",0.011,0,0.127
"P12","Muy buena",0.544,0,0.038
"P12","Buena",0.241,0,0.153
"P12","Ni buena ni mala",0.117,0,0.175
"P12","Mala",0.007,0,0.414
"P12","Muy mala",0.082,0,0.119
"P12","No sabe",0.009,0,0.101
"P13","Muy buena",0.035,0,0
"P13","Buena",0.121,0,0.06
"P13","Ni buena ni mala",0.36,0,0.542
"P13","Mala",0.212,0,0.323
"P13","Muy mala",0.244,0,0
"P13","No sabe",0.028,0,0.075
"P15","Muy buena",0.047,0,0.037
"P15","Buena",0.1,0,0.236
"P15","Ni buena ni mala",0.39,0,0.439
"P15","Mala",0.167,0,0.148
"P15","Muy mala",0.254,0,0.065
"P15","No sabe",0.042,0,0.075
"P16","Gobierno nacional",0.083,0,0.361
"P16","Gobierno provincial",0.747,0,0.206
"P16","No sabe",0.17,0,0.433
"P17","El anterior gobierno de Arabela Carreras",0.39,0,0.337
"P17","El actual gobierno de Alberto Weretilneck",0.464,0,0.491
"P17","No sabe",0.146,0,0.172
"P18","El anterior gobierno de Alberto Fernández",0.941,0,0.355
"P18","El actual gobierno de Javier Milei",0.059,0,0.204
"P18","No sabe",0,0,0.441
"P19","Muy buena",0.028,0,0.037
"P19","Buena",0.103,0,0.026
"P19","Ni buena ni mala",0.343,0,0.217
"P19","Mala",0.305,0,0.623
"P19","Muy mala",0.199,0,0.097
"P19","No sabe",0.022,0,0
"P20","Muy buena",0.025,0,0
"P20","Buena",0.021,0,0
"P20","Ni buena ni mala",0.227,0,0.255
"P20","Mala",0.422,0,0.488
"P20","Muy mala",0.284,0,0.097
"P20","No sabe",0.021,0,0.16
"P21","Muy buena",0,0,0
"P21","Buena",0.129,0,0.037
"P21","Ni buena ni mala",0.305,0,0.207
"P21","Mala",0.332,0,0.597
"P21","Muy mala",0.232,0,0.084
"P21","No sabe",0.002,0,0.075
"P22","Muy de acuerdo",0.224,0,0.046
"P22","De acuerdo",0.118,0,0.183
"P22","Ni de acuerdo ni en desacuerdo",0.376,0,0.071
"P22","En desacuerdo",0.123,0,0.531
"P22","Muy en desacuerdo",0.133,0,0.051
"P22","No sabe",0.026,0,0.118
"P23","El estado nacional",0.235,0,0.153
"P23","El estado provincial",0.156,0,0.464
"P23","Ambos de forma coordinada",0.476,0,0.149
"P23","No sabe",0.133,0,0.234
"P24","Inseguridad y narcotráfico",0.218,0,0.333
"P24","Altos impuestos y tarifas",0.28,0,0.127
"P24","Educación y estado de las escuelas",0.154,0,0.094
"P24","Inflación",0.129,0,0.174
"P24","Estado de la salud",0.031,0,0
"P24","Corrupción",0.141,0,0.235
"P24","Pobreza",0.017,0,0
"P24","Medio ambiente, incendios y contaminación",0,0,0
"P24","Falta de trabajo",0.025,0,0.037
"P24","No sabe",0.005,0,0
"P28","Muy buena",0.004,0,0
"P28","Buena",0.045,0,0.015
"P28","Ni buena ni mala",0.357,0,0.147
"P28","Mala",0.318,0,0.41
"P28","Muy mala",0.22,0,0.215
"P28","No sabe",0.056,0,0.213
"P29","Peor",0.398,0,0.49
"P29","Igual",0.465,0,0.359
"P29","Mejor",0.052,0,0.03
"P29","No sabe",0.085,0,0.121
"P30","Peor",0.391,0,0.397
"P30","Igual",0.319,0,0.387
"P30","Mejor",0.193,0,0.08
"P30","No sabe",0.097,0,0.136
"P32","Muy buena",0.159,0,0
"P32","Buena",0.054,0,0.132
"P32","Ni buena ni mala",0.205,0,0.462
"P32","Mala",0.308,0,0.21
"P32","Muy mala",0.251,0,0.062
"P32","No sabe",0.023,0,0.134
"P33","Muy buena",0.028,0,0.017
"P33","Buena",0.108,0,0.092
"P33","Ni buena ni mala",0.251,0,0.152
"P33","Mala",0.292,0,0.285
"P33","Muy mala",0.319,0,0.365
"P33","No sabe",0.002,0,0.089
"P34","Muy buena",0.022,0,0
"P34","Buena",0.034,0,0.017
"P34","Ni buena ni mala",0.232,0,0.187
"P34","Mala",0.305,0,0.407
"P34","Muy mala",0.394,0,0.241
"P34","No sabe",0.013,0,0.148
"P35","Muy buena",0.078,0,0.03
"P35","Buena",0.228,0,0.115
"P35","Ni buena ni mala",0.381,0,0.289
"P35","Mala",0.13,0,0.184
"P35","Muy mala",0.124,0,0.204
"P35","No sabe",0.059,0,0.178
"P36","Muy buena",0.038,0,0.219
"P36","Buena",0.004,0,0.015
"P36","Ni buena ni mala",0.026,0,0.13
"P36","Mala",0.193,0,0.151
"P36","Muy mala",0.733,0,0.389
"P36","No sabe",0.006,0,0.096
"P37","Muy buena",0.209,0,0.087
"P37","Buena",0.306,0,0.064
"P37","Ni buena ni mala",0.171,0,0.12
"P37","Mala",0.211,0,0.465
"P37","Muy mala",0.103,0,0.168
"P37","No sabe",0,0,0.096
"P38","Muy buena",0.049,0,0
"P38","Buena",0,0,0.029
"P38","Ni buena ni mala",0,0,0.195
"P38","Mala",0.22,0,0.117
"P38","Muy mala",0.729,0,0.563
"P38","No sabe",0.002,0,0.096
"P39","Muy buena",0.026,0,0.014
"P39","Buena",0,0,0.077
"P39","Ni buena ni mala",0.043,0,0.309
"P39","Mala",0.216,0,0.081
"P39","Muy mala",0.713,0,0.423
"P39","No sabe",0.002,0,0.096
"P40","Muy buena",0.557,0,0
"P40","Buena",0.259,0,0.192
"P40","Ni buena ni mala",0.083,0,0.212
"P40","Mala",0.021,0,0.326
"P40","Muy mala",0.08,0,0.109
"P40","No sabe",0,0,0.161
"P41","Muy buena",0.492,0,0.036
"P41","Buena",0.334,0,0.149
"P41","Ni buena ni mala",0.065,0,0.361
"P41","Mala",0.026,0,0.184
"P41","Muy mala",0.058,0,0.172
"P41","No sabe",0.025,0,0.098
"P42","Muy buena",0.592,0,0.04
"P42","Buena",0.241,0,0.201
"P42","Ni buena ni mala",0.114,0,0.31
"P42","Mala",0.002,0,0.179
"P42","Muy mala",0.051,0,0.109
"P42","No sabe",0,0,0.161
"P43","Muy buena",0.114,0,0.021
"P43","Buena",0.311,0,0.315
"P43","Ni buena ni mala",0.439,0,0.23
"P43","Mala",0.071,0,0.161
"P43","Muy mala",0.055,0,0.079
"P43","No sabe",0.01,0,0.194
