"var","categoria","Alfredo Cornejo a gobernador y Hebe Casado a vicegobernador por Cambia Mendoza","Omar De Marchi a gobernador y Daniel Orozco a vicegobernador por La Unión Mendocina","Omar Parisi a gobernador y Lucas Ilardo a vicegobernador por Elegí Mendoza","Mario Vadillo a gobernador y Emanuel Fugazzotto a vicegobernador por el Partido Verde","Lautaro Giménez a gobernador y Noelia Barbeito a vicegobernadora por el Frente de Izquierda","En blanco","No sabe"
"P05","Mucho",0.432,0.401,0.481,0.332,0.402,0.215,0.227
"P05","Bastante",0.357,0.337,0.316,0.298,0.322,0.427,0.295
"P05","Poco",0.169,0.156,0.124,0.198,0.181,0.229,0.191
"P05","Nada",0.03,0.059,0.054,0.169,0.066,0.086,0.195
"P05","No sabe",0.012,0.047,0.025,0.003,0.029,0.043,0.092
"P06","Siempre",0.221,0.212,0.335,0.179,0.242,0.169,0.101
"P06","Casi siempre",0.429,0.323,0.283,0.319,0.174,0.385,0.295
"P06","Casi nunca",0.241,0.284,0.281,0.269,0.374,0.28,0.321
"P06","Nunca, pero esta es una excepción",0.109,0.181,0.101,0.233,0.21,0.166,0.283
"P12","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.504,0.468,0.34,0.486,0.396,0.611,0.42
"P12","Con políticas muy estudiadas y progresivas para que las transformaciones de fondo necesarias se puedan realizar",0.269,0.231,0.162,0.181,0.083,0.111,0.068
"P12","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.163,0.161,0.369,0.124,0.195,0.059,0.1
"P12","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.025,0.068,0.085,0.153,0.127,0.063,0.102
"P12","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.015,0.011,0.036,0.016,0.155,0.027,0.061
"P12","No sabe",0.024,0.061,0.008,0.04,0.044,0.129,0.249
"P13","Totalmente seguro",0.674,0.655,0.704,0.415,0.571,0.672,0.384
"P13","Bastante seguro",0.183,0.178,0.1,0.287,0.262,0.038,0.095
"P13","Algo seguro",0.102,0.082,0.122,0.09,0.107,0.087,0.178
"P13","Para nada seguro",0.041,0.085,0.074,0.208,0.06,0.203,0.343
"P14","Tiene Decidido que va a ir a votar",0.892,0.897,0.912,0.65,0.871,0.846,0.736
"P14","Tiene dudas sobre si va a ir a  votar",0.088,0.066,0.075,0.174,0.103,0.056,0.165
"P14","Tiene Decidido que no va a ir a votar",0.02,0.037,0.013,0.176,0.026,0.098,0.099
"P15","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.082,0.251,0.634,0.144,0.333,0.123,0.103
"P15","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.564,0.206,0.199,0.23,0.092,0.162,0.144
"P15","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.308,0.495,0.154,0.419,0.428,0.511,0.422
"P15","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.014,0.001,0.001,0.065,0.105,0.099,0.006
"P15","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.005,0.006,0.004,0.031,0.007,0.006,0.03
"P15","En blanco",0.01,0.001,0,0.035,0,0.085,0.056
"P15","No sabe",0.017,0.04,0.008,0.076,0.035,0.014,0.239
"P18","Lo votaría",0.738,0.143,0.145,0.07,0.133,0.164,0.051
"P18","Puede que lo vote",0.169,0.207,0.142,0.234,0.146,0.215,0.155
"P18","Nunca lo votaría",0.074,0.608,0.664,0.6,0.663,0.475,0.497
"P18","No sabe",0.019,0.042,0.049,0.096,0.058,0.146,0.297
"P19","Lo votaría",0.144,0.614,0.141,0.066,0.138,0.097,0.104
"P19","Puede que lo vote",0.141,0.261,0.133,0.319,0.2,0.313,0.176
"P19","Nunca lo votaría",0.666,0.112,0.644,0.545,0.563,0.486,0.44
"P19","No sabe",0.049,0.013,0.082,0.07,0.099,0.104,0.28
"P20","Lo votaría",0.091,0.123,0.605,0.15,0.071,0.041,0.05
"P20","Puede que lo vote",0.099,0.17,0.126,0.141,0.253,0.258,0.156
"P20","Nunca lo votaría",0.778,0.644,0.251,0.599,0.434,0.513,0.539
"P20","No sabe",0.032,0.063,0.018,0.11,0.242,0.188,0.255
"P21","Lo votaría",0.076,0.113,0.18,0.386,0.021,0.04,0.042
"P21","Puede que lo vote",0.122,0.132,0.166,0.196,0.015,0.185,0.154
"P21","Nunca lo votaría",0.754,0.66,0.599,0.154,0.548,0.591,0.485
"P21","No sabe",0.048,0.095,0.055,0.264,0.416,0.184,0.319
"P22","Lo votaría",0.07,0.072,0.15,0.015,0.406,0.037,0.039
"P22","Puede que lo vote",0.085,0.112,0.176,0.133,0.071,0.248,0.15
"P22","Nunca lo votaría",0.805,0.756,0.601,0.648,0.32,0.555,0.551
"P22","No sabe",0.04,0.06,0.073,0.204,0.203,0.16,0.26
"P23","Si",0.466,0.442,0.402,0.308,0.333,0.44,0.276
"P23","No",0.534,0.558,0.598,0.692,0.667,0.56,0.724
