"var","categoria","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País","En blanco","No sabe"
"P05","Mucho",0.486,0.373,0.365,0.129,0.279,0.291,0.191
"P05","Bastante",0.318,0.374,0.362,0.31,0.13,0.043,0.252
"P05","Poco",0.138,0.203,0.14,0.25,0.287,0.17,0.171
"P05","Nada",0.03,0.04,0.08,0.109,0.014,0.392,0.307
"P05","No sabe",0.028,0.01,0.053,0.202,0.29,0.104,0.079
"P06","Siempre",0.272,0.232,0.186,0.301,0.177,0.135,0.068
"P06","Casi siempre",0.317,0.411,0.335,0.233,0.157,0.549,0.225
"P06","Casi nunca",0.309,0.239,0.253,0.381,0.304,0.17,0.401
"P06","Nunca, pero esta es una excepción",0.102,0.118,0.226,0.085,0.362,0.146,0.306
"P09","Alfredo Cornejo a gobernador y Hebe Casado a vicegobernador por Cambia Mendoza",0.111,0.581,0.252,0.208,0.162,0.171,0.093
"P09","Omar De Marchi a gobernador y Daniel Orozco a vicegobernador por La Unión Mendocina",0.28,0.174,0.331,0.014,0.15,0.006,0.174
"P09","Omar Parisi a gobernador y Lucas Ilardo a vicegobernador por Elegí Mendoza",0.401,0.095,0.059,0.01,0.058,0,0.02
"P09","Mario Vadillo a gobernador y Emanuel Fugazzotto a vicegobernador por el Partido Verde",0.02,0.024,0.034,0.1,0.096,0.058,0.041
"P09","Lautaro Giménez a gobernador y Noelia Barbeito a vicegobernadora por el Frente de Izquierda",0.083,0.017,0.064,0.294,0.039,0,0.034
"P09","En blanco",0.037,0.037,0.092,0.331,0.043,0.313,0.016
"P09","No sabe",0.068,0.072,0.168,0.043,0.452,0.452,0.622
"P12","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.298,0.406,0.663,0.265,0.293,0.477,0.294
"P12","Con políticas muy estudiadas y progresivas para que las transformaciones de fondo necesarias se puedan realizar",0.136,0.349,0.117,0.097,0.035,0,0.109
"P12","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.383,0.125,0.094,0.014,0.226,0.254,0.135
"P12","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.128,0.053,0.052,0.051,0,0.008,0.094
"P12","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.026,0.024,0.016,0.362,0.124,0.069,0.007
"P12","No sabe",0.029,0.043,0.058,0.211,0.322,0.192,0.361
"P13","Totalmente seguro",0.67,0.61,0.687,0.456,0.434,0.501,0.184
"P13","Bastante seguro",0.159,0.191,0.14,0.3,0.051,0,0.072
"P13","Algo seguro",0.108,0.125,0.088,0.014,0.235,0.03,0.171
"P13","Para nada seguro",0.063,0.074,0.085,0.23,0.28,0.469,0.573
"P14","Tiene Decidido que va a ir a votar",0.907,0.864,0.902,0.86,0.906,0.415,0.539
"P14","Tiene dudas sobre si va a ir a  votar",0.075,0.078,0.069,0.1,0.094,0.342,0.302
"P14","Tiene Decidido que no va a ir a votar",0.018,0.058,0.029,0.04,0,0.243,0.159
"P18","Lo votaría",0.181,0.544,0.269,0.191,0.049,0.058,0.122
"P18","Puede que lo vote",0.115,0.19,0.177,0.31,0.414,0.245,0.23
"P18","Nunca lo votaría",0.679,0.223,0.456,0.339,0.465,0.347,0.357
"P18","No sabe",0.025,0.043,0.098,0.16,0.072,0.35,0.291
"P19","Lo votaría",0.326,0.157,0.328,0.043,0.19,0.181,0.089
"P19","Puede que lo vote",0.158,0.164,0.215,0.319,0.403,0.12,0.33
"P19","Nunca lo votaría",0.452,0.599,0.393,0.587,0.231,0.346,0.38
"P19","No sabe",0.064,0.08,0.064,0.051,0.176,0.353,0.201
"P20","Lo votaría",0.424,0.077,0.115,0.032,0.055,0.086,0.079
"P20","Puede que lo vote",0.153,0.131,0.137,0.38,0.232,0.135,0.199
"P20","Nunca lo votaría",0.388,0.716,0.65,0.421,0.538,0.599,0.449
"P20","No sabe",0.035,0.076,0.098,0.167,0.175,0.18,0.273
"P21","Lo votaría",0.149,0.081,0.106,0,0.13,0.012,0.061
"P21","Puede que lo vote",0.166,0.132,0.113,0.399,0.034,0.172,0.126
"P21","Nunca lo votaría",0.578,0.69,0.652,0.493,0.662,0.549,0.422
"P21","No sabe",0.107,0.097,0.129,0.108,0.174,0.267,0.391
"P22","Lo votaría",0.19,0.044,0.075,0.248,0.017,0,0.035
"P22","Puede que lo vote",0.155,0.148,0.072,0.462,0.068,0.147,0.107
"P22","Nunca lo votaría",0.569,0.752,0.743,0.231,0.734,0.655,0.522
"P22","No sabe",0.086,0.056,0.11,0.059,0.181,0.198,0.336
"P23","Si",0.449,0.438,0.396,0.366,0.084,0.247,0.316
"P23","No",0.551,0.562,0.604,0.634,0.916,0.753,0.684
