"var","categoria","Con políticas de shock, mano dura y castigando a los corruptos y ladrones","Con políticas muy estudiadas y progresivas para que las transformaciones de fondo necesarias se puedan realizar","Con políticas de desarrollo que permitan el crecimiento con inclusión social","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares","No sabe"
"P05","Mucho",0.38,0.426,0.462,0.293,0.271,0.246
"P05","Bastante",0.313,0.372,0.385,0.402,0.402,0.199
"P05","Poco",0.176,0.158,0.111,0.148,0.162,0.291
"P05","Nada",0.096,0.022,0.028,0.152,0.042,0.102
"P05","No sabe",0.035,0.022,0.014,0.005,0.123,0.162
"P06","Siempre",0.205,0.251,0.247,0.187,0.377,0.085
"P06","Casi siempre",0.322,0.401,0.347,0.384,0.327,0.271
"P06","Casi nunca",0.295,0.248,0.28,0.224,0.241,0.27
"P06","Nunca, pero esta es una excepción",0.178,0.1,0.126,0.205,0.055,0.374
"P09","Alfredo Cornejo a gobernador y Hebe Casado a vicegobernador por Cambia Mendoza",0.329,0.422,0.278,0.112,0.144,0.098
"P09","Omar De Marchi a gobernador y Daniel Orozco a vicegobernador por La Unión Mendocina",0.26,0.31,0.234,0.256,0.086,0.217
"P09","Omar Parisi a gobernador y Lucas Ilardo a vicegobernador por Elegí Mendoza",0.105,0.121,0.299,0.177,0.158,0.016
"P09","Mario Vadillo a gobernador y Emanuel Fugazzotto a vicegobernador por el Partido Verde",0.036,0.032,0.024,0.075,0.017,0.018
"P09","Lautaro Giménez a gobernador y Noelia Barbeito a vicegobernadora por el Frente de Izquierda",0.047,0.023,0.06,0.101,0.263,0.033
"P09","En blanco",0.092,0.04,0.023,0.064,0.059,0.124
"P09","No sabe",0.131,0.052,0.082,0.215,0.273,0.494
"P13","Totalmente seguro",0.726,0.548,0.581,0.485,0.329,0.455
"P13","Bastante seguro",0.105,0.293,0.129,0.181,0.329,0.084
"P13","Algo seguro",0.068,0.101,0.2,0.084,0.148,0.173
"P13","Para nada seguro",0.101,0.058,0.09,0.25,0.194,0.288
"P14","Tiene Decidido que va a ir a votar",0.864,0.877,0.908,0.86,0.817,0.713
"P14","Tiene dudas sobre si va a ir a  votar",0.091,0.094,0.07,0.116,0.179,0.105
"P14","Tiene Decidido que no va a ir a votar",0.045,0.029,0.022,0.024,0.004,0.182
"P15","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.142,0.164,0.496,0.409,0.203,0.091
"P15","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.257,0.556,0.215,0.225,0.241,0.175
"P15","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.529,0.235,0.203,0.273,0.209,0.3
"P15","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.011,0.01,0.002,0.014,0.249,0.058
"P15","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.006,0.002,0.013,0,0.042,0.044
"P15","En blanco",0.019,0,0.027,0.002,0.043,0.048
"P15","No sabe",0.036,0.033,0.044,0.077,0.013,0.284
"P18","Lo votaría",0.371,0.416,0.248,0.118,0.215,0.09
"P18","Puede que lo vote",0.176,0.24,0.121,0.077,0.119,0.269
"P18","Nunca lo votaría",0.376,0.314,0.608,0.599,0.436,0.432
"P18","No sabe",0.077,0.03,0.023,0.206,0.23,0.209
"P19","Lo votaría",0.287,0.24,0.269,0.121,0.171,0.183
"P19","Puede que lo vote",0.203,0.206,0.113,0.258,0.161,0.248
"P19","Nunca lo votaría",0.442,0.518,0.54,0.461,0.609,0.316
"P19","No sabe",0.068,0.036,0.078,0.16,0.059,0.253
"P20","Lo votaría",0.136,0.124,0.355,0.174,0.186,0.044
"P20","Puede que lo vote",0.109,0.155,0.182,0.196,0.099,0.247
"P20","Nunca lo votaría",0.675,0.67,0.398,0.471,0.635,0.472
"P20","No sabe",0.08,0.051,0.065,0.159,0.08,0.237
"P21","Lo votaría",0.147,0.073,0.067,0.032,0.166,0.034
"P21","Puede que lo vote",0.082,0.213,0.16,0.227,0.111,0.127
"P21","Nunca lo votaría",0.663,0.665,0.638,0.475,0.488,0.531
"P21","No sabe",0.108,0.049,0.135,0.266,0.235,0.308
"P22","Lo votaría",0.12,0.028,0.113,0.083,0.126,0.016
"P22","Puede que lo vote",0.094,0.142,0.115,0.202,0.283,0.183
"P22","Nunca lo votaría",0.703,0.776,0.695,0.459,0.55,0.547
"P22","No sabe",0.083,0.054,0.077,0.256,0.041,0.254
"P23","Si",0.407,0.452,0.4,0.469,0.428,0.282
"P23","No",0.593,0.548,0.6,0.531,0.572,0.718
"P09_imputada","Alfredo Cornejo a gobernador y Hebe Casado a vicegobernador por Cambia Mendoza",0.385,0.449,0.315,0.112,0.2,0.266
"P09_imputada","Omar De Marchi a gobernador y Daniel Orozco a vicegobernador por La Unión Mendocina",0.297,0.332,0.257,0.325,0.098,0.369
"P09_imputada","Omar Parisi a gobernador y Lucas Ilardo a vicegobernador por Elegí Mendoza",0.121,0.122,0.31,0.228,0.183,0.064
"P09_imputada","Mario Vadillo a gobernador y Emanuel Fugazzotto a vicegobernador por el Partido Verde",0.04,0.033,0.026,0.075,0.017,0.116
"P09_imputada","Lautaro Giménez a gobernador y Noelia Barbeito a vicegobernadora por el Frente de Izquierda",0.057,0.023,0.067,0.101,0.443,0.042
"P09_imputada","En blanco",0.1,0.041,0.025,0.159,0.059,0.143
"P15_imputada","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.142,0.174,0.52,0.409,0.203,0.145
"P15_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.27,0.577,0.217,0.236,0.255,0.253
"P15_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.552,0.237,0.221,0.339,0.209,0.387
"P15_imputada","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.011,0.01,0.002,0.014,0.248,0.072
"P15_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.006,0.002,0.013,0,0.042,0.089
"P15_imputada","En blanco",0.019,0,0.027,0.002,0.043,0.054
