"var","categoria","Unión por la Patria","Juntos por el Cambio ","Juntos Somos Río Negro","Liberales","Izquierda","Otro","No sabe"
"P06","Tiene Decidido que va a ir a votar",0.899,0.96,0.86,0.909,0.907,0.836,0.785
"P06","Tiene dudas sobre si va a ir a  votar",0.081,0.028,0.12,0.055,0.093,0.156,0.152
"P06","Tiene Decidido que no va a ir a votar",0.02,0.012,0.02,0.036,0,0.008,0.063
"P07","Mucho",0.544,0.491,0.369,0.566,0.722,0.581,0.326
"P07","Bastante",0.269,0.293,0.208,0.276,0.18,0.296,0.212
"P07","Poco",0.148,0.147,0.27,0.106,0.038,0.034,0.167
"P07","Nada",0.025,0.069,0.129,0.052,0.06,0.07,0.181
"P07","No sabe",0.014,0,0.024,0,0,0.019,0.114
"P08","Siempre",0.243,0.248,0.146,0.255,0.24,0.283,0.177
"P08","Casi siempre",0.359,0.363,0.307,0.25,0.225,0.191,0.153
"P08","Casi nunca",0.237,0.265,0.417,0.329,0.226,0.498,0.305
"P08","Nunca, pero esta es una excepción",0.161,0.124,0.13,0.166,0.309,0.028,0.365
"P14","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.844,0.101,0.19,0.014,0.158,0.143,0.235
"P14","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.037,0.697,0.273,0.013,0.006,0.016,0.076
"P14","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.061,0.052,0.263,0.043,0.046,0,0.029
"P14","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.036,0.113,0.213,0.916,0.374,0.503,0.189
"P14","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.01,0.002,0.035,0,0.328,0.101,0.011
"P14","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.003,0,0.017,0.009,0.035,0.072,0.021
"P14","En blanco",0,0,0,0,0,0.044,0.038
"P14","No sabe",0.009,0.035,0.009,0.005,0.053,0.121,0.401
"P18","Totalmente seguro",0.753,0.688,0.61,0.832,0.466,0.744,0.412
"P18","Bastante seguro",0.142,0.19,0.078,0.096,0.199,0.101,0.095
"P18","Algo seguro",0.05,0.071,0.196,0.048,0.195,0.029,0.082
"P18","Para nada seguro",0.055,0.051,0.116,0.024,0.14,0.126,0.411
"P22","Sí",0.15,0.737,0.549,0.986,0.597,0.531,0.581
"P22","No",0.85,0.263,0.451,0.014,0.403,0.469,0.419
"P23","Martín Soria a Diputado Nacional por Unión por la Patria",0.289,0.181,0.134,0.012,0.175,0,0.172
"P23","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.197,0.406,0.269,0.129,0.155,0.169,0.11
"P23","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.321,0.196,0.355,0.051,0.373,0.141,0.078
"P23","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.053,0.132,0.084,0.428,0.264,0.69,0.212
"P23","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.019,0,0,0.004,0.033,0,0
"P23","En blanco",0.121,0,0,0.155,0,0,0.161
"P23","No sabe",0,0.085,0.158,0.221,0,0,0.267
"P27","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.937,0.196,0.615,0.01,0.223,0.58,0.549
