"var","categoria","Martín Soria a Diputado Nacional por Unión por la Patria","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro","Lorena Villaverde a Diputada Nacional por la Libertad Avanza","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda","En blanco","No sabe"
"P06","Tiene Decidido que va a ir a votar",0.925,0.855,0.909,0.978,1,0.898,0.72
"P06","Tiene dudas sobre si va a ir a  votar",0.06,0.133,0.07,0.022,0,0.102,0.157
"P06","Tiene Decidido que no va a ir a votar",0.015,0.012,0.021,0,0,0,0.123
"P07","Mucho",0.588,0.456,0.558,0.472,0.711,0.588,0.289
"P07","Bastante",0.216,0.26,0.286,0.238,0.16,0.159,0.369
"P07","Poco",0.132,0.192,0.105,0.216,0,0.219,0.102
"P07","Nada",0.044,0.092,0.03,0.074,0.129,0.034,0.24
"P07","No sabe",0.02,0,0.021,0,0,0,0
"P08","Siempre",0.279,0.317,0.224,0.18,0,0.285,0.139
"P08","Casi siempre",0.344,0.229,0.298,0.247,0.562,0.385,0.204
"P08","Casi nunca",0.239,0.244,0.331,0.422,0.342,0.205,0.453
"P08","Nunca, pero esta es una excepción",0.138,0.21,0.147,0.151,0.096,0.125,0.204
"P13","Unión por la Patria",0.815,0.168,0.243,0.026,0.734,0.147,0.026
"P13","Juntos por el Cambio ",0.055,0.258,0.123,0.074,0,0,0.113
"P13","Juntos Somos Río Negro",0.038,0.263,0.419,0.112,0,0.014,0.108
"P13","Liberales",0.004,0.217,0.101,0.543,0.073,0.686,0.636
"P13","Izquierda",0.024,0.056,0.079,0.124,0.193,0,0.008
"P13","Otro",0.007,0.011,0.004,0.057,0,0,0
"P13","No sabe",0.057,0.027,0.031,0.064,0,0.153,0.109
"P14","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.931,0.113,0.06,0.003,0.28,0.079,0.108
"P14","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.03,0.552,0.054,0.028,0,0.029,0.036
"P14","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0,0,0.701,0,0,0,0
