"var","categoria","Si","No"
"P06","Tiene Decidido que va a ir a votar",0.933,0.808
"P06","Tiene dudas sobre si va a ir a  votar",0.039,0.177
"P06","Tiene Decidido que no va a ir a votar",0.028,0.015
"P07","Mucho",0.587,0.346
"P07","Bastante",0.266,0.136
"P07","Poco",0.11,0.34
"P07","Nada",0.021,0.178
"P07","No sabe",0.016,0
"P08","Siempre",0.276,0.298
"P08","Casi siempre",0.315,0.223
"P08","Casi nunca",0.28,0.352
"P08","Nunca, pero esta es una excepción",0.129,0.127
"P13","Unión por la Patria",0.493,0.371
"P13","Juntos por el Cambio ",0.085,0.189
"P13","Juntos Somos Río Negro",0.11,0.119
"P13","Liberales",0.229,0.149
"P13","Izquierda",0.026,0.065
"P13","Otro",0.012,0
"P13","No sabe",0.045,0.107
"P14","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.52,0.465
"P14","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.074,0.208
"P14","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.054,0.024
"P14","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.319,0.276
"P14","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.007,0
"P14","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.007,0.011
"P14","En blanco",0.001,0
"P14","No sabe",0.018,0.016
"P18","Totalmente seguro",0.78,0.59
"P18","Bastante seguro",0.112,0.186
"P18","Algo seguro",0.036,0.162
"P18","Para nada seguro",0.072,0.062
"P22","Sí",0.443,0.534
"P22","No",0.557,0.466
"P23","Martín Soria a Diputado Nacional por Unión por la Patria",0.095,0.13
"P23","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.208,0.325
"P23","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.142,0.182
"P23","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.288,0.185
"P23","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.011,0
"P23","En blanco",0.122,0
"P23","No sabe",0.134,0.178
"P27","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.599,0.489
"P27","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.195,0.318
"P27","En blanco",0.142,0.131
"P27","No sabe",0.064,0.062
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.249,0.258
"P28","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.345,0.192
"P28","En blanco",0.253,0.34
"P28","No sabe",0.153,0.21
"P29","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.552,0.523
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.364,0.355
"P29","En blanco",0.052,0.096
"P29","No sabe",0.032,0.026
"P30","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.374,0.287
"P30","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.138,0.091
"P30","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.352,0.358
"P30","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.063,0.219
"P30","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.034,0.025
"P30","No sabe",0.039,0.02
"P31","No estaba enterado del tema",0.127,0.179
"P31","Un tema de la vida privada de él",0.11,0.229
"P31","Un hecho vergonzoso de exclusiva responsabilidad de él",0.374,0.229
"P31","Un hecho vergonzoso del cual también es responsable el gobernador Kicillof",0.094,0.226
"P31","Un hecho vergonzoso que muestran como son los dirigentes que apoyan a Sergio Massa",0.271,0.109
"P31","No sabe",0.024,0.028
"P33","Sergio Massa",0.523,0.437
"P33","Patria Bullrich",0.092,0.159
"P33","Javier Milei",0.292,0.206
"P33","Myriam Bregman",0.062,0.115
"P33","Juan Schiaretti",0.031,0.083
"P34","Ha aumentado significativamente",0.163,0.095
"P34","Ha aumentado ligeramente",0.233,0.104
"P34","Se mantiene igual",0.278,0.406
"P34","Ha disminuido ligeramente",0.166,0.179
"P34","Ha disminuido significativamente",0.16,0.216
"P35","No, ninguna dificultad",0.435,0.293
"P35","Alguna dificultad ocasional",0.339,0.273
"P35","Sí, dificultades frecuentes",0.226,0.434
"P36","Sí, absolutamente",0.553,0.56
"P36","Sí, en cierta medida",0.294,0.308
"P36","No, en absoluto",0.153,0.132
"P37","Reducir la inflación",0.39,0.403
"P37","Implementar reformas fiscales",0.09,0.137
"P37","Establecer políticas de control de precios",0.234,0.09
"P37","Reducir el gasto público",0.216,0.297
"P37","Estimular la inversión extranjera",0.05,0.063
"P37","Aumentar los subsidios a los servicios públicos",0.02,0.01
"P38","Muy positiva",0.205,0.365
"P38","Positiva",0.257,0.142
"P38","Neutral",0.294,0.194
"P38","Algo negativa",0.039,0.017
"P38","Negativa",0.055,0.002
"P38","No sabe",0.15,0.28
"P39","Muy positiva",0.443,0.282
"P39","Positiva",0.224,0.178
"P39","Neutral",0.166,0.229
"P39","Algo negativa",0.063,0.072
"P39","Negativa",0.082,0.144
"P39","No sabe",0.022,0.095
"P40","Muy positiva",0.313,0.221
"P40","Positiva",0.231,0.157
"P40","Neutral",0.169,0.166
"P40","Algo negativa",0.085,0.136
"P40","Negativa",0.135,0.128
"P40","No sabe",0.067,0.192
"P41","Muy positiva",0.53,0.34
"P41","Positiva",0.228,0.197
"P41","Neutral",0.126,0.109
"P41","Algo negativa",0.056,0.068
"P41","Negativa",0.049,0.157
"P41","No sabe",0.011,0.129
"P42","Muy positiva",0.493,0.307
"P42","Positiva",0.226,0.181
"P42","Neutral",0.174,0.181
"P42","Algo negativa",0.022,0.124
"P42","Negativa",0.065,0.075
"P42","No sabe",0.02,0.132
"P43","Lo votaría",0.516,0.5
"P43","Puede que lo vote",0.08,0.037
"P43","Nunca lo votaría",0.382,0.325
"P43","No sabe",0.022,0.138
"P44","Lo votaría",0.096,0.192
"P44","Puede que lo vote",0.155,0.076
"P44","Nunca lo votaría",0.685,0.563
"P44","No sabe",0.064,0.169
"P45","Lo votaría",0.067,0.088
"P45","Puede que lo vote",0.199,0.062
"P45","Nunca lo votaría",0.556,0.644
"P45","No sabe",0.178,0.206
"P46","Lo votaría",0.29,0.296
"P46","Puede que lo vote",0.094,0.077
"P46","Nunca lo votaría",0.57,0.552
"P46","No sabe",0.046,0.075
"P47","Lo votaría",0.049,0.096
"P47","Puede que lo vote",0.173,0.109
"P47","Nunca lo votaría",0.62,0.519
"P47","No sabe",0.158,0.276
"P48","Si",0.443,0.33
"P48","No",0.557,0.67
"PRESIDENTE","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente por Unión por la Patria",0.553,0.477
"PRESIDENTE","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente por Juntos por el Cambio",0.083,0.208
"PRESIDENTE","Javier Milei a Presidente, Victoria Villarruel a Vicepresident por la Libertad Avanza",0.319,0.28
"PRESIDENTE","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.007,0
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.012,0.01
"PRESIDENTE","En blanco",0.007,0.009
"PRESIDENTE","No sabe",0.019,0.016
"DIPUTADOS","Martín Soria a Diputado Nacional por Unión por la Patria",0.487,0.477
"DIPUTADOS","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.107,0.216
"DIPUTADOS","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.104,0.096
