"var","categoria","Sergio Massa","Patria Bullrich","Javier Milei","Myriam Bregman","Juan Schiaretti"
"P06","Tiene Decidido que va a ir a votar",0.924,0.801,0.911,0.979,0.968
"P06","Tiene dudas sobre si va a ir a  votar",0.062,0.114,0.051,0.021,0.032
"P06","Tiene Decidido que no va a ir a votar",0.014,0.085,0.038,0,0
"P07","Mucho",0.599,0.546,0.466,0.503,0.469
"P07","Bastante",0.191,0.24,0.264,0.403,0.295
"P07","Poco",0.118,0.178,0.203,0.094,0.213
"P07","Nada",0.078,0.036,0.047,0,0.023
"P07","No sabe",0.014,0,0.02,0,0
"P08","Siempre",0.308,0.275,0.289,0.309,0.078
"P08","Casi siempre",0.312,0.348,0.245,0.189,0.466
"P08","Casi nunca",0.259,0.237,0.363,0.315,0.364
"P08","Nunca, pero esta es una excepción",0.121,0.14,0.103,0.187,0.092
"P13","Unión por la Patria",0.796,0.183,0.011,0.374,0.073
"P13","Juntos por el Cambio ",0.049,0.337,0.082,0.234,0.056
"P13","Juntos Somos Río Negro",0.089,0.161,0.127,0.208,0.155
"P13","Liberales",0.013,0.082,0.68,0.168,0.209
"P13","Izquierda",0.009,0.023,0.029,0.01,0.336
"P13","Otro",0.009,0.003,0.016,0,0.026
"P13","No sabe",0.035,0.211,0.055,0.006,0.145
"P14","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.853,0.204,0.028,0.368,0.222
"P14","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.045,0.407,0.055,0.236,0.189
"P14","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.056,0.049,0.007,0.153,0.045
"P14","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.036,0.23,0.886,0.186,0.408
"P14","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.004,0.003,0,0.039,0
"P14","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.002,0.008,0.002,0,0.124
"P14","En blanco",0.001,0.003,0,0,0
"P14","No sabe",0.003,0.096,0.022,0.018,0.012
"P18","Totalmente seguro",0.776,0.6,0.77,0.801,0.339
"P18","Bastante seguro",0.103,0.28,0.127,0.118,0.154
"P18","Algo seguro",0.071,0.014,0.032,0.071,0.342
"P18","Para nada seguro",0.05,0.106,0.071,0.01,0.165
"P22","Sí",0.156,0.747,0.904,0.49,0.801
"P22","No",0.844,0.253,0.096,0.51,0.199
"P23","Martín Soria a Diputado Nacional por Unión por la Patria",0.308,0,0.03,0.38,0.07
