"var","categoria","Martín Soria a Diputado Nacional por Unión por la Patria","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro","Lorena Villaverde a Diputada Nacional por la Libertad Avanza","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda","En blanco"
"P06","Tiene Decidido que va a ir a votar",0.91,0.846,0.913,0.933,1,0.909
"P06","Tiene dudas sobre si va a ir a  votar",0.075,0.143,0.067,0.018,0,0.091
"P06","Tiene Decidido que no va a ir a votar",0.015,0.011,0.02,0.049,0,0
"P07","Mucho",0.576,0.475,0.557,0.429,0.711,0.526
"P07","Bastante",0.21,0.253,0.293,0.306,0.16,0.141
"P07","Poco",0.133,0.188,0.101,0.192,0,0.211
"P07","Nada",0.062,0.084,0.029,0.073,0.129,0.122
"P07","No sabe",0.019,0,0.02,0,0,0
"P08","Siempre",0.277,0.319,0.231,0.156,0,0.254
"P08","Casi siempre",0.334,0.251,0.305,0.222,0.562,0.359
"P08","Casi nunca",0.255,0.227,0.322,0.459,0.343,0.184
"P08","Nunca, pero esta es una excepción",0.134,0.203,0.142,0.163,0.095,0.203
"P13","Unión por la Patria",0.798,0.151,0.231,0.022,0.737,0.13
"P13","Juntos por el Cambio ",0.053,0.245,0.117,0.097,0,0
"P13","Juntos Somos Río Negro",0.054,0.237,0.411,0.092,0,0.013
"P13","Liberales",0.006,0.235,0.131,0.588,0.073,0.714
"P13","Izquierda",0.025,0.05,0.076,0.102,0.19,0
"P13","Otro",0.006,0.01,0.004,0.047,0,0
"P13","No sabe",0.058,0.072,0.03,0.052,0,0.143
"P18","Totalmente seguro",0.738,0.761,0.536,0.678,0.69,0.873
"P18","Bastante seguro",0.15,0.061,0.212,0.155,0.118,0.098
"P18","Algo seguro",0.061,0.072,0.163,0.089,0,0.013
"P18","Para nada seguro",0.051,0.106,0.089,0.078,0.192,0.016
"P22","Sí",0.127,0.791,0.734,0.831,0.343,0.967
"P22","No",0.873,0.209,0.266,0.169,0.657,0.033
"P23","Martín Soria a Diputado Nacional por Unión por la Patria",0.83,0,0.006,0,0,0
"P23","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0,0.87,0,0,0,0
"P23","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0,0,0.888,0,0,0
"P23","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0,0,0.015,0.822,0,0
"P23","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0,0,0,0,1,0
"P23","En blanco",0,0,0,0,0,0.89
"P23","No sabe",0.17,0.13,0.091,0.178,0,0.11
"P27","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.942,0.187,0.444,0.105,0.754,0.106
"P27","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.046,0.757,0.162,0.308,0.081,0.236
"P27","En blanco",0.009,0.023,0.25,0.329,0.094,0.542
"P27","No sabe",0.003,0.033,0.144,0.258,0.071,0.116
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.266,0.555,0.14,0.138,0,0.013
"P28","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.048,0.349,0.397,0.805,0.258,0.808
"P28","En blanco",0.424,0.053,0.331,0.007,0.109,0.172
"P28","No sabe",0.262,0.043,0.132,0.05,0.633,0.007
"P29","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.927,0.166,0.321,0.038,0.853,0.087
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.04,0.518,0.511,0.956,0.147,0.785
"P29","En blanco",0.023,0.228,0.042,0.006,0,0.115
"P29","No sabe",0.01,0.088,0.126,0,0,0.013
"P30","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.192,0.505,0.302,0.65,0,0.614
"P30","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.1,0.101,0.216,0.168,0.067,0.29
"P30","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.537,0.299,0.21,0.031,0.237,0.096
"P30","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.125,0.057,0.209,0.008,0,0
"P30","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.017,0.028,0.01,0.068,0.696,0
"P30","No sabe",0.029,0.01,0.053,0.075,0,0
"P31","No estaba enterado del tema",0.19,0.087,0.196,0.063,0,0.018
"P31","Un tema de la vida privada de él",0.187,0.136,0.13,0.019,0.257,0.019
"P31","Un hecho vergonzoso de exclusiva responsabilidad de él",0.513,0.159,0.234,0.067,0.603,0.45
"P31","Un hecho vergonzoso del cual también es responsable el gobernador Kicillof",0.052,0.28,0.127,0.211,0,0.085
"P31","Un hecho vergonzoso que muestran como son los dirigentes que apoyan a Sergio Massa",0.013,0.324,0.313,0.64,0.14,0.428
"P31","No sabe",0.045,0.014,0,0,0,0
"P32","Si",0.768,0.666,0.729,0.873,1,0.984
"P32","No",0.232,0.334,0.271,0.127,0,0.016
"P33","Sergio Massa",0.868,0.236,0.308,0.045,0.414,0.008
"P33","Patria Bullrich",0.047,0.339,0.072,0.133,0,0.013
"P33","Javier Milei",0.015,0.231,0.408,0.74,0.068,0.835
"P33","Myriam Bregman",0.058,0.119,0.187,0.013,0.376,0
"P33","Juan Schiaretti",0.012,0.075,0.025,0.069,0.142,0.144
"P34","Ha aumentado significativamente",0.236,0.052,0.123,0.046,0.268,0.026
"P34","Ha aumentado ligeramente",0.277,0.165,0.174,0.107,0.401,0.067
"P34","Se mantiene igual",0.311,0.289,0.247,0.339,0.214,0.315
"P34","Ha disminuido ligeramente",0.117,0.143,0.396,0.222,0,0.052
"P34","Ha disminuido significativamente",0.059,0.351,0.06,0.286,0.117,0.54
"P35","No, ninguna dificultad",0.555,0.399,0.29,0.169,0.165,0.18
"P35","Alguna dificultad ocasional",0.314,0.278,0.23,0.456,0.401,0.319
"P35","Sí, dificultades frecuentes",0.131,0.323,0.48,0.375,0.434,0.501
"P36","Sí, absolutamente",0.713,0.404,0.426,0.399,0.17,0.408
"P36","Sí, en cierta medida",0.253,0.467,0.337,0.32,0.671,0.052
"P36","No, en absoluto",0.034,0.129,0.237,0.281,0.159,0.54
"P37","Reducir la inflación",0.489,0.228,0.441,0.295,0.157,0.285
"P37","Implementar reformas fiscales",0.068,0.182,0.109,0.097,0.169,0.132
"P37","Establecer políticas de control de precios",0.3,0.089,0.124,0.09,0.399,0.195
"P37","Reducir el gasto público",0.114,0.338,0.208,0.463,0,0.297
