"var","categoria","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente","En blanco"
"P06","Tiene Decidido que va a ir a votar",0.9,0.882,0.923,0.874,0.968,0.981,0.86
"P06","Tiene dudas sobre si va a ir a  votar",0.082,0.105,0.043,0.084,0.025,0.019,0.14
"P06","Tiene Decidido que no va a ir a votar",0.018,0.013,0.034,0.042,0.007,0,0
"P07","Mucho",0.479,0.455,0.587,0.521,0.695,0.35,0.221
"P07","Bastante",0.247,0.315,0.286,0.21,0.177,0.517,0.133
"P07","Poco",0.165,0.165,0.064,0.155,0.045,0.118,0.614
"P07","Nada",0.09,0.064,0.039,0.083,0.046,0.015,0.032
"P07","No sabe",0.019,0.001,0.024,0.031,0.037,0,0
"P08","Siempre",0.244,0.193,0.167,0.278,0.063,0.102,0
"P08","Casi siempre",0.304,0.394,0.353,0.192,0.408,0.552,0.202
"P08","Casi nunca",0.265,0.278,0.366,0.339,0.185,0.261,0.731
"P08","Nunca, pero esta es una excepción",0.187,0.135,0.114,0.191,0.344,0.085,0.067
"P13","Unión por la Patria",0.691,0.053,0.213,0.037,0.089,0.064,0
"P13","Juntos por el Cambio ",0.065,0.617,0.109,0.074,0.008,0.003,0
"P13","Juntos Somos Río Negro",0.086,0.221,0.527,0.125,0.171,0.238,0
"P13","Liberales",0.006,0.011,0.082,0.529,0,0.117,0
"P13","Izquierda",0.037,0.002,0.035,0.085,0.622,0.189,0
"P13","Otro",0.011,0.001,0,0.04,0.059,0.119,0.184
"P13","No sabe",0.104,0.095,0.034,0.11,0.051,0.27,0.816
"P18","Totalmente seguro",0.663,0.735,0.476,0.739,0.676,0.302,0.366
"P18","Bastante seguro",0.153,0.081,0.239,0.099,0.21,0.164,0
"P18","Algo seguro",0.075,0.093,0.224,0.067,0.028,0.226,0.107
"P18","Para nada seguro",0.109,0.091,0.061,0.095,0.086,0.308,0.527
"P27","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.944,0.207,0.677,0.113,0.846,0.405,0
"P27","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.028,0.757,0.142,0.338,0.154,0.362,0.444
"P27","En blanco",0.002,0.036,0.071,0.37,0,0.233,0
"P27","No sabe",0.026,0,0.11,0.179,0,0,0.556
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.27,0.663,0.267,0.081,0.055,0.535,0.446
"P28","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.025,0.228,0.299,0.815,0.102,0.352,0
"P28","En blanco",0.421,0.07,0.411,0.072,0.234,0.113,0
"P28","No sabe",0.284,0.039,0.023,0.032,0.609,0,0.554
"P29","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.912,0.238,0.687,0.029,0.898,0.049,0.559
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.029,0.388,0.156,0.945,0.102,0.454,0.441
"P29","En blanco",0.022,0.288,0.081,0.024,0,0.436,0
"P29","No sabe",0.037,0.086,0.076,0.002,0,0.061,0
"P30","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.216,0.372,0.125,0.624,0,0.164,0
"P30","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.094,0.121,0.17,0.205,0,0.281,1
"P30","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.527,0.292,0.464,0.056,0.232,0.314,0
"P30","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.115,0.14,0.121,0.045,0.055,0,0
"P30","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.02,0,0.025,0.049,0.713,0,0
"P30","No sabe",0.028,0.075,0.095,0.021,0,0.241,0
"P31","No estaba enterado del tema",0.192,0.067,0.254,0.074,0,0.054,0
"P31","Un tema de la vida privada de él",0.189,0.123,0.067,0.059,0,0.11,0.553
"P31","Un hecho vergonzoso de exclusiva responsabilidad de él",0.496,0.226,0.49,0.128,0.754,0.241,0
"P31","Un hecho vergonzoso del cual también es responsable el gobernador Kicillof",0.045,0.244,0.066,0.216,0.057,0.073,0
"P31","Un hecho vergonzoso que muestran como son los dirigentes que apoyan a Sergio Massa",0.034,0.329,0.123,0.523,0.1,0.522,0.447
"P31","No sabe",0.044,0.011,0,0,0.089,0,0
"P32","Si",0.8,0.598,0.888,0.802,1,0.707,1
"P32","No",0.2,0.402,0.112,0.198,0,0.293,0
"P33","Sergio Massa",0.858,0.195,0.583,0.057,0.403,0.148,0.556
"P33","Patria Bullrich",0.043,0.455,0.108,0.076,0.062,0.104,0.444
"P33","Javier Milei",0.024,0.129,0.038,0.77,0,0.077,0
"P33","Myriam Bregman",0.055,0.153,0.232,0.043,0.535,0,0
"P33","Juan Schiaretti",0.02,0.068,0.039,0.054,0,0.671,0
"P34","Ha aumentado significativamente",0.23,0.088,0.18,0.041,0.153,0,0
"P34","Ha aumentado ligeramente",0.259,0.157,0.17,0.143,0.532,0.051,0
"P34","Se mantiene igual",0.344,0.18,0.19,0.306,0.16,0.457,0
"P34","Ha disminuido ligeramente",0.125,0.21,0.397,0.194,0,0,0.557
"P34","Ha disminuido significativamente",0.042,0.365,0.063,0.316,0.155,0.492,0.443
"P35","No, ninguna dificultad",0.563,0.223,0.493,0.213,0.312,0.232,0
"P35","Alguna dificultad ocasional",0.284,0.424,0.35,0.354,0.533,0.051,0.442
"P35","Sí, dificultades frecuentes",0.153,0.353,0.157,0.433,0.155,0.717,0.558
"P36","Sí, absolutamente",0.703,0.481,0.444,0.368,0.258,0.528,0.56
"P36","Sí, en cierta medida",0.253,0.435,0.473,0.287,0.742,0.075,0
"P36","No, en absoluto",0.044,0.084,0.083,0.345,0,0.397,0.44
"P37","Reducir la inflación",0.489,0.212,0.583,0.29,0.061,0.3,0.557
"P37","Implementar reformas fiscales",0.086,0.157,0.04,0.11,0.256,0,0
"P37","Establecer políticas de control de precios",0.297,0.071,0.207,0.097,0.525,0.373,0
"P37","Reducir el gasto público",0.07,0.494,0.17,0.4,0,0.327,0.443
"P37","Estimular la inversión extranjera",0.024,0.066,0,0.103,0,0,0
"P37","Aumentar los subsidios a los servicios públicos",0.034,0,0,0,0.158,0,0
"P38","Muy positiva",0.262,0.221,0.277,0.193,0.561,0,0
"P38","Positiva",0.285,0.143,0.618,0.114,0.229,0.146,0
"P38","Neutral",0.213,0.379,0.022,0.38,0.15,0.53,0.571
"P38","Algo negativa",0.023,0.12,0,0.025,0,0.195,0
"P38","Negativa",0.03,0.036,0,0.079,0,0.129,0
"P38","No sabe",0.187,0.101,0.083,0.209,0.06,0,0.429
"P39","Muy positiva",0.626,0.199,0.422,0.115,0.94,0.099,0
"P39","Positiva",0.186,0.296,0.449,0.201,0,0.124,0
"P39","Neutral",0.119,0.255,0.082,0.271,0,0.198,0.571
"P39","Algo negativa",0.02,0.049,0,0.155,0,0.247,0
"P39","Negativa",0.011,0.196,0.047,0.207,0,0.206,0.429
"P39","No sabe",0.038,0.005,0,0.051,0.06,0.126,0
"P40","Muy positiva",0.411,0.305,0.172,0.107,0.808,0,0
"P40","Positiva",0.289,0.059,0.224,0.151,0.131,0.224,0
"P40","Neutral",0.094,0.251,0.309,0.248,0,0,0.57
"P40","Algo negativa",0.031,0.19,0.089,0.169,0,0.25,0
"P40","Negativa",0.076,0.142,0.127,0.221,0,0.526,0.43
"P40","No sabe",0.099,0.053,0.079,0.104,0.061,0,0
"P41","Muy positiva",0.609,0.182,0.214,0.463,0.79,0.099,0
"P41","Positiva",0.198,0.125,0.56,0.243,0.149,0.32,0
"P41","Neutral",0.069,0.394,0.034,0.128,0,0.132,0
"P41","Algo negativa",0.039,0.108,0.134,0.055,0,0.251,0
"P41","Negativa",0.033,0.182,0,0.099,0,0.198,1
"P41","No sabe",0.052,0.009,0.058,0.012,0.061,0,0
"P42","Muy positiva",0.549,0.343,0.694,0.283,0.769,0.29,0
"P42","Positiva",0.28,0.097,0.182,0.161,0.166,0,0.408
"P42","Neutral",0.039,0.322,0.103,0.364,0,0.514,0
"P42","Algo negativa",0.034,0.18,0.021,0.018,0,0,0
"P42","Negativa",0.028,0.023,0,0.162,0,0.196,0.592
"P42","No sabe",0.07,0.035,0,0.012,0.065,0,0
"P43","Lo votaría",0.808,0.273,0.759,0.055,0.771,0.038,0
