"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.071,0.069,0.073,0.044,0.077,0.072,0.093,0.124,0.054,0.045,0.079,0.179,0.066,0,0.082,0.053,0.062,0.079,6
"Buena",0.153,0.144,0.162,0.179,0.134,0.162,0.159,0.23,0.132,0.112,0.16,0.244,0.21,0.09,0.238,0.136,0.133,0.171,6
"Ni buena ni mala",0.424,0.4,0.451,0.396,0.435,0.426,0.425,0.389,0.423,0.456,0.452,0.393,0.427,0.346,0.423,0.438,0.462,0.388,6
"Mala",0.204,0.23,0.176,0.233,0.191,0.22,0.176,0.141,0.245,0.208,0.181,0.104,0.188,0.29,0.14,0.203,0.195,0.213,6
"Muy mala",0.091,0.103,0.078,0.084,0.125,0.05,0.059,0.063,0.073,0.139,0.086,0.071,0.051,0.135,0.074,0.137,0.106,0.077,6
"No sabe",0.057,0.054,0.06,0.064,0.038,0.07,0.088,0.053,0.073,0.04,0.042,0.009,0.058,0.139,0.043,0.033,0.042,0.072,6
"Positiva",0.224,0.213,0.235,0.223,0.211,0.234,0.252,0.354,0.186,0.157,0.239,0.423,0.276,0.09,0.32,0.189,0.195,0.25,4
"Neutra",0.424,0.4,0.451,0.396,0.435,0.426,0.425,0.389,0.423,0.456,0.452,0.393,0.427,0.346,0.423,0.438,0.462,0.388,4
"Negativa",0.295,0.333,0.254,0.317,0.316,0.27,0.235,0.204,0.318,0.347,0.267,0.175,0.239,0.425,0.214,0.34,0.301,0.29,4
"No sabe",0.057,0.054,0.06,0.064,0.038,0.07,0.088,0.053,0.073,0.04,0.042,0.009,0.058,0.139,0.043,0.033,0.042,0.072,4
