"var","categoria","El gobierno de Javier Milei","El gobierno de Alberto Fernández","Ambos","No sabe"
"P08","Siempre",0.306,0.178,0.188,0.047
"P08","Casi siempre",0.351,0.36,0.445,0.353
"P08","Casi nunca",0.255,0.32,0.216,0.183
"P08","Nunca, pero esta es una excepción",0.088,0.142,0.151,0.417
"P09","Muy buena",0.248,0.093,0.18,0
"P09","Buena",0.263,0.307,0.176,0.332
"P09","Ni buena ni mala",0.299,0.369,0.428,0.379
"P09","Mala",0.139,0.158,0.14,0.279
"P09","Muy mala",0.044,0.065,0.051,0
"P09","No sabe",0.007,0.008,0.025,0.01
"P10","Muy buena",0.266,0.181,0.15,0.377
"P10","Buena",0.33,0.327,0.269,0.413
"P10","Ni buena ni mala",0.269,0.285,0.394,0.14
"P10","Mala",0.069,0.121,0.125,0.07
"P10","Muy mala",0.04,0.07,0.041,0
"P10","No sabe",0.026,0.016,0.021,0
"P13","Si",0.429,0.779,0.462,0.494
"P13","No",0.318,0.062,0.223,0.208
"P13","No sabe",0.253,0.159,0.315,0.298
"P14","Si",0.43,0.857,0.545,0.444
"P14","No",0.335,0.032,0.13,0.342
"P14","No sabe",0.235,0.111,0.325,0.214
"P15","Si",0.537,0.897,0.538,0.935
"P15","No",0.287,0.059,0.218,0
"P15","No sabe",0.176,0.044,0.244,0.065
"P16","Si",0.519,0.589,0.581,0.552
"P16","No",0.339,0.34,0.239,0.134
"P16","No sabe",0.142,0.071,0.18,0.314
"P17","El gobierno nacional",0.409,0.113,0.159,0.25
"P17","El gobierno provincial anterior del MPN",0.326,0.619,0.383,0.073
"P17","El actual gobierno provincial de Rolo Figueroa",0.097,0.088,0.146,0
"P17","Todos igual",0.14,0.127,0.281,0.067
"P17","No sabe",0.028,0.053,0.031,0.61
"P18","Es un logro muy importante del Gobierno provincial",0.333,0.239,0.164,0.208
"P18","Está bien, pero es insuficiente para resolver la situación de emergencia",0.496,0.512,0.552,0.314
"P18","No alcanza para nada y son negocios del gobierno Provincial",0.108,0.15,0.216,0.094
"P18","No alcanza para nada porque el gobierno gestionó mal la compra",0.01,0.038,0.021,0
"P18","No sabe",0.053,0.061,0.047,0.384
"P19","Si",0.619,0.529,0.528,0.609
"P19","No",0.164,0.225,0.218,0.07
"P19","No sabe",0.217,0.246,0.254,0.321
"P20","Si",0.512,0.362,0.358,0.638
"P20","No",0.189,0.322,0.256,0.082
"P20","No sabe",0.299,0.316,0.386,0.28
"P23","Buena",0.277,0.238,0.156,0.331
"P23","Regular",0.451,0.458,0.353,0.56
"P23","Mala",0.239,0.286,0.367,0.029
"P23","No sabe",0.033,0.018,0.124,0.08
"P24","Buena",0.235,0.189,0.111,0.45
"P24","Regular",0.457,0.556,0.5,0.203
"P24","Mala",0.251,0.227,0.275,0.194
"P24","No sabe",0.057,0.028,0.114,0.153
"P25","Buena",0.241,0.183,0.16,0.433
"P25","Regular",0.375,0.431,0.318,0.152
"P25","Mala",0.237,0.22,0.345,0.012
"P25","No sabe",0.147,0.166,0.177,0.403
"P26","La capacitación para atender a la gente",0.328,0.16,0.168,0.119
"P26","La infraestructura y equipamiento de la fuerza",0.113,0.232,0.072,0.249
"P26","La formación técnica y profesional",0.301,0.29,0.401,0.293
"P26","La cantidad y distribución de los efectivos",0.089,0.134,0.119,0.053
"P26","La velocidad de respuesta ante las denuncias",0.078,0.088,0.12,0.196
"P26","Otros",0.06,0.067,0.076,0.08
"P26","No sabe",0.031,0.029,0.044,0.01
"P27","Alto",0.184,0.204,0.056,0.29
"P27","Regular",0.396,0.544,0.351,0.292
"P27","Bajo",0.373,0.238,0.506,0.212
"P27","No sabe",0.047,0.014,0.087,0.206
"P29","Dividirla en partes y transformarlas en varios decretos de necesidad y urgencia",0.145,0.217,0.036,0.167
"P29","Dividirlas en diferentes leyes que se puedan ir votando paulatinamente",0.178,0.421,0.37,0.125
"P29","Realizar un plebiscito sobre la necesidad del tratamiento de la ley ómnibus",0.064,0.194,0.207,0.206
"P29","Retirarla y no presentar nada",0.576,0.034,0.327,0.258
"P29","Volverla a presentar igual",0.004,0.099,0.008,0.01
"P29","No sabe",0.033,0.035,0.052,0.234
"P30","Javier Milei",0.152,0.715,0.166,0.408
"P30","Los gobernadores",0.824,0.173,0.691,0.227
"P30","No sabe",0.024,0.112,0.143,0.365
"P31","Muy buena",0.296,0.177,0.236,0.365
"P31","Buena",0.329,0.302,0.271,0.304
"P31","Ni buena ni mala",0.309,0.324,0.372,0.225
"P31","Mala",0.045,0.143,0.088,0.067
"P31","Muy mala",0.015,0.041,0.027,0.029
"P31","No sabe",0.006,0.013,0.006,0.01
"P32","Muy buena",0.211,0.051,0.179,0.237
"P32","Buena",0.239,0.164,0.187,0.302
"P32","Ni buena ni mala",0.346,0.356,0.358,0.214
"P32","Mala",0.139,0.296,0.103,0.029
"P32","Muy mala",0.029,0.1,0.106,0.01
"P32","No sabe",0.036,0.033,0.067,0.208
"P33","Muy buena",0.118,0.052,0.123,0.17
"P33","Buena",0.143,0.117,0.13,0.265
"P33","Ni buena ni mala",0.303,0.234,0.31,0.235
"P33","Mala",0.293,0.378,0.292,0.02
"P33","Muy mala",0.141,0.178,0.126,0.023
"P33","No sabe",0.002,0.041,0.019,0.287
"P34","Muy buena",0.105,0.05,0.064,0.175
"P34","Buena",0.137,0.141,0.215,0.227
"P34","Ni buena ni mala",0.428,0.408,0.468,0.486
"P34","Mala",0.207,0.242,0.085,0.022
"P34","Muy mala",0.083,0.093,0.12,0
"P34","No sabe",0.04,0.066,0.048,0.09
"P35","Muy buena",0.286,0.087,0.166,0.174
"P35","Buena",0.288,0.1,0.157,0.246
"P35","Ni buena ni mala",0.272,0.295,0.374,0.374
"P35","Mala",0.08,0.325,0.155,0.1
"P35","Muy mala",0.046,0.157,0.111,0
"P35","No sabe",0.028,0.036,0.037,0.106
"P36","Muy buena",0.543,0.031,0.17,0.013
"P36","Buena",0.185,0.056,0.237,0.406
"P36","Ni buena ni mala",0.115,0.084,0.172,0.101
"P36","Mala",0.099,0.348,0.216,0.443
"P36","Muy mala",0.058,0.473,0.205,0.026
"P36","No sabe",0,0.008,0,0.011
"P37","Muy buena",0.117,0.164,0.045,0
"P37","Buena",0.064,0.242,0.015,0.452
"P37","Ni buena ni mala",0.033,0.325,0.167,0.513
"P37","Mala",0.352,0.19,0.408,0.024
"P37","Muy mala",0.433,0.072,0.365,0.011
"P37","No sabe",0.001,0.007,0,0
"P38","Muy buena",0.264,0.018,0.069,0.011
"P38","Buena",0.33,0.056,0.234,0.453
"P38","Ni buena ni mala",0.266,0.134,0.268,0.04
"P38","Mala",0.086,0.35,0.226,0.448
"P38","Muy mala",0.054,0.431,0.189,0.037
"P38","No sabe",0,0.011,0.014,0.011
"P39","Muy buena",0.081,0.591,0.084,0.189
"P39","Buena",0.054,0.191,0.105,0.395
"P39","Ni buena ni mala",0.031,0.146,0.165,0.354
"P39","Mala",0.353,0.043,0.332,0
"P39","Muy mala",0.478,0.027,0.265,0.039
"P39","No sabe",0.003,0.002,0.049,0.023
"P40","Muy buena",0.083,0.441,0.077,0.194
"P40","Buena",0.025,0.294,0.2,0.358
"P40","Ni buena ni mala",0.054,0.173,0.1,0.201
"P40","Mala",0.276,0.071,0.329,0.236
"P40","Muy mala",0.562,0.019,0.294,0
"P40","No sabe",0,0.002,0,0.011
"P41","Muy buena",0.069,0.265,0.053,0
"P41","Buena",0.033,0.225,0.087,0.432
"P41","Ni buena ni mala",0.08,0.385,0.284,0.505
"P41","Mala",0.328,0.069,0.283,0.012
"P41","Muy mala",0.465,0.013,0.25,0.013
"P41","No sabe",0.025,0.043,0.043,0.038
"P42","Muy buena",0.092,0.555,0.146,0
"P42","Buena",0.024,0.196,0.07,0.58
"P42","Ni buena ni mala",0.107,0.186,0.242,0.074
"P42","Mala",0.235,0.038,0.197,0
"P42","Muy mala",0.515,0.018,0.317,0.013
"P42","No sabe",0.027,0.007,0.028,0.333
"P43","Muy buena",0.061,0.125,0.034,0.198
"P43","Buena",0.115,0.23,0.17,0.048
"P43","Ni buena ni mala",0.262,0.471,0.469,0.398
"P43","Mala",0.305,0.121,0.107,0.035
"P43","Muy mala",0.227,0.028,0.165,0
"P43","No sabe",0.03,0.025,0.055,0.321
"P44","Muy buena",0.086,0.217,0.026,0
"P44","Buena",0.03,0.293,0.082,0.197
"P44","Ni buena ni mala",0.079,0.358,0.146,0.556
"P44","Mala",0.238,0.074,0.322,0.012
"P44","Muy mala",0.55,0.042,0.382,0.013
"P44","No sabe",0.017,0.016,0.042,0.222
"P45","Muy buena",0.091,0.176,0.015,0.191
"P45","Buena",0.033,0.206,0.053,0
"P45","Ni buena ni mala",0.13,0.45,0.345,0.431
"P45","Mala",0.338,0.079,0.204,0.012
"P45","Muy mala",0.365,0.012,0.256,0
"P45","No sabe",0.043,0.077,0.127,0.366
