"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.144,0.152,0.137,0.196,0.12,0.137,0.157,0.203,0.126,0.129,0.186,0.214,0.074,0.053,0.23,0.144,0.144,0,6
"Buena",0.215,0.198,0.232,0.186,0.2,0.252,0.25,0.202,0.236,0.2,0.242,0.216,0.254,0.083,0.305,0.167,0.215,0,6
"Ni buena ni mala",0.248,0.225,0.269,0.243,0.249,0.25,0.244,0.254,0.25,0.241,0.201,0.274,0.305,0.233,0.211,0.201,0.248,0,6
"Mala",0.219,0.235,0.204,0.196,0.239,0.196,0.235,0.157,0.251,0.221,0.204,0.166,0.237,0.309,0.161,0.248,0.219,0,6
"Muy mala",0.148,0.158,0.139,0.162,0.164,0.134,0.095,0.133,0.119,0.19,0.148,0.125,0.091,0.27,0.091,0.178,0.148,0,6
"No sabe",0.026,0.032,0.019,0.017,0.028,0.031,0.019,0.051,0.018,0.019,0.019,0.005,0.039,0.052,0.002,0.062,0.026,0,6
"Positiva",0.359,0.35,0.369,0.382,0.32,0.389,0.407,0.405,0.362,0.329,0.428,0.43,0.328,0.136,0.535,0.311,0.359,0,4
"Neutra",0.248,0.225,0.269,0.243,0.249,0.25,0.244,0.254,0.25,0.241,0.201,0.274,0.305,0.233,0.211,0.201,0.248,0,4
"Negativa",0.367,0.393,0.343,0.358,0.403,0.33,0.33,0.29,0.37,0.411,0.352,0.291,0.328,0.579,0.252,0.426,0.367,0,4
"No sabe",0.026,0.032,0.019,0.017,0.028,0.031,0.019,0.051,0.018,0.019,0.019,0.005,0.039,0.052,0.002,0.062,0.026,0,4
