"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.174,0.163,0.186,0.221,0.163,0.126,0.235,0.182,0.186,0.154,0.129,0.181,0.095,0.474,0.077,0.185,0.18,0.169,6
"Buena",0.158,0.175,0.14,0.11,0.152,0.219,0.139,0.21,0.147,0.128,0.171,0.229,0.127,0.163,0.074,0.246,0.131,0.185,6
"Ni buena ni mala",0.288,0.271,0.307,0.35,0.273,0.261,0.292,0.292,0.308,0.259,0.336,0.263,0.173,0.227,0.188,0.401,0.271,0.304,6
"Mala",0.169,0.195,0.14,0.172,0.178,0.177,0.114,0.18,0.194,0.128,0.181,0.136,0.227,0.114,0.279,0.09,0.223,0.117,6
"Muy mala",0.173,0.155,0.193,0.119,0.204,0.172,0.151,0.11,0.103,0.314,0.159,0.152,0.332,0.022,0.362,0.033,0.17,0.175,6
"No sabe",0.038,0.041,0.034,0.028,0.03,0.045,0.069,0.026,0.062,0.017,0.024,0.039,0.046,0,0.02,0.045,0.025,0.05,6
"Positiva",0.332,0.338,0.326,0.331,0.315,0.345,0.374,0.392,0.333,0.282,0.3,0.41,0.222,0.637,0.151,0.431,0.311,0.354,4
"Neutra",0.288,0.271,0.307,0.35,0.273,0.261,0.292,0.292,0.308,0.259,0.336,0.263,0.173,0.227,0.188,0.401,0.271,0.304,4
"Negativa",0.342,0.35,0.333,0.291,0.382,0.349,0.265,0.29,0.297,0.442,0.34,0.288,0.559,0.136,0.641,0.123,0.393,0.292,4
"No sabe",0.038,0.041,0.034,0.028,0.03,0.045,0.069,0.026,0.062,0.017,0.024,0.039,0.046,0,0.02,0.045,0.025,0.05,4
