"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.13,0.127,0.133,0.107,0.106,0.12,0.277,0.154,0.131,0.107,0.118,0.192,0.085,0.155,0.09,0.232,0.145,0.116,6
"Buena",0.166,0.179,0.152,0.18,0.127,0.214,0.193,0.16,0.167,0.17,0.162,0.185,0.118,0.278,0.101,0.237,0.148,0.183,6
"Ni buena ni mala",0.225,0.241,0.208,0.226,0.276,0.174,0.139,0.286,0.196,0.21,0.238,0.11,0.13,0.423,0.102,0.291,0.21,0.24,6
"Mala",0.262,0.246,0.279,0.31,0.247,0.266,0.223,0.226,0.319,0.218,0.303,0.258,0.305,0.026,0.345,0.164,0.302,0.223,6
"Muy mala",0.213,0.201,0.226,0.177,0.237,0.226,0.159,0.163,0.185,0.294,0.171,0.255,0.362,0.118,0.361,0.072,0.186,0.238,6
"No sabe",0.004,0.006,0.002,0,0.007,0,0.009,0.011,0.002,0.001,0.008,0,0,0,0.001,0.004,0.009,0,6
"Positiva",0.296,0.306,0.285,0.287,0.233,0.334,0.47,0.314,0.298,0.277,0.28,0.377,0.203,0.433,0.191,0.469,0.293,0.299,4
"Neutra",0.225,0.241,0.208,0.226,0.276,0.174,0.139,0.286,0.196,0.21,0.238,0.11,0.13,0.423,0.102,0.291,0.21,0.24,4
"Negativa",0.475,0.447,0.505,0.487,0.484,0.492,0.382,0.389,0.504,0.512,0.474,0.513,0.667,0.144,0.706,0.236,0.488,0.461,4
"No sabe",0.004,0.006,0.002,0,0.007,0,0.009,0.011,0.002,0.001,0.008,0,0,0,0.001,0.004,0.009,0,4
