"var","categoria","Buena","Regular","Mala","No sabe"
"P08","Siempre",0.299,0.17,0.24,0.234
"P08","Casi siempre",0.29,0.431,0.316,0.276
"P08","Casi nunca",0.262,0.268,0.326,0.304
"P08","Nunca, pero esta es una excepción",0.149,0.131,0.118,0.186
"P09","Muy buena",0.263,0.132,0.086,0.117
"P09","Buena",0.301,0.288,0.224,0.222
"P09","Ni buena ni mala",0.258,0.379,0.387,0.52
"P09","Mala",0.112,0.153,0.186,0.102
"P09","Muy mala",0.057,0.043,0.075,0.024
"P09","No sabe",0.009,0.005,0.042,0.015
"P10","Muy buena",0.318,0.181,0.157,0.176
"P10","Buena",0.345,0.357,0.23,0.258
"P10","Ni buena ni mala",0.233,0.291,0.327,0.45
"P10","Mala",0.047,0.121,0.149,0.079
"P10","Muy mala",0.05,0.034,0.1,0.009
"P10","No sabe",0.007,0.016,0.037,0.028
"P13","Si",0.66,0.621,0.692,0.322
"P13","No",0.166,0.152,0.158,0.09
"P13","No sabe",0.174,0.227,0.15,0.588
"P14","Si",0.706,0.68,0.71,0.384
"P14","No",0.142,0.143,0.146,0.108
"P14","No sabe",0.152,0.177,0.144,0.508
"P15","Si",0.772,0.747,0.756,0.55
"P15","No",0.112,0.164,0.142,0.091
"P15","No sabe",0.116,0.089,0.102,0.359
"P16","Si",0.549,0.548,0.633,0.311
"P16","No",0.304,0.356,0.282,0.361
"P16","No sabe",0.147,0.096,0.085,0.328
"P17","El gobierno nacional",0.223,0.191,0.188,0.249
"P17","El gobierno provincial anterior del MPN",0.484,0.523,0.489,0.303
"P17","El actual gobierno provincial de Rolo Figueroa",0.068,0.097,0.121,0.044
"P17","Todos igual",0.131,0.154,0.124,0.276
"P17","No sabe",0.094,0.035,0.078,0.128
"P18","Es un logro muy importante del Gobierno provincial",0.371,0.225,0.21,0.258
"P18","Está bien, pero es insuficiente para resolver la situación de emergencia",0.413,0.589,0.426,0.401
"P18","No alcanza para nada y son negocios del gobierno Provincial",0.113,0.107,0.264,0.199
"P18","No alcanza para nada porque el gobierno gestionó mal la compra",0.031,0.02,0.041,0.023
"P18","No sabe",0.072,0.059,0.059,0.119
"P19","Si",0.697,0.55,0.47,0.34
"P19","No",0.22,0.179,0.268,0.088
"P19","No sabe",0.083,0.271,0.262,0.572
"P20","Si",0.61,0.405,0.293,0.199
"P20","No",0.234,0.241,0.389,0.156
"P20","No sabe",0.156,0.354,0.318,0.645
"P23","Buena",0.685,0.169,0.035,0.215
"P23","Regular",0.249,0.624,0.264,0.227
"P23","Mala",0.058,0.188,0.667,0.126
"P23","No sabe",0.008,0.019,0.034,0.432
"P25","Buena",0.583,0.134,0.046,0.115
"P25","Regular",0.188,0.539,0.27,0.251
"P25","Mala",0.046,0.165,0.599,0.05
"P25","No sabe",0.183,0.162,0.085,0.584
"P26","La capacitación para atender a la gente",0.259,0.224,0.145,0.164
"P26","La infraestructura y equipamiento de la fuerza",0.306,0.173,0.106,0.04
"P26","La formación técnica y profesional",0.191,0.313,0.382,0.306
"P26","La cantidad y distribución de los efectivos",0.06,0.146,0.118,0.117
"P26","La velocidad de respuesta ante las denuncias",0.068,0.087,0.126,0.068
"P26","Otros",0.073,0.042,0.105,0.099
"P26","No sabe",0.043,0.015,0.018,0.206
"P27","Alto",0.547,0.124,0.019,0.082
"P27","Regular",0.392,0.583,0.332,0.365
"P27","Bajo",0.018,0.278,0.626,0.227
"P27","No sabe",0.043,0.015,0.023,0.326
"P28","El gobierno de Javier Milei",0.324,0.243,0.284,0.301
"P28","El gobierno de Alberto Fernández",0.537,0.609,0.533,0.307
"P28","Ambos",0.079,0.138,0.162,0.313
"P28","No sabe",0.06,0.01,0.021,0.079
"P29","Dividirla en partes y transformarlas en varios decretos de necesidad y urgencia",0.28,0.151,0.14,0.079
"P29","Dividirlas en diferentes leyes que se puedan ir votando paulatinamente",0.303,0.384,0.318,0.116
"P29","Realizar un plebiscito sobre la necesidad del tratamiento de la ley ómnibus",0.21,0.136,0.16,0.205
"P29","Retirarla y no presentar nada",0.148,0.241,0.251,0.359
"P29","Volverla a presentar igual",0.027,0.061,0.079,0.041
"P29","No sabe",0.032,0.027,0.052,0.2
"P30","Javier Milei",0.603,0.446,0.474,0.254
"P30","Los gobernadores",0.323,0.474,0.381,0.589
"P30","No sabe",0.074,0.08,0.145,0.157
"P31","Muy buena",0.292,0.241,0.161,0.074
"P31","Buena",0.406,0.28,0.275,0.31
"P31","Ni buena ni mala",0.179,0.339,0.378,0.476
"P31","Mala",0.046,0.112,0.139,0.127
"P31","Muy mala",0.048,0.021,0.046,0
"P31","No sabe",0.029,0.007,0.001,0.013
"P32","Muy buena",0.184,0.107,0.096,0.088
"P32","Buena",0.241,0.201,0.144,0.135
"P32","Ni buena ni mala",0.295,0.378,0.315,0.436
"P32","Mala",0.165,0.198,0.33,0.104
"P32","Muy mala",0.057,0.086,0.098,0
"P32","No sabe",0.058,0.03,0.017,0.237
"P33","Muy buena",0.133,0.058,0.109,0.037
"P33","Buena",0.209,0.139,0.038,0.157
"P33","Ni buena ni mala",0.233,0.292,0.214,0.338
"P33","Mala",0.243,0.327,0.42,0.325
"P33","Muy mala",0.129,0.156,0.202,0.051
"P33","No sabe",0.053,0.028,0.017,0.092
"P34","Muy buena",0.148,0.035,0.066,0.145
"P34","Buena",0.234,0.158,0.094,0.062
"P34","Ni buena ni mala",0.367,0.473,0.346,0.515
"P34","Mala",0.131,0.199,0.309,0.068
"P34","Muy mala",0.089,0.067,0.151,0.06
"P34","No sabe",0.031,0.068,0.034,0.15
"P35","Muy buena",0.214,0.128,0.167,0.168
"P35","Buena",0.189,0.186,0.108,0.113
"P35","Ni buena ni mala",0.279,0.338,0.221,0.387
"P35","Mala",0.167,0.218,0.301,0.208
"P35","Muy mala",0.119,0.104,0.157,0.028
"P35","No sabe",0.032,0.026,0.046,0.096
"P36","Muy buena",0.218,0.183,0.18,0.284
"P36","Buena",0.091,0.154,0.101,0.109
"P36","Ni buena ni mala",0.145,0.084,0.097,0.207
"P36","Mala",0.209,0.278,0.27,0.26
"P36","Muy mala",0.317,0.3,0.352,0.14
"P36","No sabe",0.02,0.001,0,0
"P37","Muy buena",0.211,0.11,0.11,0.096
"P37","Buena",0.276,0.162,0.105,0.044
"P37","Ni buena ni mala",0.166,0.225,0.241,0.395
"P37","Mala",0.169,0.301,0.281,0.14
"P37","Muy mala",0.158,0.201,0.263,0.325
"P37","No sabe",0.02,0.001,0,0
"P38","Muy buena",0.152,0.081,0.065,0.14
"P38","Buena",0.153,0.184,0.156,0.127
"P38","Ni buena ni mala",0.198,0.194,0.168,0.164
"P38","Mala",0.203,0.268,0.266,0.401
"P38","Muy mala",0.263,0.272,0.345,0.128
"P38","No sabe",0.031,0.001,0,0.04
"P39","Muy buena",0.401,0.372,0.347,0.271
"P39","Buena",0.217,0.12,0.155,0.075
"P39","Ni buena ni mala",0.134,0.136,0.07,0.156
"P39","Mala",0.111,0.189,0.179,0.151
"P39","Muy mala",0.131,0.171,0.242,0.347
"P39","No sabe",0.006,0.012,0.007,0
"P40","Muy buena",0.397,0.27,0.247,0.161
"P40","Buena",0.233,0.19,0.221,0.199
"P40","Ni buena ni mala",0.09,0.156,0.112,0.138
"P40","Mala",0.161,0.187,0.144,0.089
"P40","Muy mala",0.113,0.197,0.276,0.413
"P40","No sabe",0.006,0,0,0
"P41","Muy buena",0.24,0.159,0.169,0.075
"P41","Buena",0.24,0.119,0.167,0.174
"P41","Ni buena ni mala",0.302,0.304,0.253,0.232
"P41","Mala",0.12,0.195,0.168,0.106
"P41","Muy mala",0.075,0.163,0.238,0.377
"P41","No sabe",0.023,0.06,0.005,0.036
"P42","Muy buena",0.447,0.323,0.364,0.232
"P42","Buena",0.142,0.152,0.141,0.029
"P42","Ni buena ni mala",0.21,0.17,0.131,0.13
"P42","Mala",0.068,0.146,0.078,0.155
"P42","Muy mala",0.099,0.19,0.285,0.299
"P42","No sabe",0.034,0.019,0.001,0.155
"P43","Muy buena",0.166,0.089,0.067,0.018
"P43","Buena",0.187,0.195,0.164,0.157
"P43","Ni buena ni mala",0.414,0.429,0.365,0.381
"P43","Mala",0.108,0.187,0.204,0.09
"P43","Muy mala",0.075,0.08,0.168,0.134
"P43","No sabe",0.05,0.02,0.032,0.22
"P44","Muy buena",0.226,0.124,0.151,0.07
"P44","Buena",0.243,0.187,0.154,0.118
"P44","Ni buena ni mala",0.234,0.273,0.232,0.287
"P44","Mala",0.073,0.178,0.178,0.081
"P44","Muy mala",0.178,0.219,0.277,0.346
"P44","No sabe",0.046,0.019,0.008,0.098
"P45","Muy buena",0.21,0.112,0.116,0.058
"P45","Buena",0.123,0.133,0.131,0.126
"P45","Ni buena ni mala",0.373,0.36,0.298,0.267
"P45","Mala",0.101,0.192,0.18,0.152
"P45","Muy mala",0.128,0.122,0.207,0.159
"P45","No sabe",0.065,0.081,0.068,0.238
