"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.285,0.29,0.281,0.237,0.248,0.336,0.405,0.306,0.28,0.275,0.236,0.398,0.118,0.535,0.081,0.486,0.281,0.29,6
"Buena",0.207,0.207,0.206,0.302,0.204,0.162,0.144,0.177,0.232,0.2,0.231,0.159,0.177,0.323,0.136,0.26,0.185,0.228,6
"Ni buena ni mala",0.131,0.136,0.125,0.135,0.148,0.109,0.102,0.177,0.144,0.075,0.154,0.135,0.069,0.003,0.083,0.126,0.141,0.121,6
"Mala",0.167,0.174,0.159,0.2,0.161,0.167,0.135,0.193,0.187,0.12,0.193,0.119,0.207,0.07,0.281,0.065,0.192,0.143,6
"Muy mala",0.209,0.192,0.227,0.126,0.239,0.225,0.206,0.147,0.155,0.329,0.184,0.187,0.429,0.069,0.419,0.059,0.198,0.218,6
"No sabe",0.001,0.001,0.002,0,0,0.001,0.008,0,0.002,0.001,0.002,0.002,0,0,0,0.004,0.003,0,6
"Positiva",0.492,0.497,0.487,0.539,0.452,0.498,0.549,0.483,0.512,0.475,0.467,0.557,0.295,0.858,0.217,0.746,0.466,0.518,4
"Neutra",0.131,0.136,0.125,0.135,0.148,0.109,0.102,0.177,0.144,0.075,0.154,0.135,0.069,0.003,0.083,0.126,0.141,0.121,4
"Negativa",0.376,0.366,0.386,0.326,0.4,0.392,0.341,0.34,0.342,0.449,0.377,0.306,0.636,0.139,0.7,0.124,0.39,0.361,4
"No sabe",0.001,0.001,0.002,0,0,0.001,0.008,0,0.002,0.001,0.002,0.002,0,0,0,0.004,0.003,0,4
