"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.095,0.064,0.128,0.119,0.057,0.107,0.17,0.126,0.076,0.091,0.109,0.118,0.127,0.005,0.241,0.03,0.13,0.062,6
"Buena",0.169,0.192,0.143,0.141,0.173,0.166,0.205,0.167,0.169,0.169,0.153,0.151,0.334,0.259,0.283,0.111,0.115,0.218,6
"Ni buena ni mala",0.187,0.171,0.205,0.256,0.186,0.146,0.153,0.216,0.178,0.175,0.223,0.122,0.241,0.022,0.269,0.118,0.198,0.177,6
"Mala",0.261,0.287,0.232,0.288,0.281,0.243,0.171,0.288,0.281,0.21,0.261,0.235,0.168,0.293,0.162,0.261,0.276,0.246,6
"Muy mala",0.28,0.279,0.282,0.196,0.291,0.337,0.275,0.183,0.289,0.354,0.246,0.342,0.13,0.421,0.038,0.467,0.267,0.293,6
"No sabe",0.008,0.007,0.01,0,0.012,0.001,0.026,0.02,0.007,0.001,0.008,0.032,0,0,0.007,0.013,0.014,0.004,6
"Positiva",0.264,0.256,0.271,0.26,0.23,0.273,0.375,0.293,0.245,0.26,0.262,0.269,0.461,0.264,0.524,0.141,0.245,0.28,4
"Neutra",0.187,0.171,0.205,0.256,0.186,0.146,0.153,0.216,0.178,0.175,0.223,0.122,0.241,0.022,0.269,0.118,0.198,0.177,4
"Negativa",0.541,0.566,0.514,0.484,0.572,0.58,0.446,0.471,0.57,0.564,0.507,0.577,0.298,0.714,0.2,0.728,0.543,0.539,4
"No sabe",0.008,0.007,0.01,0,0.012,0.001,0.026,0.02,0.007,0.001,0.008,0.032,0,0,0.007,0.013,0.014,0.004,4
