"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.196,0.205,0.185,0.208,0.182,0.212,0.194,0.256,0.16,0.188,0.321,0.092,0.103,0.021,0.227,0.16,0.196,0.196,6
"Buena",0.295,0.289,0.303,0.237,0.325,0.308,0.279,0.287,0.311,0.282,0.356,0.316,0.304,0.215,0.339,0.327,0.313,0.279,6
"Ni buena ni mala",0.303,0.296,0.31,0.269,0.297,0.324,0.356,0.304,0.292,0.318,0.23,0.344,0.371,0.305,0.258,0.317,0.282,0.322,6
"Mala",0.114,0.121,0.107,0.128,0.114,0.091,0.129,0.094,0.123,0.121,0.052,0.194,0.147,0.253,0.123,0.126,0.137,0.092,6
"Muy mala",0.069,0.075,0.062,0.124,0.067,0.038,0.017,0.059,0.084,0.055,0.033,0.031,0.059,0.184,0.04,0.046,0.051,0.086,6
"No sabe",0.023,0.014,0.033,0.034,0.015,0.027,0.025,0,0.03,0.036,0.008,0.023,0.016,0.022,0.013,0.024,0.021,0.025,6
"Positiva",0.491,0.494,0.488,0.445,0.507,0.52,0.473,0.543,0.471,0.47,0.677,0.408,0.407,0.236,0.566,0.487,0.509,0.475,4
"Neutra",0.303,0.296,0.31,0.269,0.297,0.324,0.356,0.304,0.292,0.318,0.23,0.344,0.371,0.305,0.258,0.317,0.282,0.322,4
"Negativa",0.183,0.196,0.169,0.252,0.181,0.129,0.146,0.153,0.207,0.176,0.085,0.225,0.206,0.437,0.163,0.172,0.188,0.178,4
"No sabe",0.023,0.014,0.033,0.034,0.015,0.027,0.025,0,0.03,0.036,0.008,0.023,0.016,0.022,0.013,0.024,0.021,0.025,4
