"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.224,0.229,0.217,0.226,0.216,0.233,0.227,0.342,0.172,0.185,0.352,0.119,0.077,0.079,0.275,0.159,0.241,0.207,6
"Buena",0.305,0.313,0.297,0.346,0.263,0.329,0.347,0.317,0.328,0.265,0.339,0.405,0.309,0.192,0.343,0.283,0.303,0.307,6
"Ni buena ni mala",0.324,0.299,0.351,0.229,0.366,0.333,0.311,0.29,0.31,0.371,0.252,0.315,0.499,0.369,0.317,0.335,0.306,0.34,6
"Mala",0.106,0.132,0.078,0.175,0.093,0.072,0.104,0.032,0.139,0.129,0.039,0.132,0.092,0.257,0.045,0.155,0.104,0.109,6
"Muy mala",0.031,0.026,0.037,0.024,0.043,0.027,0.008,0,0.044,0.043,0.014,0.027,0.008,0.103,0.012,0.044,0.038,0.025,6
"No sabe",0.01,0.001,0.02,0,0.019,0.006,0.003,0.019,0.007,0.007,0.004,0.002,0.015,0,0.008,0.024,0.008,0.012,6
"Positiva",0.529,0.542,0.514,0.572,0.479,0.562,0.574,0.659,0.5,0.45,0.691,0.524,0.386,0.271,0.618,0.442,0.544,0.514,4
"Neutra",0.324,0.299,0.351,0.229,0.366,0.333,0.311,0.29,0.31,0.371,0.252,0.315,0.499,0.369,0.317,0.335,0.306,0.34,4
"Negativa",0.137,0.158,0.115,0.199,0.136,0.099,0.112,0.032,0.183,0.172,0.053,0.159,0.1,0.36,0.057,0.199,0.142,0.134,4
"No sabe",0.01,0.001,0.02,0,0.019,0.006,0.003,0.019,0.007,0.007,0.004,0.002,0.015,0,0.008,0.024,0.008,0.012,4
