"var","categoria","Dividirla en partes y transformarlas en varios decretos de necesidad y urgencia","Dividirlas en diferentes leyes que se puedan ir votando paulatinamente","Realizar un plebiscito sobre la necesidad del tratamiento de la ley ómnibus","Retirarla y no presentar nada","Volverla a presentar igual","No sabe"
"P08","Siempre",0.356,0.202,0.148,0.222,0.084,0.114
"P08","Casi siempre",0.297,0.452,0.376,0.345,0.378,0.159
"P08","Casi nunca",0.284,0.271,0.254,0.25,0.41,0.319
"P08","Nunca, pero esta es una excepción",0.063,0.075,0.222,0.183,0.128,0.408
"P09","Muy buena",0.202,0.169,0.091,0.137,0.065,0.124
"P09","Buena",0.299,0.281,0.323,0.222,0.185,0.378
"P09","Ni buena ni mala",0.239,0.397,0.337,0.403,0.414,0.237
"P09","Mala",0.186,0.106,0.163,0.193,0.194,0.17
"P09","Muy mala",0.062,0.039,0.081,0.042,0.142,0.05
"P09","No sabe",0.012,0.008,0.005,0.003,0,0.041
"P10","Muy buena",0.274,0.177,0.213,0.216,0.106,0.15
"P10","Buena",0.258,0.366,0.349,0.32,0.191,0.307
"P10","Ni buena ni mala",0.241,0.311,0.24,0.318,0.326,0.374
"P10","Mala",0.179,0.079,0.129,0.086,0.126,0.07
"P10","Muy mala",0.043,0.056,0.069,0.032,0.221,0
"P10","No sabe",0.005,0.011,0,0.028,0.03,0.099
"P13","Si",0.719,0.747,0.675,0.421,0.729,0.35
"P13","No",0.18,0.105,0.118,0.307,0,0.106
"P13","No sabe",0.101,0.148,0.207,0.272,0.271,0.544
"P14","Si",0.751,0.794,0.827,0.415,0.967,0.398
"P14","No",0.073,0.097,0.076,0.326,0,0.142
"P14","No sabe",0.176,0.109,0.097,0.259,0.033,0.46
"P15","Si",0.846,0.844,0.755,0.554,0.727,0.445
"P15","No",0.07,0.103,0.203,0.264,0.045,0.119
"P15","No sabe",0.084,0.053,0.042,0.182,0.228,0.436
"P16","Si",0.484,0.628,0.617,0.507,0.75,0.354
"P16","No",0.414,0.282,0.282,0.374,0.193,0.303
"P16","No sabe",0.102,0.09,0.101,0.119,0.057,0.343
"P17","El gobierno nacional",0.216,0.164,0.199,0.297,0.033,0.261
"P17","El gobierno provincial anterior del MPN",0.488,0.593,0.552,0.358,0.391,0.296
"P17","El actual gobierno provincial de Rolo Figueroa",0.114,0.067,0.094,0.131,0.124,0.049
"P17","Todos igual",0.139,0.145,0.117,0.138,0.325,0.267
"P17","No sabe",0.043,0.031,0.038,0.076,0.127,0.127
"P18","Es un logro muy importante del Gobierno provincial",0.366,0.221,0.194,0.248,0.204,0.168
"P18","Está bien, pero es insuficiente para resolver la situación de emergencia",0.466,0.592,0.49,0.519,0.285,0.426
"P18","No alcanza para nada y son negocios del gobierno Provincial",0.105,0.133,0.21,0.14,0.205,0.225
"P18","No alcanza para nada porque el gobierno gestionó mal la compra",0.022,0.019,0.039,0.016,0.089,0.057
"P18","No sabe",0.041,0.035,0.067,0.077,0.217,0.124
"P19","Si",0.62,0.585,0.497,0.579,0.298,0.34
"P19","No",0.24,0.206,0.247,0.162,0.27,0.128
"P19","No sabe",0.14,0.209,0.256,0.259,0.432,0.532
"P20","Si",0.432,0.453,0.321,0.463,0.193,0.347
"P20","No",0.36,0.247,0.332,0.188,0.419,0.143
"P20","No sabe",0.208,0.3,0.347,0.349,0.388,0.51
"P23","Buena",0.347,0.231,0.33,0.144,0.18,0.121
"P23","Regular",0.409,0.488,0.368,0.474,0.382,0.334
"P23","Mala",0.234,0.261,0.243,0.315,0.418,0.43
"P23","No sabe",0.01,0.02,0.059,0.067,0.02,0.115
"P24","Buena",0.325,0.176,0.258,0.126,0.092,0.146
"P24","Regular",0.453,0.579,0.435,0.532,0.538,0.319
"P24","Mala",0.199,0.228,0.243,0.264,0.334,0.299
"P24","No sabe",0.023,0.017,0.064,0.078,0.036,0.236
"P25","Buena",0.28,0.186,0.218,0.207,0.088,0.202
"P25","Regular",0.395,0.416,0.447,0.347,0.263,0.275
"P25","Mala",0.125,0.26,0.157,0.288,0.431,0.251
"P25","No sabe",0.2,0.138,0.178,0.158,0.218,0.272
"P26","La capacitación para atender a la gente",0.224,0.214,0.197,0.215,0.008,0.169
"P26","La infraestructura y equipamiento de la fuerza",0.266,0.204,0.197,0.114,0.114,0.07
"P26","La formación técnica y profesional",0.225,0.346,0.232,0.382,0.397,0.175
"P26","La cantidad y distribución de los efectivos",0.175,0.072,0.112,0.129,0.172,0.199
"P26","La velocidad de respuesta ante las denuncias",0.054,0.105,0.105,0.087,0.169,0.04
"P26","Otros",0.053,0.051,0.109,0.05,0.082,0.155
"P26","No sabe",0.003,0.008,0.048,0.023,0.058,0.192
"P27","Alto",0.33,0.142,0.157,0.149,0.166,0.13
"P27","Regular",0.55,0.519,0.467,0.359,0.455,0.339
"P27","Bajo",0.096,0.316,0.309,0.449,0.359,0.399
"P27","No sabe",0.024,0.023,0.067,0.043,0.02,0.132
"P28","El gobierno de Javier Milei",0.236,0.145,0.11,0.689,0.022,0.215
"P28","El gobierno de Alberto Fernández",0.708,0.691,0.673,0.082,0.953,0.463
"P28","Ambos",0.029,0.154,0.182,0.199,0.021,0.173
"P28","No sabe",0.027,0.01,0.035,0.03,0.004,0.149
"P30","Javier Milei",0.787,0.47,0.623,0.092,0.953,0.137
"P30","Los gobernadores",0.128,0.431,0.244,0.881,0.036,0.337
"P30","No sabe",0.085,0.099,0.133,0.027,0.011,0.526
"P31","Muy buena",0.282,0.219,0.255,0.214,0.105,0.121
"P31","Buena",0.305,0.331,0.328,0.301,0.106,0.312
"P31","Ni buena ni mala",0.197,0.316,0.256,0.397,0.549,0.42
"P31","Mala",0.125,0.104,0.119,0.057,0.218,0.122
"P31","Muy mala",0.058,0.024,0.04,0.025,0.022,0
