"var","categoria","Muy buena","Buena","Regular","Mala","Muy mala"
"P06","Mucho",0.588,0.489,0.399,0.371,0.425
"P06","Bastante",0.238,0.3,0.327,0.301,0.18
"P06","Poco",0.161,0.185,0.234,0.294,0.347
"P06","Nada",0.011,0.023,0.027,0.032,0.041
"P06","No sabe",0.002,0.003,0.013,0.002,0.007
"P07","Siempre",0.375,0.275,0.251,0.219,0.297
"P07","Casi siempre",0.376,0.453,0.439,0.402,0.335
"P07","Casi nunca",0.199,0.22,0.24,0.306,0.293
"P07","Nunca, pero esta es una excepción",0.05,0.052,0.07,0.073,0.075
"P09","Gran excedente habitual",0.032,0.019,0.01,0.008,0.01
"P09","Gran excedente excepcional",0.004,0.014,0.012,0.012,0.012
"P09","Pequeño excedente habitual",0.09,0.091,0.073,0.064,0.05
"P09","Pequeño excedente excepcional",0.155,0.169,0.142,0.127,0.117
"P09","Alcanza gastos familia",0.134,0.133,0.111,0.116,0.165
"P09","No alcanza gastos familia",0.05,0.062,0.063,0.07,0.07
"P09","Solo NBFamiliares",0.274,0.297,0.303,0.254,0.21
"P09","No alcanza NBFamiliares",0.26,0.204,0.282,0.347,0.362
"P09","No sabe",0.001,0.011,0.004,0.002,0.004
"P10","Tiene Decidido que va a ir a votar",0.918,0.922,0.887,0.865,0.859
"P10","Tiene dudas sobre si va a ir a  votar",0.059,0.058,0.094,0.108,0.088
"P10","Tiene Decidido que no va a ir a votar",0.023,0.02,0.019,0.027,0.053
"P13","Unión por la Patria",0.672,0.593,0.276,0.153,0.087
"P13","Juntos por el Cambio ",0.05,0.163,0.344,0.394,0.281
"P13","Liberales",0.176,0.165,0.216,0.233,0.348
"P13","Izquierda",0.024,0.023,0.027,0.05,0.057
"P13","Hacemos por Nuestro país",0.057,0.024,0.073,0.062,0.096
"P13","No sabe",0.021,0.032,0.064,0.108,0.131
"P14","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.664,0.579,0.304,0.17,0.146
"P14","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.095,0.192,0.382,0.458,0.417
"P14","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.204,0.2,0.23,0.215,0.278
"P14","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.003,0.008,0.018,0.047,0.011
"P14","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.024,0.006,0.023,0.024,0.041
"P14","En blanco",0.008,0.007,0.021,0.046,0.047
"P14","No sabe",0.002,0.008,0.022,0.04,0.06
"P17","Totalmente seguro",0.835,0.775,0.685,0.617,0.608
"P17","Bastante seguro",0.068,0.123,0.145,0.17,0.15
"P17","Algo seguro",0.082,0.084,0.117,0.099,0.106
"P17","Para nada seguro",0.015,0.018,0.053,0.114,0.136
"P22","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.055,0.101,0.138,0.181,0.174
"P22","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.077,0.059,0.094,0.161,0.26
"P22","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.215,0.255,0.29,0.21,0.226
"P22","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.281,0.244,0.222,0.183,0.131
"P22","En blanco",0.259,0.234,0.157,0.152,0.159
"P22","No sabe",0.113,0.107,0.099,0.113,0.05
"P25","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.435,0.196,0.099,0.11,0.11
"P25","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.274,0.305,0.397,0.389,0.355
"P25","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.191,0.164,0.181,0.165,0.166
"P25","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.009,0.005,0.011,0.029,0.017
"P25","En blanco",0.043,0.205,0.207,0.175,0.258
"P25","No sabe",0.048,0.125,0.105,0.132,0.094
"P28","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.138,0.223,0.122,0.109,0.096
"P28","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.279,0.452,0.484,0.513,0.466
"P28","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.155,0.137,0.191,0.141,0.074
"P28","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.082,0.032,0.013,0.043,0.031
"P28","En blanco",0.3,0.123,0.151,0.179,0.257
"P28","No sabe",0.046,0.033,0.039,0.015,0.076
"P31","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.5,0.079,0.312,0.194,0.664
"P31","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.5,0.099,0.325,0.378,0.023
"P31","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0,0.742,0.023,0.105,0.012
"P31","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0,0.02,0.014,0.128,0
"P31","En blanco",0,0.04,0.023,0.18,0.266
"P31","No sabe",0,0.02,0.303,0.015,0.035
"P36","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.305,0.259,0.415,0.462,0.469
"P36","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.091,0.151,0.221,0.218,0.202
"P36","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.395,0.389,0.217,0.129,0.11
"P36","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.101,0.109,0.064,0.087,0.06
"P36","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.075,0.056,0.035,0.036,0.087
"P36","No sabe",0.033,0.036,0.048,0.068,0.072
"P37","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.693,0.604,0.342,0.225,0.181
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.134,0.25,0.495,0.542,0.521
"P37","En blanco",0.114,0.11,0.099,0.123,0.163
"P37","No sabe",0.059,0.036,0.064,0.11,0.135
"P38","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.211,0.25,0.457,0.473,0.382
"P38","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.214,0.208,0.248,0.268,0.37
"P38","En blanco",0.435,0.399,0.182,0.142,0.151
"P38","No sabe",0.14,0.143,0.113,0.117,0.097
"P39","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.682,0.605,0.364,0.236,0.189
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.231,0.253,0.37,0.399,0.468
"P39","En blanco",0.044,0.087,0.149,0.222,0.214
"P39","No sabe",0.043,0.055,0.117,0.143,0.129
"P40","Lo votaría",0.712,0.588,0.315,0.224,0.157
"P40","Puede que lo vote",0.022,0.067,0.108,0.135,0.143
"P40","Nunca lo votaría",0.247,0.318,0.525,0.57,0.636
"P40","No sabe",0.019,0.027,0.052,0.071,0.064
"P41","Lo votaría",0.168,0.224,0.371,0.438,0.351
"P41","Puede que lo vote",0.055,0.125,0.168,0.164,0.185
"P41","Nunca lo votaría",0.741,0.605,0.42,0.326,0.395
"P41","No sabe",0.036,0.046,0.041,0.072,0.069
"P42","Lo votaría",0.228,0.192,0.263,0.262,0.347
"P42","Puede que lo vote",0.044,0.107,0.193,0.201,0.214
"P42","Nunca lo votaría",0.712,0.675,0.49,0.454,0.355
"P42","No sabe",0.016,0.026,0.054,0.083,0.084
"P43","Lo votaría",0.199,0.1,0.091,0.084,0.088
"P43","Puede que lo vote",0.262,0.32,0.221,0.198,0.227
"P43","Nunca lo votaría",0.506,0.512,0.612,0.638,0.619
"P43","No sabe",0.033,0.068,0.076,0.08,0.066
"P44","Lo votaría",0.161,0.077,0.083,0.124,0.056
"P44","Puede que lo vote",0.19,0.29,0.298,0.238,0.198
"P44","Nunca lo votaría",0.616,0.548,0.536,0.526,0.656
"P44","No sabe",0.033,0.085,0.083,0.112,0.09
"P53","Sergio Massa y Javier Milei",0.679,0.554,0.374,0.351,0.288
"P53","Patricia Bullrich y Javier Milei",0.175,0.299,0.469,0.527,0.551
"P53","Sergio Massa y Patricia Bullrich",0.146,0.147,0.157,0.122,0.161
"P54","Muy buena",0.156,0.057,0.052,0.057,0.073
"P54","Buena",0.212,0.165,0.045,0.073,0.196
"P54","Regular",0.337,0.366,0.185,0.055,0.028
"P54","Mala",0.137,0.19,0.318,0.323,0.091
"P54","Muy mala",0.158,0.222,0.4,0.492,0.612
"P55","Muy buena",0.257,0.042,0.007,0.012,0.012
"P55","Buena",0.299,0.298,0.054,0.013,0.013
"P55","Regular",0.188,0.281,0.247,0.056,0.012
"P55","Mala",0.074,0.162,0.261,0.416,0.063
"P55","Muy mala",0.182,0.217,0.431,0.503,0.9
"P57","Muy buena",0.273,0.037,0.015,0.012,0.018
"P57","Buena",0.285,0.435,0.138,0.087,0.067
"P57","Regular",0.285,0.388,0.605,0.347,0.294
"P57","Mala",0.091,0.113,0.19,0.424,0.183
"P57","Muy mala",0.066,0.027,0.052,0.13,0.438
"P58","Muy buena",0.232,0.102,0.024,0.033,0.021
"P58","Buena",0.322,0.363,0.151,0.076,0.047
"P58","Regular",0.223,0.317,0.393,0.283,0.255
"P58","Mala",0.113,0.161,0.286,0.391,0.242
"P58","Muy mala",0.11,0.057,0.146,0.217,0.435
"P59","Muy buena",0.504,0.129,0.035,0.028,0.052
"P59","Buena",0.334,0.65,0.22,0.119,0.081
"P59","Regular",0.101,0.187,0.615,0.402,0.332
"P59","Mala",0.025,0.031,0.093,0.364,0.251
"P59","Muy mala",0.036,0.003,0.037,0.087,0.284
"P60","Ha aumentado significativamente",0.245,0.101,0.051,0.04,0.036
"P60","Ha aumentado ligeramente",0.267,0.32,0.171,0.157,0.117
"P60","Se mantiene igual",0.282,0.312,0.342,0.22,0.23
"P60","Ha disminuido ligeramente",0.1,0.162,0.226,0.295,0.231
"P60","Ha disminuido significativamente",0.106,0.105,0.21,0.288,0.386
"P61","Muy baja",0.097,0.048,0.029,0.061,0.047
"P61","Baja",0.089,0.096,0.061,0.062,0.021
"P61","Moderada",0.176,0.135,0.107,0.042,0.037
"P61","Alta",0.361,0.376,0.25,0.208,0.125
"P61","Muy alta",0.277,0.345,0.553,0.627,0.77
"P62","Muy bajas",0.094,0.038,0.036,0.053,0.071
"P62","Bajas",0.094,0.118,0.099,0.122,0.057
"P62","Adecuadas",0.324,0.35,0.243,0.184,0.151
"P62","Altas",0.296,0.31,0.366,0.329,0.256
"P62","Muy altas",0.192,0.184,0.256,0.312,0.465
"P63","No, ninguna dificultad",0.474,0.393,0.275,0.235,0.196
"P63","Alguna dificultad ocasional",0.244,0.314,0.346,0.313,0.336
"P63","Sí, dificultades frecuentes",0.282,0.293,0.379,0.452,0.468
"P64","Sí, absolutamente",0.68,0.581,0.392,0.34,0.311
"P64","Sí, en cierta medida",0.17,0.289,0.365,0.35,0.345
"P64","No, en absoluto",0.15,0.13,0.243,0.31,0.344
"P65","Reducir la inflación",0.493,0.454,0.424,0.443,0.387
"P65","Implementar reformas fiscales",0.114,0.128,0.104,0.118,0.102
"P65","Establecer políticas de control de precios",0.284,0.205,0.111,0.099,0.095
"P65","Reducir el gasto público",0.072,0.171,0.302,0.289,0.335
"P65","Estimular la inversión extranjera",0.018,0.027,0.047,0.043,0.067
"P65","Aumentar los subsidios a los servicios públicos",0.019,0.015,0.012,0.008,0.014
"P66","Fomentar la competencia entre proveedores",0.384,0.308,0.321,0.445,0.428
"P66","Incrementar la inversión en infraestructura",0.185,0.233,0.226,0.213,0.16
"P66","Implementar políticas de subsidios focalizados en grupos vulnerables",0.201,0.194,0.145,0.098,0.085
"P66","Realizar auditorías periódicas a las empresas de servicios públicos",0.23,0.265,0.308,0.244,0.327
