"var","categoria","Muy buena","Buena","Regular","Mala","Muy mala"
"P06","Mucho",0.562,0.589,0.428,0.372,0.424
"P06","Bastante",0.229,0.281,0.296,0.283,0.292
"P06","Poco",0.201,0.117,0.238,0.299,0.249
"P06","Nada",0.005,0.008,0.024,0.037,0.03
"P06","No sabe",0.003,0.005,0.014,0.009,0.005
"P07","Siempre",0.477,0.286,0.227,0.263,0.265
"P07","Casi siempre",0.328,0.48,0.455,0.395,0.398
"P07","Casi nunca",0.165,0.188,0.266,0.283,0.253
"P07","Nunca, pero esta es una excepción",0.03,0.046,0.052,0.059,0.084
"P09","Gran excedente habitual",0.055,0.019,0.014,0.006,0.013
"P09","Gran excedente excepcional",0.009,0.02,0.012,0.007,0.011
"P09","Pequeño excedente habitual",0.058,0.124,0.092,0.063,0.06
"P09","Pequeño excedente excepcional",0.129,0.189,0.178,0.123,0.126
"P09","Alcanza gastos familia",0.139,0.122,0.127,0.1,0.143
"P09","No alcanza gastos familia",0.088,0.031,0.063,0.092,0.057
"P09","Solo NBFamiliares",0.166,0.315,0.285,0.294,0.265
"P09","No alcanza NBFamiliares",0.355,0.174,0.224,0.308,0.322
"P09","No sabe",0.001,0.006,0.005,0.007,0.003
"P10","Tiene Decidido que va a ir a votar",0.915,0.945,0.871,0.883,0.889
"P10","Tiene dudas sobre si va a ir a  votar",0.056,0.045,0.108,0.083,0.084
"P10","Tiene Decidido que no va a ir a votar",0.029,0.01,0.021,0.034,0.027
"P13","Unión por la Patria",0.689,0.863,0.737,0.249,0.047
"P13","Juntos por el Cambio ",0.104,0.05,0.075,0.317,0.411
"P13","Liberales",0.058,0.031,0.05,0.234,0.354
"P13","Izquierda",0.055,0.027,0.035,0.037,0.031
"P13","Hacemos por Nuestro país",0.064,0.012,0.047,0.059,0.083
"P13","No sabe",0.03,0.017,0.056,0.104,0.074
"P14","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.691,0.854,0.71,0.276,0.084
"P14","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.125,0.053,0.092,0.379,0.494
"P14","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.104,0.066,0.108,0.24,0.325
"P14","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.011,0.005,0.02,0.022,0.02
"P14","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.045,0.011,0.033,0.012,0.021
"P14","En blanco",0.007,0.005,0.016,0.041,0.025
"P14","No sabe",0.017,0.006,0.021,0.03,0.031
"P17","Totalmente seguro",0.742,0.837,0.665,0.641,0.706
"P17","Bastante seguro",0.125,0.114,0.136,0.151,0.133
"P17","Algo seguro",0.079,0.04,0.143,0.122,0.091
"P17","Para nada seguro",0.054,0.009,0.056,0.086,0.07
"P22","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.154,0.038,0.094,0.155,0.286
"P22","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.078,0.047,0.086,0.106,0.252
"P22","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.25,0.224,0.285,0.266,0.156
"P22","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.202,0.32,0.236,0.17,0.094
"P22","En blanco",0.214,0.254,0.206,0.143,0.175
"P22","No sabe",0.102,0.117,0.093,0.16,0.037
"P25","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.549,0.386,0.404,0.148,0.079
"P25","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.315,0.174,0.301,0.371,0.386
"P25","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.102,0.169,0.191,0.219,0.156
"P25","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0,0.018,0.016,0.031,0.01
"P25","En blanco",0.025,0.062,0.054,0.097,0.26
"P25","No sabe",0.009,0.191,0.034,0.134,0.109
"P28","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.315,0.341,0.432,0.123,0.076
"P28","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.418,0.246,0.24,0.557,0.484
"P28","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.166,0.282,0.149,0.141,0.14
"P28","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.021,0.039,0.108,0.014,0.025
"P28","En blanco",0.055,0.092,0.042,0.146,0.224
"P28","No sabe",0.025,0,0.029,0.019,0.051
"P31","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.334,0.4,0.482,0.315,0.253
"P31","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.333,0.2,0.111,0.336,0.292
"P31","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0,0.2,0.111,0.094,0.122
"P31","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0,0,0.074,0.207,0.007
"P31","En blanco",0.333,0.2,0.111,0.014,0.183
"P31","No sabe",0,0,0.111,0.034,0.143
"P36","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.216,0.078,0.164,0.451,0.553
"P36","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.155,0.111,0.135,0.2,0.225
"P36","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.447,0.554,0.447,0.172,0.087
"P36","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.102,0.118,0.155,0.083,0.04
"P36","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.054,0.089,0.059,0.032,0.045
"P36","No sabe",0.026,0.05,0.04,0.062,0.05
"P37","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.682,0.846,0.767,0.345,0.116
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.132,0.046,0.094,0.432,0.665
"P37","En blanco",0.103,0.076,0.081,0.119,0.14
"P37","No sabe",0.083,0.032,0.058,0.104,0.079
"P38","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.317,0.132,0.233,0.42,0.488
