"var","categoria","Con políticas de shock, mano dura y castigando a los corruptos y ladrones","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar","Con políticas de desarrollo que permitan el crecimiento con inclusión social","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares","No sabe"
"P06","Mucho",0.406,0.403,0.502,0.449,0.521,0.254
"P06","Bastante",0.287,0.329,0.299,0.203,0.234,0.248
"P06","Poco",0.259,0.231,0.18,0.274,0.234,0.415
"P06","Nada",0.04,0.031,0.012,0.046,0.002,0.071
"P06","No sabe",0.008,0.006,0.007,0.028,0.009,0.012
"P07","Siempre",0.273,0.253,0.252,0.257,0.309,0.18
"P07","Casi siempre",0.369,0.42,0.455,0.411,0.428,0.357
"P07","Casi nunca",0.275,0.264,0.242,0.263,0.198,0.318
"P07","Nunca, pero esta es una excepción",0.083,0.063,0.051,0.069,0.065,0.145
"P09","Gran excedente habitual",0.011,0.012,0.015,0.024,0.032,0.011
"P09","Gran excedente excepcional",0.008,0.011,0.016,0.009,0.011,0.005
"P09","Pequeño excedente habitual",0.042,0.084,0.104,0.067,0.09,0.05
"P09","Pequeño excedente excepcional",0.1,0.156,0.183,0.148,0.157,0.087
"P09","Alcanza gastos familia",0.122,0.128,0.117,0.13,0.128,0.076
"P09","No alcanza gastos familia",0.081,0.062,0.055,0.112,0.057,0.149
"P09","Solo NBFamiliares",0.276,0.269,0.282,0.224,0.274,0.251
"P09","No alcanza NBFamiliares",0.355,0.275,0.222,0.282,0.239,0.356
"P09","No sabe",0.005,0.003,0.006,0.004,0.012,0.015
"P10","Tiene Decidido que va a ir a votar",0.887,0.895,0.911,0.874,0.901,0.809
"P10","Tiene dudas sobre si va a ir a  votar",0.084,0.081,0.068,0.104,0.062,0.13
"P10","Tiene Decidido que no va a ir a votar",0.029,0.024,0.021,0.022,0.037,0.061
"P13","Unión por la Patria",0.111,0.223,0.712,0.561,0.456,0.218
"P13","Juntos por el Cambio ",0.333,0.434,0.107,0.1,0.148,0.194
"P13","Liberales",0.376,0.179,0.058,0.04,0.156,0.131
"P13","Izquierda",0.02,0.029,0.034,0.041,0.126,0.038
"P13","Hacemos por Nuestro país",0.088,0.07,0.05,0.074,0.06,0.072
"P13","No sabe",0.072,0.065,0.039,0.184,0.054,0.347
"P14","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.157,0.259,0.681,0.582,0.507,0.297
"P14","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.388,0.482,0.148,0.082,0.205,0.207
"P14","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.367,0.181,0.092,0.104,0.159,0.169
"P14","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.017,0.023,0.023,0.018,0.031,0.019
"P14","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.027,0.008,0.02,0.049,0.055,0.014
"P14","En blanco",0.023,0.023,0.017,0.105,0.025,0.114
"P14","No sabe",0.021,0.024,0.019,0.06,0.018,0.18
"P17","Totalmente seguro",0.735,0.653,0.737,0.555,0.605,0.451
"P17","Bastante seguro",0.116,0.191,0.115,0.093,0.191,0.16
"P17","Algo seguro",0.087,0.104,0.102,0.132,0.132,0.147
"P17","Para nada seguro",0.062,0.052,0.046,0.22,0.072,0.242
"P22","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.241,0.191,0.094,0.059,0.012,0.074
"P22","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.259,0.148,0.054,0.035,0.086,0.102
"P22","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.338,0.384,0.264,0.131,0.079,0.083
"P22","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.053,0.133,0.27,0.405,0.195,0.054
"P22","En blanco",0.074,0.068,0.216,0.188,0.58,0.143
"P22","No sabe",0.035,0.076,0.102,0.182,0.048,0.544
"P25","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.103,0.118,0.25,0.43,0.005,0.041
"P25","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.409,0.392,0.246,0.271,0.006,0.067
"P25","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.183,0.187,0.231,0.036,0.121,0.103
"P25","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.017,0.015,0.006,0.088,0,0.009
"P25","En blanco",0.175,0.192,0.168,0.077,0.865,0.108
"P25","No sabe",0.113,0.096,0.099,0.098,0.003,0.672
"P28","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.115,0.082,0.313,0.173,0.094,0.139
"P28","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.469,0.565,0.5,0.344,0.047,0.206
"P28","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.132,0.2,0.146,0.087,0.095,0.078
"P28","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.019,0.06,0.009,0.2,0.034,0.02
"P28","En blanco",0.211,0.074,0.023,0.091,0.703,0.224
"P28","No sabe",0.054,0.019,0.009,0.105,0.027,0.333
"P31","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.331,0.359,0.246,0.051,0.392,0
"P31","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.265,0.412,0.128,0.312,0.153,0.02
"P31","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.207,0.192,0.03,0,0,0.149
"P31","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.007,0.003,0.018,0.637,0.448,0.119
"P31","En blanco",0.015,0.015,0.475,0,0.007,0.042
"P31","No sabe",0.175,0.019,0.103,0,0,0.67
"P37","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.21,0.265,0.719,0.62,0.571,0.335
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.555,0.61,0.149,0.09,0.241,0.25
"P37","En blanco",0.153,0.063,0.086,0.115,0.099,0.11
"P37","No sabe",0.082,0.062,0.046,0.175,0.089,0.305
"P38","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.458,0.5,0.215,0.195,0.235,0.287
"P38","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.4,0.272,0.097,0.116,0.177,0.178
"P38","En blanco",0.073,0.135,0.513,0.368,0.477,0.182
"P38","No sabe",0.069,0.093,0.175,0.321,0.111,0.353
"P39","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.208,0.297,0.726,0.61,0.56,0.334
