"var","categoria","Muy buena","Buena","Regular","Mala","Muy mala"
"P06","Mucho",0.636,0.497,0.415,0.385,0.418
"P06","Bastante",0.209,0.312,0.29,0.29,0.275
"P06","Poco",0.141,0.166,0.267,0.287,0.254
"P06","Nada",0.011,0.021,0.022,0.028,0.046
"P06","No sabe",0.003,0.004,0.006,0.01,0.007
"P07","Siempre",0.374,0.273,0.266,0.214,0.316
"P07","Casi siempre",0.375,0.456,0.423,0.43,0.343
"P07","Casi nunca",0.219,0.22,0.251,0.292,0.241
"P07","Nunca, pero esta es una excepción",0.032,0.051,0.06,0.064,0.1
"P09","Gran excedente habitual",0.068,0.022,0.009,0.006,0.006
"P09","Gran excedente excepcional",0.024,0.024,0.013,0.003,0.004
"P09","Pequeño excedente habitual",0.19,0.144,0.074,0.035,0.02
"P09","Pequeño excedente excepcional",0.212,0.177,0.176,0.11,0.078
"P09","Alcanza gastos familia",0.06,0.126,0.144,0.119,0.117
"P09","No alcanza gastos familia",0.059,0.047,0.07,0.063,0.076
"P09","Solo NBFamiliares",0.149,0.292,0.279,0.304,0.267
"P09","No alcanza NBFamiliares",0.238,0.162,0.23,0.353,0.43
"P09","No sabe",0,0.006,0.005,0.007,0.002
"P10","Tiene Decidido que va a ir a votar",0.936,0.934,0.886,0.862,0.87
"P10","Tiene dudas sobre si va a ir a  votar",0.036,0.053,0.087,0.113,0.093
"P10","Tiene Decidido que no va a ir a votar",0.028,0.013,0.027,0.025,0.037
"P13","Unión por la Patria",0.714,0.675,0.369,0.159,0.072
"P13","Juntos por el Cambio ",0.079,0.135,0.252,0.368,0.392
"P13","Liberales",0.06,0.091,0.202,0.289,0.36
"P13","Izquierda",0.065,0.021,0.041,0.027,0.034
"P13","Hacemos por Nuestro país",0.051,0.03,0.066,0.07,0.075
"P13","No sabe",0.031,0.048,0.07,0.087,0.067
"P14","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.679,0.663,0.411,0.177,0.085
"P14","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.119,0.172,0.297,0.439,0.458
"P14","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.113,0.116,0.202,0.27,0.358
"P14","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.006,0.011,0.021,0.025,0.02
"P14","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.036,0.012,0.028,0.021,0.017
"P14","En blanco",0.04,0.01,0.024,0.033,0.019
"P14","No sabe",0.007,0.016,0.017,0.035,0.043
"P17","Totalmente seguro",0.754,0.729,0.676,0.68,0.709
"P17","Bastante seguro",0.121,0.107,0.157,0.151,0.127
"P17","Algo seguro",0.062,0.125,0.111,0.094,0.08
"P17","Para nada seguro",0.063,0.039,0.056,0.075,0.084
"P22","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.059,0.073,0.103,0.22,0.291
"P22","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.069,0.066,0.097,0.171,0.155
"P22","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.258,0.228,0.31,0.214,0.127
"P22","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.334,0.261,0.212,0.174,0.103
"P22","En blanco",0.22,0.277,0.162,0.099,0.238
"P22","No sabe",0.06,0.095,0.116,0.122,0.086
"P25","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.299,0.241,0.109,0.145,0.077
