"var","categoria","Muy positiva","Positiva","Neutral","Algo negativa","Negativa","No sabe"
"P06","Mucho",0.58,0.427,0.391,0.394,0.495,0.315
"P06","Bastante",0.217,0.322,0.306,0.315,0.229,0.317
"P06","Poco",0.187,0.22,0.267,0.251,0.246,0.275
"P06","Nada",0.014,0.023,0.027,0.025,0.028,0.065
"P06","No sabe",0.002,0.008,0.009,0.015,0.002,0.028
"P07","Siempre",0.348,0.265,0.262,0.264,0.28,0.258
"P07","Casi siempre",0.415,0.468,0.409,0.411,0.403,0.469
"P07","Casi nunca",0.201,0.21,0.274,0.273,0.24,0.19
"P07","Nunca, pero esta es una excepción",0.036,0.057,0.055,0.052,0.077,0.083
"P09","Gran excedente habitual",0.026,0.009,0.018,0.025,0.012,0
"P09","Gran excedente excepcional",0.01,0.01,0.008,0.008,0.026,0.001
"P09","Pequeño excedente habitual",0.098,0.102,0.083,0.069,0.067,0.044
"P09","Pequeño excedente excepcional",0.224,0.141,0.123,0.165,0.156,0.098
"P09","Alcanza gastos familia",0.101,0.122,0.127,0.119,0.154,0.146
"P09","No alcanza gastos familia",0.058,0.057,0.064,0.063,0.066,0.137
"P09","Solo NBFamiliares",0.228,0.301,0.292,0.27,0.261,0.298
"P09","No alcanza NBFamiliares",0.245,0.255,0.28,0.28,0.258,0.268
"P09","No sabe",0.01,0.003,0.005,0.001,0,0.008
"P10","Tiene Decidido que va a ir a votar",0.925,0.883,0.904,0.838,0.904,0.866
"P10","Tiene dudas sobre si va a ir a  votar",0.056,0.091,0.082,0.128,0.082,0.08
"P10","Tiene Decidido que no va a ir a votar",0.019,0.026,0.014,0.034,0.014,0.054
"P13","Unión por la Patria",0.782,0.554,0.177,0.102,0.019,0.177
"P13","Juntos por el Cambio ",0.061,0.164,0.327,0.468,0.429,0.364
"P13","Liberales",0.064,0.135,0.326,0.29,0.409,0.126
"P13","Izquierda",0.025,0.049,0.042,0.017,0.017,0.03
"P13","Hacemos por Nuestro país",0.041,0.055,0.062,0.049,0.064,0.112
"P13","No sabe",0.027,0.043,0.066,0.074,0.062,0.191
"P14","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.748,0.566,0.2,0.155,0.071,0.27
"P14","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.091,0.181,0.44,0.577,0.526,0.346
"P14","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.119,0.171,0.257,0.203,0.333,0.183
"P14","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.013,0.023,0.021,0.015,0.013,0.061
"P14","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.012,0.027,0.028,0.006,0.006,0.005
"P14","En blanco",0.012,0.025,0.026,0.023,0.032,0.033
"P14","No sabe",0.005,0.007,0.028,0.021,0.019,0.102
"P17","Totalmente seguro",0.781,0.672,0.677,0.686,0.725,0.583
"P17","Bastante seguro",0.095,0.174,0.148,0.109,0.114,0.143
"P17","Algo seguro",0.079,0.124,0.103,0.098,0.086,0.172
"P17","Para nada seguro",0.045,0.03,0.072,0.107,0.075,0.102
"P22","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.095,0.085,0.144,0.283,0.225,0.257
"P22","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.048,0.092,0.2,0.278,0.508,0.118
"P22","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.263,0.266,0.178,0.098,0.217,0.297
"P22","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.26,0.239,0.23,0.237,0.028,0.078
"P22","En blanco",0.243,0.218,0.122,0.093,0.011,0.056
"P22","No sabe",0.091,0.1,0.126,0.011,0.011,0.194
"P25","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.458,0.131,0.145,0.145,0.051,0.099
"P25","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.182,0.398,0.393,0.408,0.347,0.307
"P25","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.217,0.21,0.192,0.147,0.122,0.138
"P25","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.005,0.046,0.024,0.015,0.007,0.011
"P25","En blanco",0.033,0.157,0.152,0.208,0.329,0.2
"P25","No sabe",0.105,0.058,0.094,0.077,0.144,0.245
"P28","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.45,0.127,0.121,0.141,0.103,0.041
"P28","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.276,0.381,0.513,0.624,0.415,0.678
"P28","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.192,0.236,0.162,0.079,0.138,0.031
"P28","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.008,0.011,0.019,0,0.036,0
"P28","En blanco",0.071,0.239,0.12,0.086,0.22,0.186
"P28","No sabe",0.003,0.006,0.065,0.07,0.088,0.064
"P31","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.653,0.534,0.535,0.388,0,0
"P31","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.038,0.136,0.157,0.378,0.984,0.008
"P31","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0,0.24,0.272,0.004,0.008,0
"P31","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0,0.015,0.018,0.226,0,0
"P31","En blanco",0.296,0,0.013,0,0.008,0.496
"P31","No sabe",0.013,0.075,0.005,0.004,0,0.496
"P36","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.162,0.277,0.458,0.497,0.566,0.371
"P36","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.083,0.162,0.232,0.26,0.232,0.247
"P36","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.493,0.363,0.161,0.093,0.066,0.136
"P36","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.136,0.104,0.057,0.085,0.054,0.088
"P36","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.101,0.063,0.038,0.02,0.036,0.044
"P36","No sabe",0.025,0.031,0.054,0.045,0.046,0.114
"P37","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.791,0.589,0.266,0.215,0.084,0.242
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.085,0.241,0.539,0.619,0.641,0.495
"P37","En blanco",0.092,0.114,0.121,0.098,0.202,0.09
"P37","No sabe",0.032,0.056,0.074,0.068,0.073,0.173
"P38","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.203,0.257,0.422,0.566,0.504,0.448
"P38","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.102,0.215,0.308,0.275,0.411,0.246
"P38","En blanco",0.53,0.375,0.161,0.092,0.035,0.098
"P38","No sabe",0.165,0.153,0.109,0.067,0.05,0.208
"P39","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.79,0.587,0.253,0.194,0.074,0.317
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.103,0.239,0.464,0.493,0.604,0.346
"P39","En blanco",0.061,0.112,0.156,0.181,0.228,0.122
"P39","No sabe",0.046,0.062,0.127,0.132,0.094,0.215
"P40","Lo votaría",0.793,0.587,0.235,0.157,0.07,0.204
"P40","Puede que lo vote",0.064,0.095,0.133,0.097,0.105,0.107
