"var","categoria","Muy positivo","Positivo","Neutral","Algo negativo","Negativo","No sabe"
"P06","Mucho",0.534,0.406,0.412,0.394,0.457,0.308
"P06","Bastante",0.261,0.32,0.29,0.33,0.23,0.293
"P06","Poco",0.177,0.24,0.261,0.243,0.304,0.261
"P06","Nada",0.026,0.023,0.032,0.011,0.007,0.094
"P06","No sabe",0.002,0.011,0.005,0.022,0.002,0.044
"P07","Siempre",0.339,0.253,0.257,0.274,0.281,0.269
"P07","Casi siempre",0.408,0.457,0.425,0.419,0.419,0.377
"P07","Casi nunca",0.206,0.238,0.263,0.241,0.234,0.208
"P07","Nunca, pero esta es una excepción",0.047,0.052,0.055,0.066,0.066,0.146
"P09","Gran excedente habitual",0.021,0.016,0.015,0.005,0.01,0.001
"P09","Gran excedente excepcional",0.007,0.018,0.013,0.007,0.01,0.004
"P09","Pequeño excedente habitual",0.102,0.089,0.071,0.068,0.075,0.033
"P09","Pequeño excedente excepcional",0.186,0.136,0.125,0.164,0.182,0.07
"P09","Alcanza gastos familia",0.116,0.123,0.14,0.127,0.127,0.109
"P09","No alcanza gastos familia",0.06,0.07,0.058,0.076,0.073,0.065
"P09","Solo NBFamiliares",0.257,0.296,0.288,0.251,0.243,0.382
"P09","No alcanza NBFamiliares",0.245,0.247,0.284,0.301,0.28,0.328
"P09","No sabe",0.006,0.005,0.006,0.001,0,0.008
"P10","Tiene Decidido que va a ir a votar",0.923,0.88,0.889,0.882,0.874,0.776
"P10","Tiene dudas sobre si va a ir a  votar",0.064,0.088,0.09,0.091,0.094,0.163
"P10","Tiene Decidido que no va a ir a votar",0.013,0.032,0.021,0.027,0.032,0.061
"P13","Unión por la Patria",0.723,0.399,0.125,0.052,0.021,0.137
"P13","Juntos por el Cambio ",0.092,0.219,0.407,0.482,0.417,0.318
"P13","Liberales",0.072,0.212,0.295,0.336,0.412,0.18
"P13","Izquierda",0.027,0.052,0.03,0.022,0.04,0.047
"P13","Hacemos por Nuestro país",0.045,0.071,0.075,0.017,0.054,0.055
"P13","No sabe",0.041,0.047,0.068,0.091,0.056,0.263
"P14","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.711,0.418,0.151,0.108,0.078,0.196
"P14","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.113,0.246,0.504,0.611,0.519,0.392
"P14","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.11,0.25,0.226,0.248,0.341,0.198
"P14","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.02,0.027,0.03,0.007,0.007,0.006
"P14","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.013,0.031,0.017,0.001,0.013,0.04
"P14","En blanco",0.02,0.014,0.041,0.015,0.028,0.023
"P14","No sabe",0.013,0.014,0.031,0.01,0.014,0.145
"P17","Totalmente seguro",0.751,0.687,0.632,0.694,0.746,0.585
"P17","Bastante seguro",0.125,0.157,0.149,0.118,0.117,0.114
"P17","Algo seguro",0.087,0.109,0.124,0.122,0.074,0.192
"P17","Para nada seguro",0.037,0.047,0.095,0.066,0.063,0.109
"P22","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.087,0.123,0.116,0.32,0.476,0.084
"P22","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.064,0.135,0.263,0.196,0.235,0
"P22","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.257,0.24,0.265,0.189,0.186,0.278
"P22","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.27,0.236,0.125,0.042,0.075,0.141
"P22","En blanco",0.22,0.178,0.153,0.099,0,0.207
"P22","No sabe",0.102,0.088,0.078,0.154,0.028,0.29
"P25","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.294,0.15,0.116,0.128,0.046,0.143
"P25","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.301,0.379,0.41,0.371,0.322,0.181
"P25","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.117,0.215,0.211,0.11,0.149,0.204
"P25","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.022,0.006,0.035,0.001,0.014,0.008
"P25","En blanco",0.084,0.145,0.159,0.283,0.342,0.237
"P25","No sabe",0.182,0.105,0.069,0.107,0.127,0.227
"P28","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.33,0.085,0.107,0.217,0.127,0.177
"P28","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.376,0.4,0.518,0.451,0.443,0.554
"P28","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.134,0.26,0.104,0.114,0.172,0.017
"P28","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.019,0.014,0.022,0.006,0.013,0
"P28","En blanco",0.114,0.228,0.139,0.2,0.18,0.233
"P28","No sabe",0.027,0.013,0.11,0.012,0.065,0.019
"P31","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.737,0.162,0.192,0,0,0.333
"P31","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.038,0.019,0.592,0.031,0.45,0.333
"P31","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.046,0.265,0.003,0.015,0.275,0
"P31","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.003,0.011,0.001,0.954,0,0
"P31","En blanco",0.169,0.523,0.002,0,0.275,0.334
"P31","No sabe",0.007,0.02,0.21,0,0,0
"P36","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.201,0.336,0.491,0.474,0.526,0.37
"P36","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.104,0.211,0.235,0.329,0.226,0.201
"P36","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.438,0.289,0.119,0.09,0.126,0.11
"P36","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.142,0.083,0.048,0.055,0.049,0.099
"P36","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.084,0.041,0.048,0.022,0.04,0.057
"P36","No sabe",0.031,0.04,0.059,0.03,0.033,0.163
"P37","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.743,0.444,0.205,0.131,0.1,0.285
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.106,0.377,0.591,0.689,0.66,0.428
"P37","En blanco",0.103,0.117,0.115,0.106,0.175,0.121
"P37","No sabe",0.048,0.062,0.089,0.074,0.065,0.166
"P38","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.216,0.338,0.459,0.584,0.502,0.385
"P38","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.118,0.28,0.312,0.286,0.408,0.231
"P38","En blanco",0.482,0.286,0.132,0.048,0.04,0.082
"P38","No sabe",0.184,0.096,0.097,0.082,0.05,0.302
"P39","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.736,0.448,0.183,0.171,0.11,0.356
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.121,0.374,0.478,0.51,0.59,0.282
"P39","En blanco",0.079,0.102,0.195,0.199,0.21,0.102
"P39","No sabe",0.064,0.076,0.144,0.12,0.09,0.26
"P40","Lo votaría",0.747,0.421,0.162,0.136,0.1,0.219
"P40","Puede que lo vote",0.064,0.107,0.131,0.103,0.104,0.11
"P40","Nunca lo votaría",0.147,0.424,0.658,0.743,0.775,0.49
"P40","No sabe",0.042,0.048,0.049,0.018,0.021,0.181
"P41","Lo votaría",0.186,0.268,0.434,0.497,0.488,0.313
"P41","Puede que lo vote",0.065,0.154,0.163,0.198,0.147,0.21
"P41","Nunca lo votaría",0.715,0.533,0.343,0.283,0.325,0.35
"P41","No sabe",0.034,0.045,0.06,0.022,0.04,0.127
"P42","Lo votaría",0.087,0.251,0.355,0.345,0.449,0.195
"P42","Puede que lo vote",0.076,0.186,0.198,0.21,0.174,0.199
"P42","Nunca lo votaría",0.805,0.521,0.378,0.419,0.313,0.482
"P42","No sabe",0.032,0.042,0.069,0.026,0.064,0.124
"P43","Lo votaría",0.129,0.13,0.063,0.064,0.079,0.119
"P43","Puede que lo vote",0.354,0.264,0.188,0.161,0.119,0.132
"P43","Nunca lo votaría",0.458,0.528,0.683,0.695,0.769,0.622
"P43","No sabe",0.059,0.078,0.066,0.08,0.033,0.127
"P44","Lo votaría",0.109,0.093,0.094,0.061,0.048,0.017
"P44","Puede que lo vote",0.282,0.276,0.254,0.263,0.188,0.276
"P44","Nunca lo votaría",0.546,0.553,0.558,0.575,0.71,0.492
"P44","No sabe",0.063,0.078,0.094,0.101,0.054,0.215
"P53","Sergio Massa y Javier Milei",0.661,0.479,0.291,0.233,0.23,0.373
"P53","Patricia Bullrich y Javier Milei",0.179,0.366,0.588,0.573,0.658,0.441
"P53","Sergio Massa y Patricia Bullrich",0.16,0.155,0.121,0.194,0.112,0.186
"P54","Muy buena",0.1,0.085,0.028,0.04,0.057,0.082
"P54","Buena",0.149,0.089,0.109,0.063,0.1,0.075
"P54","Regular",0.408,0.24,0.072,0.086,0.017,0.151
"P54","Mala",0.223,0.245,0.269,0.195,0.168,0.27
"P54","Muy mala",0.12,0.341,0.522,0.616,0.658,0.422
"P55","Muy buena",0.086,0.047,0.017,0.022,0.021,0.016
"P55","Buena",0.276,0.11,0.035,0.03,0.011,0.049
"P55","Regular",0.35,0.242,0.081,0.039,0.027,0.227
"P55","Mala",0.17,0.23,0.259,0.199,0.163,0.243
"P55","Muy mala",0.118,0.371,0.608,0.71,0.778,0.465
"P56","Muy buena",0.223,0.084,0.035,0.02,0.062,0.028
"P56","Buena",0.364,0.263,0.149,0.08,0.134,0.179
"P56","Regular",0.268,0.385,0.397,0.456,0.301,0.465
"P56","Mala",0.109,0.161,0.262,0.256,0.232,0.15
"P56","Muy mala",0.036,0.107,0.157,0.188,0.271,0.178
"P57","Muy buena",0.088,0.043,0.028,0.012,0.025,0.004
"P57","Buena",0.325,0.207,0.142,0.113,0.143,0.069
"P57","Regular",0.404,0.472,0.479,0.443,0.372,0.592
"P57","Mala",0.136,0.192,0.227,0.314,0.218,0.206
"P57","Muy mala",0.047,0.086,0.124,0.118,0.242,0.129
"P58","Muy buena",0.138,0.055,0.046,0.015,0.028,0.01
"P58","Buena",0.33,0.203,0.102,0.073,0.092,0.173
"P58","Regular",0.335,0.359,0.332,0.232,0.233,0.419
"P58","Mala",0.124,0.234,0.305,0.46,0.268,0.276
"P58","Muy mala",0.073,0.149,0.215,0.22,0.379,0.122
"P59","Muy buena",0.2,0.088,0.058,0.035,0.052,0.03
"P59","Buena",0.434,0.317,0.221,0.125,0.232,0.201
"P59","Regular",0.273,0.417,0.458,0.483,0.377,0.584
"P59","Mala",0.061,0.125,0.17,0.254,0.193,0.132
"P59","Muy mala",0.032,0.053,0.093,0.103,0.146,0.053
"P60","Ha aumentado significativamente",0.168,0.065,0.036,0.015,0.032,0.007
"P60","Ha aumentado ligeramente",0.304,0.262,0.17,0.092,0.129,0.157
"P60","Se mantiene igual",0.301,0.311,0.306,0.243,0.193,0.377
"P60","Ha disminuido ligeramente",0.144,0.185,0.216,0.378,0.254,0.234
"P60","Ha disminuido significativamente",0.083,0.177,0.272,0.272,0.392,0.225
"P61","Muy baja",0.063,0.034,0.024,0.025,0.012,0.082
"P61","Baja",0.089,0.071,0.059,0.036,0.034,0.124
"P61","Moderada",0.15,0.116,0.06,0.052,0.05,0.076
"P61","Alta",0.41,0.254,0.209,0.153,0.119,0.227
"P61","Muy alta",0.288,0.525,0.648,0.734,0.785,0.491
"P62","Muy bajas",0.04,0.03,0.048,0.065,0.075,0.036
"P62","Bajas",0.088,0.107,0.116,0.153,0.134,0.09
"P62","Adecuadas",0.333,0.28,0.203,0.231,0.173,0.302
"P62","Altas",0.37,0.327,0.305,0.307,0.203,0.219
"P62","Muy altas",0.169,0.256,0.328,0.244,0.415,0.353
"P63","No, ninguna dificultad",0.42,0.293,0.227,0.264,0.26,0.167
"P63","Alguna dificultad ocasional",0.297,0.332,0.375,0.376,0.273,0.318
"P63","Sí, dificultades frecuentes",0.283,0.375,0.398,0.36,0.467,0.515
"P64","Sí, absolutamente",0.718,0.409,0.289,0.22,0.235,0.298
"P64","Sí, en cierta medida",0.199,0.388,0.406,0.409,0.278,0.424
"P64","No, en absoluto",0.083,0.203,0.305,0.371,0.487,0.278
"P65","Reducir la inflación",0.524,0.421,0.411,0.356,0.311,0.306
"P65","Implementar reformas fiscales",0.107,0.149,0.118,0.081,0.096,0.09
"P65","Establecer políticas de control de precios",0.236,0.157,0.081,0.084,0.074,0.212
"P65","Reducir el gasto público",0.075,0.235,0.334,0.415,0.462,0.285
"P65","Estimular la inversión extranjera",0.04,0.034,0.046,0.045,0.043,0.028
"P65","Aumentar los subsidios a los servicios públicos",0.018,0.004,0.01,0.019,0.014,0.079
"P66","Fomentar la competencia entre proveedores",0.296,0.337,0.439,0.411,0.47,0.225
"P66","Incrementar la inversión en infraestructura",0.206,0.196,0.229,0.234,0.187,0.217
"P66","Implementar políticas de subsidios focalizados en grupos vulnerables",0.203,0.167,0.088,0.112,0.062,0.273
"P66","Realizar auditorías periódicas a las empresas de servicios públicos",0.295,0.3,0.244,0.243,0.281,0.285
"P67","Muy positiva",0.464,0.155,0.134,0.092,0.077,0.032
"P67","Positiva",0.258,0.318,0.138,0.128,0.093,0.069
"P67","Neutral",0.14,0.3,0.421,0.32,0.137,0.313
"P67","Algo negativa",0.063,0.094,0.102,0.248,0.131,0.129
"P67","Negativa",0.014,0.04,0.118,0.13,0.483,0.056
"P67","No sabe",0.061,0.093,0.087,0.082,0.079,0.401
"P68","Muy positivo",0.402,0.074,0.028,0.009,0.026,0.019
"P68","Positivo",0.332,0.337,0.113,0.066,0.047,0.032
"P68","Neutral",0.145,0.368,0.514,0.356,0.176,0.182
"P68","Algo negativo",0.03,0.074,0.122,0.345,0.116,0.137
"P68","Negativo",0.023,0.04,0.124,0.138,0.531,0.026
"P68","No sabe",0.068,0.107,0.099,0.086,0.104,0.604
"P69","Muy positivo",0.288,0.046,0.016,0.011,0.028,0.022
"P69","Positivo",0.269,0.269,0.054,0.052,0.026,0.041
"P69","Neutral",0.289,0.479,0.661,0.485,0.284,0.201
"P69","Algo negativo",0.024,0.06,0.092,0.291,0.116,0.06
"P69","Negativo",0.026,0.029,0.071,0.087,0.423,0.008
"P69","No sabe",0.104,0.117,0.106,0.074,0.123,0.668
"P70","Muy positiva",0.849,0.178,0.034,0.029,0.026,0.072
"P70","Positiva",0.073,0.638,0.146,0.111,0.019,0.089
"P70","Neutral",0.048,0.147,0.691,0.208,0.118,0.114
"P70","Algo negativa",0.009,0.013,0.064,0.569,0.079,0.051
"P70","Negativa",0.011,0.013,0.04,0.063,0.727,0.038
"P70","No sabe",0.01,0.011,0.025,0.02,0.031,0.636
"P72","Muy positivo",0.806,0.095,0.031,0.026,0.033,0.092
"P72","Positivo",0.128,0.698,0.098,0.119,0.045,0.097
"P72","Neutral",0.054,0.165,0.773,0.345,0.165,0.157
"P72","Algo negativo",0.003,0.009,0.045,0.42,0.048,0.012
"P72","Negativo",0.001,0.01,0.043,0.078,0.667,0.076
"P72","No sabe",0.008,0.023,0.01,0.012,0.042,0.566
"P73","Muy positiva",0.55,0.086,0.042,0.026,0.038,0.071
"P73","Positiva",0.283,0.47,0.138,0.072,0.02,0.049
"P73","Neutral",0.092,0.244,0.496,0.305,0.134,0.144
"P73","Algo negativa",0.016,0.074,0.123,0.353,0.094,0.096
"P73","Negativa",0.018,0.054,0.14,0.188,0.659,0.09
