"var","categoria","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda","En blanco","No sabe"
"P06","Mucho",0.452,0.425,0.372,0.257,0.468,0.335
"P06","Bastante",0.23,0.296,0.323,0.295,0.343,0.36
"P06","Poco",0.286,0.237,0.279,0.29,0.177,0.282
"P06","Nada",0.014,0.041,0.021,0.158,0.005,0.017
"P06","No sabe",0.018,0.001,0.005,0,0.007,0.006
"P07","Siempre",0.342,0.235,0.279,0.159,0.276,0.225
"P07","Casi siempre",0.379,0.388,0.459,0.302,0.466,0.477
"P07","Casi nunca",0.227,0.309,0.207,0.333,0.193,0.232
"P07","Nunca, pero esta es una excepción",0.052,0.068,0.055,0.206,0.065,0.066
"P09","Gran excedente habitual",0.027,0.004,0.014,0.009,0.007,0.013
"P09","Gran excedente excepcional",0.005,0.012,0.011,0,0.006,0.004
"P09","Pequeño excedente habitual",0.065,0.07,0.071,0.049,0.075,0.043
"P09","Pequeño excedente excepcional",0.131,0.152,0.097,0.069,0.124,0.14
"P09","Alcanza gastos familia",0.108,0.182,0.141,0.151,0.14,0.112
"P09","No alcanza gastos familia",0.054,0.078,0.091,0.022,0.059,0.058
"P09","Solo NBFamiliares",0.234,0.263,0.328,0.168,0.252,0.277
"P09","No alcanza NBFamiliares",0.376,0.238,0.234,0.532,0.335,0.35
"P09","No sabe",0,0.001,0.013,0,0.002,0.003
"P10","Tiene Decidido que va a ir a votar",0.822,0.897,0.853,0.915,0.92,0.957
"P10","Tiene dudas sobre si va a ir a  votar",0.135,0.071,0.12,0.079,0.073,0.038
"P10","Tiene Decidido que no va a ir a votar",0.043,0.032,0.027,0.006,0.007,0.005
"P13","Unión por la Patria",0.24,0.038,0.072,0.123,0.003,0.023
"P13","Juntos por el Cambio ",0.497,0.646,0.698,0.549,0.831,0.73
"P13","Liberales",0.218,0.253,0.155,0.112,0.124,0.149
"P13","Izquierda",0.022,0.016,0.032,0.079,0.01,0.024
"P13","Hacemos por Nuestro país",0.002,0.023,0.016,0,0.01,0.027
"P13","No sabe",0.021,0.024,0.027,0.137,0.022,0.047
"P17","Totalmente seguro",0.679,0.67,0.695,0.573,0.787,0.597
"P17","Bastante seguro",0.107,0.154,0.155,0.069,0.136,0.22
"P17","Algo seguro",0.164,0.151,0.123,0.056,0.071,0.117
"P17","Para nada seguro",0.05,0.025,0.027,0.302,0.006,0.066
"P36","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.398,0.564,0.494,0.507,0.434,0.439
"P36","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.275,0.329,0.307,0.288,0.29,0.228
"P36","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.228,0.08,0.148,0.045,0.099,0.091
