"var","categoria","No, ninguna dificultad","Alguna dificultad ocasional","Sí, dificultades frecuentes"
"P06","Mucho",0.511,0.456,0.369
"P06","Bastante",0.292,0.299,0.274
"P06","Poco",0.179,0.221,0.306
"P06","Nada",0.015,0.018,0.04
"P06","No sabe",0.003,0.006,0.011
"P07","Siempre",0.27,0.273,0.284
"P07","Casi siempre",0.452,0.419,0.385
"P07","Casi nunca",0.23,0.252,0.247
"P07","Nunca, pero esta es una excepción",0.048,0.056,0.084
"P09","Gran excedente habitual",0.033,0.007,0.004
"P09","Gran excedente excepcional",0.024,0.01,0.002
"P09","Pequeño excedente habitual",0.17,0.057,0.017
"P09","Pequeño excedente excepcional",0.228,0.13,0.096
"P09","Alcanza gastos familia",0.11,0.163,0.102
"P09","No alcanza gastos familia",0.036,0.06,0.096
"P09","Solo NBFamiliares",0.225,0.317,0.27
"P09","No alcanza NBFamiliares",0.167,0.253,0.408
"P09","No sabe",0.007,0.003,0.005
"P10","Tiene Decidido que va a ir a votar",0.938,0.889,0.844
"P10","Tiene dudas sobre si va a ir a  votar",0.042,0.098,0.11
"P10","Tiene Decidido que no va a ir a votar",0.02,0.013,0.046
"P13","Unión por la Patria",0.526,0.314,0.232
"P13","Juntos por el Cambio ",0.222,0.298,0.29
"P13","Liberales",0.153,0.234,0.255
"P13","Izquierda",0.034,0.03,0.044
"P13","Hacemos por Nuestro país",0.03,0.06,0.08
"P13","No sabe",0.035,0.064,0.099
"P14","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.514,0.33,0.272
"P14","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.256,0.363,0.35
"P14","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.176,0.212,0.266
"P14","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.012,0.023,0.021
"P14","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.011,0.024,0.026
"P14","En blanco",0.013,0.024,0.036
"P14","No sabe",0.018,0.024,0.029
"P17","Totalmente seguro",0.775,0.689,0.645
"P17","Bastante seguro",0.115,0.133,0.163
"P17","Algo seguro",0.068,0.121,0.106
"P17","Para nada seguro",0.042,0.057,0.086
"P22","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.083,0.114,0.141
"P22","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.055,0.1,0.156
"P22","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.235,0.313,0.224
"P22","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.301,0.204,0.174
"P22","En blanco",0.231,0.172,0.191
"P22","No sabe",0.095,0.097,0.114
"P25","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.157,0.151,0.096
"P25","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.341,0.417,0.324
"P25","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.178,0.142,0.197
"P25","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.008,0.017,0.024
"P25","En blanco",0.196,0.186,0.234
"P25","No sabe",0.12,0.087,0.125
"P28","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.132,0.118,0.158
"P28","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.496,0.533,0.367
"P28","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.154,0.155,0.151
"P28","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.021,0.012,0.042
"P28","En blanco",0.18,0.115,0.242
"P28","No sabe",0.017,0.067,0.04
"P31","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.359,0.306,0.202
"P31","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.226,0.399,0.243
"P31","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.153,0.097,0.091
"P31","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.022,0.003,0.109
"P31","En blanco",0.109,0.003,0.318
"P31","No sabe",0.131,0.192,0.037
"P36","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.255,0.379,0.481
"P36","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.197,0.219,0.158
"P36","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.357,0.234,0.172
"P36","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.091,0.079,0.079
"P36","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.058,0.045,0.055
"P36","No sabe",0.042,0.044,0.055
"P37","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.554,0.374,0.304
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.311,0.461,0.442
"P37","En blanco",0.094,0.096,0.151
"P37","No sabe",0.041,0.069,0.103
"P38","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.339,0.382,0.394
"P38","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.193,0.274,0.283
"P38","En blanco",0.343,0.226,0.194
"P38","No sabe",0.125,0.118,0.129
"P39","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.564,0.385,0.317
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.267,0.364,0.387
"P39","En blanco",0.107,0.154,0.168
"P39","No sabe",0.062,0.097,0.128
"P40","Lo votaría",0.559,0.343,0.289
"P40","Puede que lo vote",0.08,0.105,0.106
"P40","Nunca lo votaría",0.33,0.509,0.539
"P40","No sabe",0.031,0.043,0.066
"P41","Lo votaría",0.276,0.351,0.347
"P41","Puede que lo vote",0.12,0.172,0.139
"P41","Nunca lo votaría",0.571,0.434,0.455
"P41","No sabe",0.033,0.043,0.059
"P42","Lo votaría",0.185,0.263,0.288
"P42","Puede que lo vote",0.14,0.177,0.159
"P42","Nunca lo votaría",0.635,0.514,0.489
"P42","No sabe",0.04,0.046,0.064
"P43","Lo votaría",0.109,0.097,0.101
"P43","Puede que lo vote",0.297,0.246,0.203
"P43","Nunca lo votaría",0.534,0.587,0.628
"P43","No sabe",0.06,0.07,0.068
"P44","Lo votaría",0.095,0.089,0.086
"P44","Puede que lo vote",0.293,0.29,0.212
"P44","Nunca lo votaría",0.546,0.537,0.61
"P44","No sabe",0.066,0.084,0.092
"P53","Sergio Massa y Javier Milei",0.57,0.384,0.367
"P53","Patricia Bullrich y Javier Milei",0.301,0.472,0.463
"P53","Sergio Massa y Patricia Bullrich",0.129,0.144,0.17
