"var","categoria","Muy positivo","Positivo","Neutral","Algo negativo","Negativo","No sabe"
"P06","Mucho",0.498,0.394,0.464,0.485,0.462,0.212
"P06","Bastante",0.252,0.316,0.296,0.197,0.22,0.32
"P06","Poco",0.227,0.258,0.224,0.263,0.298,0.306
"P06","Nada",0.021,0.024,0.015,0.026,0.009,0.124
"P06","No sabe",0.002,0.008,0.001,0.029,0.011,0.038
"P07","Siempre",0.334,0.262,0.263,0.233,0.305,0.357
"P07","Casi siempre",0.389,0.442,0.438,0.496,0.377,0.322
"P07","Casi nunca",0.231,0.236,0.245,0.205,0.262,0.196
"P07","Nunca, pero esta es una excepción",0.046,0.06,0.054,0.066,0.056,0.125
"P09","Gran excedente habitual",0.014,0.008,0.012,0.024,0.021,0.001
"P09","Gran excedente excepcional",0.013,0.008,0.015,0.005,0.01,0
"P09","Pequeño excedente habitual",0.109,0.087,0.078,0.101,0.054,0.024
"P09","Pequeño excedente excepcional",0.201,0.132,0.179,0.093,0.109,0.077
"P09","Alcanza gastos familia",0.106,0.15,0.116,0.2,0.111,0.146
"P09","No alcanza gastos familia",0.052,0.076,0.065,0.046,0.072,0.152
"P09","Solo NBFamiliares",0.274,0.236,0.289,0.321,0.328,0.219
"P09","No alcanza NBFamiliares",0.225,0.298,0.239,0.21,0.295,0.369
"P09","No sabe",0.006,0.005,0.007,0,0,0.012
"P10","Tiene Decidido que va a ir a votar",0.915,0.884,0.891,0.905,0.86,0.832
"P10","Tiene dudas sobre si va a ir a  votar",0.075,0.074,0.085,0.087,0.123,0.093
"P10","Tiene Decidido que no va a ir a votar",0.01,0.042,0.024,0.008,0.017,0.075
"P13","Unión por la Patria",0.638,0.407,0.25,0.126,0.047,0.113
"P13","Juntos por el Cambio ",0.1,0.2,0.323,0.419,0.528,0.373
"P13","Liberales",0.155,0.223,0.253,0.283,0.324,0.206
"P13","Izquierda",0.013,0.049,0.056,0.055,0.021,0.013
"P13","Hacemos por Nuestro país",0.057,0.064,0.047,0.039,0.064,0.082
"P13","No sabe",0.037,0.057,0.071,0.078,0.016,0.213
"P14","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.619,0.394,0.294,0.16,0.077,0.279
"P14","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.158,0.271,0.383,0.535,0.607,0.402
"P14","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.162,0.25,0.217,0.196,0.287,0.145
"P14","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.011,0.02,0.042,0.025,0.012,0.003
"P14","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.017,0.023,0.022,0.015,0,0.027
"P14","En blanco",0.023,0.019,0.022,0.05,0.012,0.069
"P14","No sabe",0.01,0.023,0.02,0.019,0.005,0.075
"P17","Totalmente seguro",0.728,0.64,0.691,0.676,0.794,0.637
"P17","Bastante seguro",0.102,0.179,0.156,0.117,0.106,0.101
"P17","Algo seguro",0.11,0.114,0.092,0.157,0.047,0.179
"P17","Para nada seguro",0.06,0.067,0.061,0.05,0.053,0.083
