"var","categoria","Unión por la Patria","Juntos por el Cambio","De los liberales libertarios","De la Izquierda","Hacemos por nuestro país","Otro","En blanco"
"P26","Totalmente seguro",0.717,0.713,0.705,0.604,0.56,0.472,0.144
"P26","Bastante seguro",0.133,0.158,0.146,0.123,0.172,0.148,0.429
"P26","Algo seguro",0.101,0.085,0.12,0.138,0.133,0.18,0.132
"P26","Para nada seguro",0.049,0.044,0.029,0.135,0.135,0.2,0.295
"P27","Tiene Decidido que va a ir a votar",0.943,0.915,0.925,0.77,0.94,0.592,0.708
"P27","Tiene dudas sobre si va a ir a  votar",0.032,0.064,0.06,0.15,0.06,0.32,0.178
"P27","Tiene Decidido que no va a ir a votar",0.025,0.021,0.015,0.08,0,0.088,0.114
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.867,0.137,0.17,0.337,0.233,0.292,0.066
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.089,0.803,0.348,0.153,0.276,0.178,0.147
"P28","En blanco",0.016,0.023,0.311,0.318,0.223,0.208,0.504
"P28","No sabe",0.028,0.037,0.171,0.192,0.268,0.322,0.283
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.349,0.806,0.172,0.134,0.342,0.282,0.073
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.085,0.109,0.748,0.167,0.529,0.311,0.073
"P29","En blanco",0.372,0.044,0.052,0.481,0.055,0.137,0.565
"P29","No sabe",0.194,0.041,0.028,0.218,0.074,0.27,0.289
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.856,0.194,0.148,0.409,0.116,0.202,0.038
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.051,0.255,0.744,0.175,0.628,0.281,0.046
"P30","En blanco",0.056,0.373,0.076,0.245,0.149,0.194,0.741
"P30","No sabe",0.037,0.178,0.032,0.171,0.107,0.323,0.175
"P38","Inflación",0.437,0.343,0.369,0.084,0.357,0.371,0.426
"P38","Desempleo",0.125,0.039,0.075,0.118,0.11,0.249,0.031
"P38","Corrupción",0.085,0.4,0.384,0.245,0.423,0.124,0.181
"P38","Inseguridad",0.116,0.115,0.097,0.139,0.037,0.04,0.305
"P38","Precio del dólar",0.013,0.006,0.015,0.045,0,0.019,0
"P38","Pobreza",0.112,0.043,0.041,0.102,0,0.024,0.042
"P38","Narcotráfico",0.002,0.005,0.004,0.02,0,0,0
"P38","Tarifas",0.008,0.003,0,0,0,0,0
"P38","Otro",0.082,0.037,0.013,0.223,0.073,0.142,0.015
"P38","No sabe",0.02,0.009,0.002,0.024,0,0.031,0
