"var","categoria","Al candidato del Frente de Todos","Al candidato de Juntos por el Cambio","Al candidato de la Izquierda","A otro candidato","No sabe"
"P07","Muy buena",0.349,0.033,0.103,0.056,0.086
"P07","Buena",0.231,0.071,0.23,0.035,0.151
"P07","Ni buena ni mala",0.19,0.153,0.08,0.188,0.255
"P07","Mala",0.152,0.385,0.284,0.127,0.153
"P07","Muy mala",0.028,0.348,0.303,0.517,0.299
"P07","No sabe",0.05,0.01,0,0.077,0.056
"P08","Muy buena",0.081,0.122,0.078,0.014,0.012
"P08","Buena",0.096,0.308,0.014,0.034,0.047
"P08","Ni buena ni mala",0.256,0.396,0.288,0.537,0.369
"P08","Mala",0.24,0.047,0.256,0.135,0.019
"P08","Muy mala",0.142,0.027,0.187,0.134,0.168
"P08","No sabe",0.185,0.1,0.177,0.146,0.385
"P09","Muy buena",0.293,0.058,0.008,0.015,0.078
"P09","Buena",0.161,0.116,0.072,0.079,0.098
"P09","Ni buena ni mala",0.281,0.256,0.357,0.177,0.355
"P09","Mala",0.121,0.202,0.17,0.173,0.1
"P09","Muy mala",0.088,0.328,0.377,0.488,0.2
"P09","No sabe",0.056,0.04,0.016,0.068,0.169
"P10","Muy buena",0.066,0.11,0.052,0.018,0.024
"P10","Buena",0.046,0.124,0.031,0.058,0.106
"P10","Ni buena ni mala",0.323,0.399,0.256,0.341,0.394
"P10","Mala",0.195,0.085,0.182,0.128,0.016
"P10","Muy mala",0.179,0.098,0.322,0.194,0.138
"P10","No sabe",0.191,0.184,0.157,0.261,0.322
"P11","Muy buena",0.118,0.131,0.092,0.151,0.071
"P11","Buena",0.108,0.119,0.112,0.071,0.167
"P11","Ni buena ni mala",0.275,0.208,0.121,0.209,0.234
"P11","Mala",0.213,0.265,0.168,0.199,0.137
"P11","Muy mala",0.213,0.256,0.447,0.348,0.237
"P11","No sabe",0.073,0.021,0.06,0.022,0.154
"P12","Muy buena",0.055,0.132,0.088,0.055,0.08
"P12","Buena",0.06,0.242,0.018,0.045,0.053
"P12","Ni buena ni mala",0.295,0.262,0.393,0.329,0.327
"P12","Mala",0.156,0.033,0.114,0.085,0.028
"P12","Muy mala",0.157,0.111,0.203,0.218,0.12
"P12","No sabe",0.277,0.22,0.184,0.268,0.392
"P13","Muy buena",0.057,0.018,0.082,0.019,0.033
"P13","Buena",0.077,0.043,0.052,0.028,0.01
"P13","Ni buena ni mala",0.337,0.414,0.456,0.31,0.259
"P13","Mala",0.119,0.107,0.09,0.114,0.065
"P13","Muy mala",0.091,0.071,0.164,0.123,0.109
"P13","No sabe",0.319,0.347,0.156,0.406,0.524
"P14","Muy buena",0.039,0.061,0.084,0.021,0.014
"P14","Buena",0.063,0.025,0.04,0.028,0.031
"P14","Ni buena ni mala",0.315,0.383,0.422,0.261,0.334
"P14","Mala",0.146,0.102,0.03,0.106,0.012
"P14","Muy mala",0.047,0.051,0.208,0.171,0.119
"P14","No sabe",0.39,0.378,0.216,0.413,0.49
"P15","La seguridad",0.084,0.035,0.062,0.068,0.055
"P15","El tránsito",0.073,0.04,0.052,0.097,0.034
"P15","El arreglo de las calles",0.281,0.138,0.105,0.163,0.19
"P15","El estado de las escuelas y la educación",0.086,0.066,0.016,0.038,0.044
"P15","El sistema de salud",0.036,0.019,0.038,0.039,0.072
"P15","El deporte y la cultura",0.169,0.25,0.255,0.133,0.207
"P15","La obra pública",0.078,0.012,0.008,0.013,0.071
"P15","La luminaria",0.017,0.115,0.124,0.119,0.009
"P15","No sabe",0.176,0.325,0.34,0.33,0.318
"P16","La seguridad",0.408,0.558,0.377,0.572,0.519
"P16","El tránsito",0.044,0.019,0.01,0.09,0.012
"P16","El arreglo de las calles",0.136,0.216,0.274,0.129,0.083
"P16","El estado de las escuelas y la educación",0.06,0.084,0.017,0.08,0.114
"P16","El sistema de salud",0.11,0.021,0.107,0.083,0.122
"P16","El deporte y la cultura",0.049,0.027,0.023,0,0.049
"P16","La obra pública",0.002,0.014,0,0.006,0.03
"P16","La luminaria",0.029,0.012,0.006,0.013,0.016
"P16","No sabe",0.162,0.049,0.186,0.027,0.055
"P17","Agua corriente y cloacas",0.453,0.371,0.628,0.447,0.372
"P17","Energía eléctrica",0.091,0.079,0.109,0.136,0.076
"P17","Red de gas natural",0.146,0.121,0.114,0.187,0.178
"P17","Recolección de residuos",0.141,0.243,0.13,0.183,0.255
"P17","Ninguno",0.169,0.186,0.019,0.047,0.119
"P18","Los robos",0.613,0.583,0.453,0.709,0.591
"P18","El narcotráfico",0.103,0.182,0.332,0.073,0.053
"P18","La ausencia de patrulleros y personal policial",0.197,0.169,0.152,0.167,0.216
"P18","Otro",0.055,0.044,0.055,0.046,0.063
"P18","Ninguno",0.032,0.022,0.008,0.005,0.077
"P19","Muy buena",0.316,0.019,0.095,0.047,0.105
"P19","Buena",0.219,0.134,0.183,0.051,0.108
"P19","Ni buena ni mala",0.212,0.29,0.333,0.301,0.369
"P19","Mala",0.121,0.29,0.202,0.129,0.244
"P19","Muy mala",0.043,0.223,0.183,0.326,0.111
"P19","No sabe",0.089,0.044,0.004,0.146,0.063
"P20","Muy buena",0.267,0.01,0,0,0.02
"P20","Buena",0.219,0.117,0.234,0.053,0.088
"P20","Ni buena ni mala",0.283,0.424,0.446,0.265,0.397
"P20","Mala",0.126,0.155,0.182,0.291,0.179
"P20","Muy mala",0.05,0.223,0.138,0.32,0.26
"P20","No sabe",0.055,0.071,0,0.071,0.056
"P23","Frente de Todos y el peronismo",0.775,0.215,0.21,0.109,0.139
