"var","categoria","A Gustavo Menéndez","A Karina Menéndez","A Florencia Lizaraso","A Raúl Otahacé","No sabe"
"P07","Muy buena",0.42,0.44,0.022,0.071,0
"P07","Buena",0.248,0.253,0.056,0.022,0.068
"P07","Ni buena ni mala",0.155,0.122,0.406,0.125,0.524
"P07","Mala",0.128,0.177,0.14,0.633,0.082
"P07","Muy mala",0.024,0.008,0.376,0.078,0.11
"P07","No sabe",0.025,0,0,0.071,0.216
"P08","Muy buena",0.153,0,0,0.253,0
"P08","Buena",0.089,0.009,0.018,0.05,0.043
"P08","Ni buena ni mala",0.267,0.313,0.122,0.149,0.359
"P08","Mala",0.244,0.08,0.187,0.326,0.161
"P08","Muy mala",0.196,0.307,0.495,0.109,0.122
"P08","No sabe",0.051,0.291,0.178,0.113,0.315
"P09","Muy buena",0.285,0.541,0.022,0.079,0.017
"P09","Buena",0.165,0.201,0.038,0.063,0
"P09","Ni buena ni mala",0.26,0.1,0.774,0.193,0.536
"P09","Mala",0.019,0.149,0.166,0.271,0.298
"P09","Muy mala",0.234,0.009,0,0.323,0.11
"P09","No sabe",0.037,0,0,0.071,0.039
"P10","Muy buena",0.147,0.017,0,0.008,0
"P10","Buena",0.056,0.018,0,0,0
"P10","Ni buena ni mala",0.295,0.362,0.056,0.181,0.622
"P10","Mala",0.105,0.132,0.428,0.386,0.02
"P10","Muy mala",0.312,0.14,0.513,0.068,0.241
"P10","No sabe",0.085,0.331,0.003,0.357,0.117
"P11","Muy buena",0.173,0.017,0,0.461,0
"P11","Buena",0.069,0.065,0.019,0.144,0.047
"P11","Ni buena ni mala",0.175,0.091,0.209,0.324,0.527
"P11","Mala",0.223,0.276,0.231,0,0.161
"P11","Muy mala",0.354,0.243,0.538,0,0.226
"P11","No sabe",0.006,0.308,0.003,0.071,0.039
"P12","Muy buena",0.147,0,0,0.012,0
"P12","Buena",0.013,0.075,0,0,0.238
"P12","Ni buena ni mala",0.307,0.207,0.04,0.257,0.429
"P12","Mala",0.087,0.121,0.183,0.331,0.006
"P12","Muy mala",0.289,0.25,0.532,0.043,0.087
"P12","No sabe",0.157,0.347,0.245,0.357,0.24
"P13","Muy buena",0.11,0.046,0.59,0,0
"P13","Buena",0.024,0.044,0.194,0.078,0.216
"P13","Ni buena ni mala",0.296,0.418,0.04,0.249,0.445
"P13","Mala",0.061,0.069,0.003,0.253,0.109
"P13","Muy mala",0.183,0.076,0,0.012,0.088
"P13","No sabe",0.326,0.347,0.173,0.408,0.142
"P14","Muy buena",0.107,0.028,0,0,0
"P14","Buena",0.06,0.009,0.037,0,0.216
"P14","Ni buena ni mala",0.265,0.464,0.454,0.266,0.317
"P14","Mala",0.174,0.032,0.088,0.315,0
"P14","Muy mala",0.054,0.061,0,0,0.087
"P14","No sabe",0.34,0.406,0.421,0.419,0.38
"P15","La seguridad",0.157,0.008,0.025,0,0
"P15","El tránsito",0.047,0.024,0,0.245,0.216
"P15","El arreglo de las calles",0.231,0.16,0.854,0.166,0.109
"P15","El estado de las escuelas y la educación",0.127,0.134,0,0.015,0.318
"P15","El sistema de salud",0.011,0.019,0.018,0.078,0.022
"P15","El deporte y la cultura",0.114,0.546,0.037,0.069,0.134
"P15","La obra pública",0.11,0.048,0.022,0.055,0
"P15","La luminaria",0.019,0.018,0.003,0.028,0.023
"P15","No sabe",0.184,0.043,0.041,0.344,0.178
"P16","La seguridad",0.461,0.223,0.405,0.571,0.524
"P16","El tránsito",0.017,0.14,0.022,0,0
"P16","El arreglo de las calles",0.063,0.093,0,0.033,0.368
