"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.195,0.187,0.202,0.136,0.186,0.234,0.249,0.221,0.146,0.235,0.203,0.204,0.449,0.012,0.466,0.07,0.222,0.168,6
"Buena",0.127,0.145,0.107,0.123,0.133,0.119,0.127,0.17,0.118,0.1,0.132,0.112,0.161,0.139,0.195,0.095,0.099,0.153,6
"Ni buena ni mala",0.105,0.086,0.126,0.083,0.101,0.135,0.103,0.132,0.125,0.056,0.119,0.045,0.079,0.103,0.106,0.083,0.115,0.097,6
"Mala",0.261,0.262,0.261,0.325,0.264,0.219,0.224,0.25,0.277,0.251,0.288,0.263,0.204,0.152,0.143,0.258,0.251,0.271,6
"Muy mala",0.307,0.313,0.301,0.333,0.309,0.29,0.29,0.215,0.332,0.356,0.25,0.376,0.107,0.589,0.09,0.49,0.304,0.31,6
"No sabe",0.005,0.007,0.003,0,0.007,0.003,0.007,0.012,0.002,0.002,0.008,0,0,0.005,0,0.004,0.009,0.001,6
"Positiva",0.322,0.332,0.309,0.259,0.319,0.353,0.376,0.391,0.264,0.335,0.335,0.316,0.61,0.151,0.661,0.165,0.321,0.321,4
"Neutra",0.105,0.086,0.126,0.083,0.101,0.135,0.103,0.132,0.125,0.056,0.119,0.045,0.079,0.103,0.106,0.083,0.115,0.097,4
"Negativa",0.568,0.575,0.562,0.658,0.573,0.509,0.514,0.465,0.609,0.607,0.538,0.639,0.311,0.741,0.233,0.748,0.555,0.581,4
"No sabe",0.005,0.007,0.003,0,0.007,0.003,0.007,0.012,0.002,0.002,0.008,0,0,0.005,0,0.004,0.009,0.001,4
