"var","categoria","Es un logro muy importante del Gobierno provincial","Está bien, pero es insuficiente para resolver la situación de emergencia","No alcanza para nada y son negocios del gobierno Provincial","No alcanza para nada porque el gobierno gestionó mal la compra","No sabe"
"P08","Siempre",0.276,0.204,0.21,0.045,0.118
"P08","Casi siempre",0.292,0.408,0.275,0.303,0.355
"P08","Casi nunca",0.291,0.294,0.323,0.42,0.311
"P08","Nunca, pero esta es una excepción",0.141,0.094,0.192,0.232,0.216
"P09","Muy buena",0.287,0.123,0.017,0.127,0.079
"P09","Buena",0.312,0.318,0.079,0.052,0.208
"P09","Ni buena ni mala",0.31,0.373,0.366,0.263,0.56
"P09","Mala",0.052,0.132,0.364,0.119,0.092
"P09","Muy mala",0.03,0.043,0.137,0.295,0.019
"P09","No sabe",0.009,0.011,0.037,0.144,0.042
"P10","Muy buena",0.447,0.142,0.033,0.082,0.085
"P10","Buena",0.277,0.388,0.088,0.06,0.413
"P10","Ni buena ni mala",0.228,0.333,0.366,0.171,0.387
"P10","Mala",0.024,0.082,0.31,0.302,0.038
"P10","Muy mala",0.019,0.037,0.186,0.282,0.025
"P10","No sabe",0.005,0.018,0.017,0.103,0.052
"P13","Si",0.585,0.614,0.682,0.699,0.577
"P13","No",0.207,0.155,0.118,0.188,0.1
"P13","No sabe",0.208,0.231,0.2,0.113,0.323
"P14","Si",0.621,0.675,0.734,0.659,0.631
"P14","No",0.176,0.157,0.11,0.097,0.175
"P14","No sabe",0.203,0.168,0.156,0.244,0.194
"P15","Si",0.683,0.724,0.823,0.825,0.76
"P15","No",0.181,0.169,0.052,0.078,0.074
"P15","No sabe",0.136,0.107,0.125,0.097,0.166
"P16","Si",0.662,0.514,0.5,0.371,0.448
"P16","No",0.259,0.364,0.39,0.442,0.283
"P16","No sabe",0.079,0.122,0.11,0.187,0.269
"P17","El gobierno nacional",0.28,0.198,0.165,0.12,0.077
"P17","El gobierno provincial anterior del MPN",0.49,0.55,0.374,0.544,0.343
"P17","El actual gobierno provincial de Rolo Figueroa",0.025,0.084,0.216,0.049,0.131
"P17","Todos igual",0.134,0.14,0.179,0.244,0.151
"P17","No sabe",0.071,0.028,0.066,0.043,0.298
"P19","Si",0.786,0.551,0.151,0.223,0.533
"P19","No",0.124,0.157,0.563,0.52,0.052
"P19","No sabe",0.09,0.292,0.286,0.257,0.415
"P20","Si",0.641,0.412,0.089,0.172,0.289
"P20","No",0.203,0.203,0.635,0.608,0.127
"P20","No sabe",0.156,0.385,0.276,0.22,0.584
"P23","Buena",0.356,0.214,0.13,0.234,0.197
"P23","Regular",0.421,0.502,0.295,0.354,0.405
"P23","Mala",0.191,0.251,0.485,0.376,0.337
"P23","No sabe",0.032,0.033,0.09,0.036,0.061
"P24","Buena",0.291,0.162,0.147,0.219,0.22
"P24","Regular",0.444,0.583,0.349,0.365,0.454
"P24","Mala",0.208,0.211,0.432,0.37,0.225
"P24","No sabe",0.057,0.044,0.072,0.046,0.101
"P25","Buena",0.273,0.183,0.126,0.221,0.203
"P25","Regular",0.382,0.42,0.29,0.523,0.344
"P25","Mala",0.201,0.226,0.451,0.086,0.129
"P25","No sabe",0.144,0.171,0.133,0.17,0.324
"P26","La capacitación para atender a la gente",0.367,0.174,0.137,0.074,0.08
"P26","La infraestructura y equipamiento de la fuerza",0.11,0.22,0.13,0.193,0.196
"P26","La formación técnica y profesional",0.263,0.336,0.307,0.297,0.243
"P26","La cantidad y distribución de los efectivos",0.093,0.103,0.239,0.248,0.035
"P26","La velocidad de respuesta ante las denuncias",0.083,0.089,0.065,0.129,0.189
"P26","Otros",0.059,0.05,0.102,0.059,0.142
"P26","No sabe",0.025,0.028,0.02,0,0.115
"P27","Alto",0.221,0.165,0.132,0.153,0.24
"P27","Regular",0.473,0.531,0.339,0.469,0.335
"P27","Bajo",0.253,0.279,0.484,0.34,0.36
"P27","No sabe",0.053,0.025,0.045,0.038,0.065
"P28","El gobierno de Javier Milei",0.357,0.265,0.201,0.099,0.219
"P28","El gobierno de Alberto Fernández",0.529,0.566,0.574,0.789,0.527
"P28","Ambos",0.092,0.153,0.208,0.112,0.1
"P28","No sabe",0.022,0.016,0.017,0,0.154
"P29","Dividirla en partes y transformarlas en varios decretos de necesidad y urgencia",0.254,0.155,0.118,0.136,0.108
"P29","Dividirlas en diferentes leyes que se puedan ir votando paulatinamente",0.307,0.391,0.3,0.235,0.181
"P29","Realizar un plebiscito sobre la necesidad del tratamiento de la ley ómnibus",0.127,0.153,0.224,0.226,0.164
"P29","Retirarla y no presentar nada",0.235,0.234,0.216,0.13,0.274
"P29","Volverla a presentar igual",0.048,0.032,0.078,0.186,0.192
"P29","No sabe",0.029,0.035,0.064,0.087,0.081
"P30","Javier Milei",0.463,0.427,0.601,0.703,0.506
"P30","Los gobernadores",0.389,0.497,0.317,0.204,0.366
"P30","No sabe",0.148,0.076,0.082,0.093,0.128
"P31","Muy buena",0.407,0.196,0.073,0.18,0.103
"P31","Buena",0.389,0.343,0.075,0.048,0.33
"P31","Ni buena ni mala",0.18,0.37,0.353,0.264,0.471
"P31","Mala",0.02,0.055,0.382,0.405,0.069
"P31","Muy mala",0.004,0.022,0.105,0.103,0.01
"P31","No sabe",0,0.014,0.012,0,0.017
"P32","Muy buena",0.237,0.098,0.039,0.027,0.071
"P32","Buena",0.225,0.209,0.082,0.073,0.243
"P32","Ni buena ni mala",0.281,0.415,0.251,0.285,0.335
"P32","Mala",0.175,0.187,0.38,0.211,0.249
"P32","Muy mala",0.028,0.059,0.21,0.236,0.05
"P32","No sabe",0.054,0.032,0.038,0.168,0.052
"P33","Muy buena",0.138,0.072,0.039,0.022,0.105
"P33","Buena",0.191,0.109,0.073,0.075,0.233
"P33","Ni buena ni mala",0.26,0.288,0.186,0.267,0.273
"P33","Mala",0.243,0.363,0.391,0.333,0.28
"P33","Muy mala",0.113,0.137,0.311,0.155,0.103
"P33","No sabe",0.055,0.031,0,0.148,0.006
"P34","Muy buena",0.128,0.05,0.028,0.105,0.106
"P34","Buena",0.222,0.143,0.086,0.094,0.151
"P34","Ni buena ni mala",0.371,0.496,0.287,0.19,0.47
"P34","Mala",0.156,0.189,0.329,0.34,0.161
"P34","Muy mala",0.086,0.067,0.197,0.116,0.039
"P34","No sabe",0.037,0.055,0.073,0.155,0.073
"P35","Muy buena",0.249,0.133,0.138,0.06,0.072
"P35","Buena",0.161,0.186,0.09,0.184,0.186
"P35","Ni buena ni mala",0.322,0.342,0.175,0.132,0.274
"P35","Mala",0.185,0.218,0.303,0.235,0.265
"P35","Muy mala",0.065,0.098,0.251,0.149,0.108
"P35","No sabe",0.018,0.023,0.043,0.24,0.095
"P36","Muy buena",0.283,0.177,0.151,0.058,0.149
"P36","Buena",0.115,0.15,0.065,0.047,0.162
"P36","Ni buena ni mala",0.1,0.131,0.053,0.042,0.078
"P36","Mala",0.244,0.244,0.308,0.25,0.363
"P36","Muy mala",0.256,0.296,0.423,0.488,0.248
"P36","No sabe",0.002,0.002,0,0.115,0
"P37","Muy buena",0.134,0.119,0.167,0.206,0.087
"P37","Buena",0.152,0.173,0.171,0.087,0.185
"P37","Ni buena ni mala",0.257,0.207,0.189,0.219,0.334
"P37","Mala",0.242,0.289,0.239,0.251,0.176
"P37","Muy mala",0.214,0.21,0.234,0.122,0.218
"P37","No sabe",0.001,0.002,0,0.115,0
"P38","Muy buena",0.174,0.076,0.05,0.028,0.068
"P38","Buena",0.186,0.177,0.086,0.048,0.276
"P38","Ni buena ni mala",0.187,0.214,0.148,0.074,0.112
"P38","Mala",0.258,0.261,0.271,0.144,0.296
"P38","Muy mala",0.187,0.265,0.445,0.589,0.248
"P38","No sabe",0.008,0.007,0,0.117,0
