"var","categoria","Buena","Regular","Mala","No sabe"
"P08","Siempre",0.244,0.212,0.224,0.141
"P08","Casi siempre",0.371,0.407,0.346,0.306
"P08","Casi nunca",0.261,0.237,0.306,0.396
"P08","Nunca, pero esta es una excepción",0.124,0.144,0.124,0.157
"P09","Muy buena",0.275,0.144,0.091,0.074
"P09","Buena",0.272,0.316,0.195,0.278
"P09","Ni buena ni mala",0.317,0.364,0.383,0.403
"P09","Mala",0.093,0.133,0.229,0.158
"P09","Muy mala",0.035,0.037,0.085,0.065
"P09","No sabe",0.008,0.006,0.017,0.022
"P10","Muy buena",0.355,0.205,0.118,0.128
"P10","Buena",0.321,0.336,0.284,0.339
"P10","Ni buena ni mala",0.212,0.31,0.271,0.378
"P10","Mala",0.078,0.114,0.178,0.048
"P10","Muy mala",0.012,0.02,0.132,0.07
"P10","No sabe",0.022,0.015,0.017,0.037
"P13","Si",0.635,0.589,0.733,0.608
"P13","No",0.18,0.161,0.164,0.086
"P13","No sabe",0.185,0.25,0.103,0.306
"P14","Si",0.687,0.705,0.729,0.614
"P14","No",0.151,0.134,0.158,0.083
"P14","No sabe",0.162,0.161,0.113,0.303
"P15","Si",0.725,0.698,0.747,0.833
"P15","No",0.103,0.211,0.124,0.083
"P15","No sabe",0.172,0.091,0.129,0.084
"P16","Si",0.48,0.599,0.633,0.463
"P16","No",0.366,0.308,0.286,0.373
"P16","No sabe",0.154,0.093,0.081,0.164
"P17","El gobierno nacional",0.233,0.233,0.149,0.157
"P17","El gobierno provincial anterior del MPN",0.533,0.524,0.459,0.449
"P17","El actual gobierno provincial de Rolo Figueroa",0.058,0.068,0.171,0.089
"P17","Todos igual",0.123,0.125,0.178,0.19
"P17","No sabe",0.053,0.05,0.043,0.115
"P18","Es un logro muy importante del Gobierno provincial",0.346,0.249,0.209,0.217
"P18","Está bien, pero es insuficiente para resolver la situación de emergencia",0.462,0.544,0.466,0.51
"P18","No alcanza para nada y son negocios del gobierno Provincial",0.095,0.113,0.28,0.119
"P18","No alcanza para nada porque el gobierno gestionó mal la compra",0.03,0.036,0.01,0.027
"P18","No sabe",0.067,0.058,0.035,0.127
"P19","Si",0.718,0.578,0.444,0.453
"P19","No",0.169,0.163,0.323,0.178
"P19","No sabe",0.113,0.259,0.233,0.369
"P20","Si",0.576,0.404,0.329,0.337
"P20","No",0.25,0.229,0.407,0.221
"P20","No sabe",0.174,0.367,0.264,0.442
"P23","Buena",0.511,0.191,0.077,0.251
"P23","Regular",0.368,0.533,0.331,0.477
"P23","Mala",0.109,0.242,0.577,0.154
"P23","No sabe",0.012,0.034,0.015,0.118
"P24","Buena",0.575,0.095,0.037,0.214
"P24","Regular",0.339,0.7,0.343,0.487
"P24","Mala",0.057,0.172,0.61,0.124
"P24","No sabe",0.029,0.033,0.01,0.175
"P26","La capacitación para atender a la gente",0.25,0.246,0.175,0.116
"P26","La infraestructura y equipamiento de la fuerza",0.318,0.198,0.064,0.115
"P26","La formación técnica y profesional",0.196,0.244,0.475,0.339
"P26","La cantidad y distribución de los efectivos",0.098,0.116,0.131,0.147
"P26","La velocidad de respuesta ante las denuncias",0.041,0.118,0.084,0.101
"P26","Otros",0.069,0.06,0.067,0.079
"P26","No sabe",0.028,0.018,0.004,0.103
"P27","Alto",0.513,0.112,0.033,0.143
"P27","Regular",0.394,0.616,0.316,0.46
"P27","Bajo",0.07,0.253,0.644,0.251
"P27","No sabe",0.023,0.019,0.007,0.146
"P28","El gobierno de Javier Milei",0.323,0.26,0.272,0.237
"P28","El gobierno de Alberto Fernández",0.509,0.616,0.521,0.552
"P28","Ambos",0.112,0.114,0.206,0.148
"P28","No sabe",0.056,0.01,0.001,0.063
"P29","Dividirla en partes y transformarlas en varios decretos de necesidad y urgencia",0.23,0.174,0.09,0.201
"P29","Dividirlas en diferentes leyes que se puedan ir votando paulatinamente",0.305,0.364,0.372,0.275
"P29","Realizar un plebiscito sobre la necesidad del tratamiento de la ley ómnibus",0.168,0.185,0.106,0.167
"P29","Retirarla y no presentar nada",0.231,0.208,0.282,0.215
"P29","Volverla a presentar igual",0.025,0.039,0.105,0.074
"P29","No sabe",0.041,0.03,0.045,0.068
"P30","Javier Milei",0.501,0.479,0.428,0.493
"P30","Los gobernadores",0.44,0.437,0.447,0.364
"P30","No sabe",0.059,0.084,0.125,0.143
"P31","Muy buena",0.361,0.234,0.158,0.118
"P31","Buena",0.389,0.288,0.257,0.309
"P31","Ni buena ni mala",0.167,0.335,0.363,0.438
"P31","Mala",0.063,0.113,0.161,0.067
"P31","Muy mala",0.019,0.023,0.059,0.026
"P31","No sabe",0.001,0.007,0.002,0.042
"P32","Muy buena",0.182,0.099,0.134,0.067
"P32","Buena",0.244,0.21,0.151,0.141
"P32","Ni buena ni mala",0.362,0.353,0.334,0.349
"P32","Mala",0.104,0.247,0.257,0.235
"P32","Muy mala",0.059,0.064,0.11,0.091
"P32","No sabe",0.049,0.027,0.014,0.117
"P33","Muy buena",0.165,0.041,0.105,0.053
"P33","Buena",0.195,0.146,0.071,0.094
"P33","Ni buena ni mala",0.259,0.277,0.224,0.297
"P33","Mala",0.247,0.342,0.389,0.336
"P33","Muy mala",0.1,0.17,0.211,0.117
"P33","No sabe",0.034,0.024,0,0.103
"P34","Muy buena",0.182,0.044,0.052,0.022
"P34","Buena",0.219,0.168,0.116,0.085
"P34","Ni buena ni mala",0.398,0.424,0.398,0.492
"P34","Mala",0.117,0.24,0.243,0.174
"P34","Muy mala",0.045,0.085,0.164,0.062
"P34","No sabe",0.039,0.039,0.027,0.165
"P35","Muy buena",0.267,0.132,0.113,0.136
"P35","Buena",0.217,0.169,0.133,0.139
"P35","Ni buena ni mala",0.225,0.355,0.271,0.315
"P35","Mala",0.171,0.237,0.264,0.216
"P35","Muy mala",0.077,0.081,0.205,0.115
"P35","No sabe",0.043,0.026,0.014,0.079
"P36","Muy buena",0.225,0.202,0.159,0.189
"P36","Buena",0.117,0.12,0.134,0.145
"P36","Ni buena ni mala",0.128,0.098,0.088,0.119
"P36","Mala",0.211,0.273,0.314,0.225
"P36","Muy mala",0.298,0.307,0.305,0.319
"P36","No sabe",0.021,0,0,0.003
"P37","Muy buena",0.228,0.115,0.079,0.111
"P37","Buena",0.252,0.168,0.102,0.141
"P37","Ni buena ni mala",0.11,0.266,0.235,0.263
"P37","Mala",0.188,0.258,0.336,0.259
"P37","Muy mala",0.202,0.193,0.248,0.224
"P37","No sabe",0.02,0,0,0.002
"P38","Muy buena",0.129,0.096,0.062,0.092
"P38","Buena",0.252,0.159,0.137,0.129
"P38","Ni buena ni mala",0.174,0.219,0.147,0.188
"P38","Mala",0.123,0.252,0.364,0.311
"P38","Muy mala",0.282,0.274,0.29,0.28
"P38","No sabe",0.04,0,0,0
"P39","Muy buena",0.404,0.351,0.347,0.387
"P39","Buena",0.156,0.187,0.097,0.104
"P39","Ni buena ni mala",0.112,0.117,0.127,0.137
"P39","Mala",0.122,0.186,0.207,0.134
"P39","Muy mala",0.171,0.159,0.217,0.237
"P39","No sabe",0.035,0,0.005,0.001
"P40","Muy buena",0.351,0.236,0.226,0.405
"P40","Buena",0.208,0.242,0.21,0.118
"P40","Ni buena ni mala",0.122,0.149,0.139,0.087
"P40","Mala",0.135,0.184,0.167,0.168
"P40","Muy mala",0.178,0.189,0.258,0.222
"P40","No sabe",0.006,0,0,0
"P41","Muy buena",0.197,0.157,0.169,0.195
"P41","Buena",0.233,0.114,0.181,0.133
"P41","Ni buena ni mala",0.262,0.358,0.246,0.217
"P41","Mala",0.121,0.183,0.192,0.162
"P41","Muy mala",0.157,0.151,0.208,0.192
"P41","No sabe",0.03,0.037,0.004,0.101
"P42","Muy buena",0.398,0.371,0.314,0.318
"P42","Buena",0.166,0.156,0.119,0.106
"P42","Ni buena ni mala",0.168,0.149,0.199,0.164
"P42","Mala",0.079,0.144,0.098,0.11
"P42","Muy mala",0.172,0.175,0.27,0.185
"P42","No sabe",0.017,0.005,0,0.117
"P43","Muy buena",0.175,0.077,0.038,0.13
"P43","Buena",0.158,0.204,0.194,0.153
"P43","Ni buena ni mala",0.401,0.447,0.37,0.385
"P43","Mala",0.116,0.187,0.202,0.151
"P43","Muy mala",0.106,0.074,0.167,0.067
"P43","No sabe",0.044,0.011,0.029,0.114
"P44","Muy buena",0.221,0.142,0.122,0.11
"P44","Buena",0.225,0.181,0.175,0.175
"P44","Ni buena ni mala",0.224,0.308,0.194,0.263
"P44","Mala",0.092,0.155,0.229,0.108
"P44","Muy mala",0.207,0.198,0.28,0.265
"P44","No sabe",0.031,0.016,0,0.079
"P45","Muy buena",0.244,0.113,0.073,0.114
"P45","Buena",0.094,0.135,0.128,0.167
"P45","Ni buena ni mala",0.349,0.36,0.376,0.25
"P45","Mala",0.127,0.212,0.154,0.137
"P45","Muy mala",0.13,0.122,0.21,0.126
"P45","No sabe",0.056,0.058,0.059,0.206
