"var","categoria","Buena","Regular","Mala","No sabe"
"P08","Siempre",0.279,0.175,0.22,0.32
"P08","Casi siempre",0.337,0.432,0.301,0.245
"P08","Casi nunca",0.286,0.27,0.319,0.216
"P08","Nunca, pero esta es una excepción",0.098,0.123,0.16,0.219
"P09","Muy buena",0.203,0.14,0.127,0.069
"P09","Buena",0.368,0.283,0.188,0.136
"P09","Ni buena ni mala",0.29,0.388,0.355,0.523
"P09","Mala",0.104,0.137,0.213,0.095
"P09","Muy mala",0.031,0.048,0.092,0.038
"P09","No sabe",0.004,0.004,0.025,0.139
"P10","Muy buena",0.304,0.187,0.151,0.149
"P10","Buena",0.341,0.375,0.232,0.147
"P10","Ni buena ni mala",0.253,0.282,0.314,0.523
"P10","Mala",0.059,0.105,0.155,0.139
"P10","Muy mala",0.035,0.035,0.111,0.022
"P10","No sabe",0.008,0.016,0.037,0.02
"P13","Si",0.582,0.625,0.71,0.355
"P13","No",0.162,0.166,0.132,0.117
"P13","No sabe",0.256,0.209,0.158,0.528
"P14","Si",0.779,0.602,0.759,0.292
"P14","No",0.077,0.203,0.118,0.125
"P14","No sabe",0.144,0.195,0.123,0.583
"P15","Si",0.743,0.757,0.729,0.575
"P15","No",0.108,0.169,0.154,0.053
"P15","No sabe",0.149,0.074,0.117,0.372
"P16","Si",0.552,0.556,0.563,0.412
"P16","No",0.333,0.336,0.337,0.327
"P16","No sabe",0.115,0.108,0.1,0.261
"P17","El gobierno nacional",0.274,0.181,0.168,0.153
"P17","El gobierno provincial anterior del MPN",0.451,0.565,0.476,0.243
"P17","El actual gobierno provincial de Rolo Figueroa",0.039,0.087,0.149,0.111
"P17","Todos igual",0.153,0.133,0.141,0.309
"P17","No sabe",0.083,0.034,0.066,0.184
"P18","Es un logro muy importante del Gobierno provincial",0.374,0.237,0.169,0.184
"P18","Está bien, pero es insuficiente para resolver la situación de emergencia",0.462,0.581,0.457,0.389
"P18","No alcanza para nada y son negocios del gobierno Provincial",0.083,0.101,0.26,0.314
"P18","No alcanza para nada porque el gobierno gestionó mal la compra",0.027,0.022,0.037,0.023
"P18","No sabe",0.054,0.059,0.077,0.09
"P19","Si",0.639,0.59,0.431,0.353
"P19","No",0.18,0.182,0.287,0.111
"P19","No sabe",0.181,0.228,0.282,0.536
"P20","Si",0.474,0.474,0.273,0.2
"P20","No",0.218,0.253,0.37,0.19
"P20","No sabe",0.308,0.273,0.357,0.61
"P24","Buena",0.563,0.112,0.041,0.038
"P24","Regular",0.351,0.709,0.336,0.215
