"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.131,0.158,0.101,0.094,0.136,0.13,0.177,0.185,0.112,0.108,0.125,0.106,0.065,0.267,0.074,0.165,0.151,0.111,6
"Buena",0.13,0.142,0.117,0.09,0.106,0.167,0.216,0.121,0.117,0.155,0.094,0.288,0.024,0.265,0.042,0.245,0.133,0.127,6
"Ni buena ni mala",0.344,0.319,0.371,0.398,0.347,0.327,0.272,0.344,0.381,0.295,0.399,0.256,0.319,0.34,0.27,0.376,0.337,0.351,6
"Mala",0.168,0.165,0.172,0.243,0.158,0.145,0.122,0.198,0.147,0.17,0.179,0.129,0.237,0.078,0.295,0.083,0.196,0.142,6
"Muy mala",0.145,0.145,0.145,0.114,0.178,0.132,0.101,0.078,0.122,0.233,0.118,0.172,0.242,0.023,0.254,0.056,0.119,0.17,6
"No sabe",0.082,0.071,0.094,0.061,0.075,0.099,0.112,0.074,0.121,0.039,0.085,0.049,0.113,0.027,0.065,0.075,0.064,0.099,6
"Positiva",0.261,0.3,0.218,0.184,0.242,0.297,0.393,0.306,0.229,0.263,0.219,0.394,0.089,0.532,0.116,0.41,0.284,0.238,4
"Neutra",0.344,0.319,0.371,0.398,0.347,0.327,0.272,0.344,0.381,0.295,0.399,0.256,0.319,0.34,0.27,0.376,0.337,0.351,4
"Negativa",0.313,0.31,0.317,0.357,0.336,0.277,0.223,0.276,0.269,0.403,0.297,0.301,0.479,0.101,0.549,0.139,0.315,0.312,4
"No sabe",0.082,0.071,0.094,0.061,0.075,0.099,0.112,0.074,0.121,0.039,0.085,0.049,0.113,0.027,0.065,0.075,0.064,0.099,4
