"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.084,0.116,0.048,0.141,0.069,0.06,0.087,0.116,0.097,0.037,0.094,0.076,0.113,0,0.105,0.051,0.087,0.08,6
"Buena",0.13,0.105,0.157,0.161,0.087,0.161,0.177,0.169,0.131,0.094,0.13,0.245,0.143,0.1,0.203,0.109,0.149,0.113,6
"Ni buena ni mala",0.264,0.232,0.3,0.277,0.255,0.258,0.287,0.251,0.269,0.27,0.262,0.31,0.285,0.172,0.291,0.211,0.257,0.271,6
"Mala",0.332,0.347,0.316,0.243,0.362,0.362,0.317,0.312,0.329,0.355,0.336,0.22,0.368,0.311,0.269,0.396,0.311,0.352,6
"Muy mala",0.156,0.171,0.14,0.14,0.188,0.134,0.106,0.087,0.147,0.229,0.153,0.135,0.07,0.272,0.123,0.209,0.171,0.142,6
"No sabe",0.034,0.029,0.039,0.038,0.039,0.025,0.026,0.065,0.027,0.015,0.025,0.014,0.021,0.145,0.009,0.024,0.025,0.042,6
"Positiva",0.214,0.221,0.205,0.302,0.156,0.221,0.264,0.285,0.228,0.131,0.224,0.321,0.256,0.1,0.308,0.16,0.236,0.193,4
"Neutra",0.264,0.232,0.3,0.277,0.255,0.258,0.287,0.251,0.269,0.27,0.262,0.31,0.285,0.172,0.291,0.211,0.257,0.271,4
"Negativa",0.488,0.518,0.456,0.383,0.55,0.496,0.423,0.399,0.476,0.584,0.489,0.355,0.438,0.583,0.392,0.605,0.482,0.494,4
"No sabe",0.034,0.029,0.039,0.038,0.039,0.025,0.026,0.065,0.027,0.015,0.025,0.014,0.021,0.145,0.009,0.024,0.025,0.042,4
