"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.355,0.37,0.337,0.367,0.319,0.388,0.398,0.322,0.378,0.352,0.311,0.408,0.235,0.555,0.132,0.456,0.373,0.337,6
"Buena",0.141,0.164,0.116,0.168,0.146,0.098,0.165,0.165,0.142,0.121,0.178,0.114,0.055,0.231,0.097,0.21,0.137,0.146,6
"Ni buena ni mala",0.168,0.132,0.206,0.164,0.172,0.178,0.134,0.228,0.196,0.08,0.192,0.193,0.092,0.122,0.148,0.176,0.157,0.177,6
"Mala",0.114,0.119,0.109,0.151,0.102,0.119,0.087,0.097,0.119,0.122,0.129,0.051,0.174,0.071,0.198,0.061,0.128,0.1,6
"Muy mala",0.198,0.191,0.207,0.15,0.239,0.189,0.151,0.135,0.146,0.319,0.17,0.22,0.375,0.021,0.398,0.061,0.191,0.206,6
"No sabe",0.024,0.024,0.025,0,0.022,0.028,0.065,0.053,0.019,0.006,0.02,0.014,0.069,0,0.027,0.036,0.014,0.034,6
"Positiva",0.496,0.534,0.453,0.535,0.465,0.486,0.563,0.487,0.52,0.473,0.489,0.522,0.29,0.786,0.229,0.666,0.51,0.483,4
"Neutra",0.168,0.132,0.206,0.164,0.172,0.178,0.134,0.228,0.196,0.08,0.192,0.193,0.092,0.122,0.148,0.176,0.157,0.177,4
"Negativa",0.312,0.31,0.316,0.301,0.341,0.308,0.238,0.232,0.265,0.441,0.299,0.271,0.549,0.092,0.596,0.122,0.319,0.306,4
"No sabe",0.024,0.024,0.025,0,0.022,0.028,0.065,0.053,0.019,0.006,0.02,0.014,0.069,0,0.027,0.036,0.014,0.034,4
