"var","categoria","Javier Milei","Los gobernadores","No sabe"
"P08","Siempre",0.189,0.253,0.156
"P08","Casi siempre",0.382,0.385,0.28
"P08","Casi nunca",0.319,0.23,0.253
"P08","Nunca, pero esta es una excepción",0.11,0.132,0.311
"P09","Muy buena",0.124,0.179,0.12
"P09","Buena",0.258,0.288,0.301
"P09","Ni buena ni mala",0.353,0.362,0.358
"P09","Mala",0.183,0.128,0.138
"P09","Muy mala",0.08,0.032,0.055
"P09","No sabe",0.002,0.011,0.028
"P10","Muy buena",0.172,0.237,0.215
"P10","Buena",0.285,0.362,0.316
"P10","Ni buena ni mala",0.288,0.287,0.349
"P10","Mala",0.158,0.061,0.06
"P10","Muy mala",0.086,0.033,0.03
"P10","No sabe",0.011,0.02,0.03
"P13","Si",0.802,0.467,0.579
"P13","No",0.043,0.287,0.178
"P13","No sabe",0.155,0.246,0.243
"P14","Si",0.902,0.478,0.617
"P14","No",0.02,0.275,0.141
"P14","No sabe",0.078,0.247,0.242
"P15","Si",0.92,0.587,0.618
"P15","No",0.019,0.255,0.261
"P15","No sabe",0.061,0.158,0.121
"P16","Si",0.574,0.554,0.585
"P16","No",0.323,0.324,0.328
"P16","No sabe",0.103,0.122,0.087
"P17","El gobierno nacional",0.11,0.326,0.141
"P17","El gobierno provincial anterior del MPN",0.589,0.401,0.434
"P17","El actual gobierno provincial de Rolo Figueroa",0.111,0.088,0.053
"P17","Todos igual",0.151,0.143,0.22
"P17","No sabe",0.039,0.042,0.152
"P18","Es un logro muy importante del Gobierno provincial",0.239,0.223,0.369
"P18","Está bien, pero es insuficiente para resolver la situación de emergencia",0.461,0.597,0.396
"P18","No alcanza para nada y son negocios del gobierno Provincial",0.189,0.111,0.124
"P18","No alcanza para nada porque el gobierno gestionó mal la compra",0.041,0.013,0.026
"P18","No sabe",0.07,0.056,0.085
"P19","Si",0.469,0.634,0.557
"P19","No",0.268,0.155,0.148
"P19","No sabe",0.263,0.211,0.295
"P20","Si",0.346,0.476,0.469
"P20","No",0.367,0.19,0.163
"P20","No sabe",0.287,0.334,0.368
"P23","Buena",0.244,0.237,0.196
"P23","Regular",0.427,0.459,0.447
"P23","Mala",0.307,0.247,0.309
"P23","No sabe",0.022,0.057,0.048
"P24","Buena",0.252,0.15,0.15
"P24","Regular",0.48,0.566,0.416
"P24","Mala",0.241,0.215,0.354
"P24","No sabe",0.027,0.069,0.08
"P25","Buena",0.22,0.214,0.125
"P25","Regular",0.39,0.395,0.329
"P25","Mala",0.213,0.246,0.298
"P25","No sabe",0.177,0.145,0.248
"P26","La capacitación para atender a la gente",0.181,0.233,0.15
"P26","La infraestructura y equipamiento de la fuerza",0.209,0.165,0.124
"P26","La formación técnica y profesional",0.305,0.318,0.315
"P26","La cantidad y distribución de los efectivos",0.114,0.117,0.172
"P26","La velocidad de respuesta ante las denuncias",0.098,0.081,0.102
"P26","Otros",0.07,0.057,0.089
"P26","No sabe",0.023,0.029,0.048
"P27","Alto",0.221,0.153,0.1
"P27","Regular",0.487,0.439,0.495
"P27","Bajo",0.274,0.352,0.332
"P27","No sabe",0.018,0.056,0.073
"P28","El gobierno de Javier Milei",0.089,0.534,0.066
"P28","El gobierno de Alberto Fernández",0.839,0.226,0.632
"P28","Ambos",0.049,0.226,0.202
"P28","No sabe",0.023,0.014,0.1
"P29","Dividirla en partes y transformarlas en varios decretos de necesidad y urgencia",0.278,0.05,0.144
"P29","Dividirlas en diferentes leyes que se puedan ir votando paulatinamente",0.337,0.343,0.344
"P29","Realizar un plebiscito sobre la necesidad del tratamiento de la ley ómnibus",0.211,0.092,0.218
"P29","Retirarla y no presentar nada",0.045,0.477,0.064
"P29","Volverla a presentar igual",0.117,0.005,0.006
"P29","No sabe",0.012,0.033,0.224
"P31","Muy buena",0.193,0.263,0.197
"P31","Buena",0.255,0.34,0.396
"P31","Ni buena ni mala",0.316,0.336,0.308
"P31","Mala",0.17,0.043,0.071
"P31","Muy mala",0.05,0.013,0.021
"P31","No sabe",0.016,0.005,0.007
"P32","Muy buena",0.088,0.143,0.162
"P32","Buena",0.132,0.278,0.105
"P32","Ni buena ni mala",0.329,0.392,0.264
"P32","Mala",0.281,0.117,0.353
"P32","Muy mala",0.127,0.031,0.05
"P32","No sabe",0.043,0.039,0.066
"P33","Muy buena",0.101,0.06,0.107
"P33","Buena",0.082,0.184,0.124
"P33","Ni buena ni mala",0.215,0.318,0.263
"P33","Mala",0.362,0.293,0.362
"P33","Muy mala",0.191,0.137,0.071
"P33","No sabe",0.049,0.008,0.073
"P34","Muy buena",0.096,0.052,0.031
"P34","Buena",0.119,0.195,0.134
"P34","Ni buena ni mala",0.372,0.477,0.443
"P34","Mala",0.236,0.149,0.291
"P34","Muy mala",0.106,0.09,0.025
"P34","No sabe",0.071,0.037,0.076
"P35","Muy buena",0.142,0.191,0.07
"P35","Buena",0.084,0.276,0.071
"P35","Ni buena ni mala",0.254,0.353,0.308
"P35","Mala",0.299,0.106,0.407
"P35","Muy mala",0.182,0.054,0.056
"P35","No sabe",0.039,0.02,0.088
"P36","Muy buena",0.073,0.359,0.049
"P36","Buena",0.058,0.22,0.046
"P36","Ni buena ni mala",0.069,0.143,0.114
"P36","Mala",0.318,0.162,0.434
"P36","Muy mala",0.474,0.114,0.354
"P36","No sabe",0.008,0.002,0.003
"P37","Muy buena",0.198,0.077,0.029
"P37","Buena",0.26,0.077,0.095
"P37","Ni buena ni mala",0.301,0.095,0.444
"P37","Mala",0.14,0.38,0.331
"P37","Muy mala",0.094,0.368,0.101
"P37","No sabe",0.007,0.003,0
"P38","Muy buena",0.044,0.165,0.031
"P38","Buena",0.071,0.305,0.045
"P38","Ni buena ni mala",0.121,0.272,0.135
"P38","Mala",0.334,0.137,0.45
"P38","Muy mala",0.419,0.114,0.336
"P38","No sabe",0.011,0.007,0.003
"P39","Muy buena",0.69,0.057,0.138
"P39","Buena",0.189,0.076,0.244
"P39","Ni buena ni mala",0.047,0.141,0.407
"P39","Mala",0.039,0.324,0.125
"P39","Muy mala",0.032,0.386,0.08
"P39","No sabe",0.003,0.016,0.006
"P40","Muy buena",0.529,0.047,0.102
"P40","Buena",0.297,0.095,0.241
"P40","Ni buena ni mala",0.119,0.1,0.332
"P40","Mala",0.027,0.31,0.251
"P40","Muy mala",0.028,0.446,0.071
"P40","No sabe",0,0.002,0.003
"P41","Muy buena",0.332,0.026,0.023
"P41","Buena",0.258,0.054,0.108
"P41","Ni buena ni mala",0.325,0.198,0.507
"P41","Mala",0.038,0.313,0.195
"P41","Muy mala",0.02,0.374,0.056
"P41","No sabe",0.027,0.035,0.111
"P42","Muy buena",0.664,0.059,0.094
"P42","Buena",0.168,0.074,0.307
"P42","Ni buena ni mala",0.11,0.206,0.291
"P42","Mala",0.012,0.236,0.087
"P42","Muy mala",0.04,0.399,0.111
"P42","No sabe",0.006,0.026,0.11
"P43","Muy buena",0.166,0.021,0.083
"P43","Buena",0.229,0.14,0.153
"P43","Ni buena ni mala",0.439,0.381,0.378
"P43","Mala",0.1,0.25,0.169
"P43","Muy mala",0.051,0.174,0.035
"P43","No sabe",0.015,0.034,0.182
"P44","Muy buena",0.279,0.029,0.021
"P44","Buena",0.315,0.036,0.218
"P44","Ni buena ni mala",0.285,0.2,0.364
"P44","Mala",0.041,0.268,0.19
"P44","Muy mala",0.075,0.437,0.095
"P44","No sabe",0.005,0.03,0.112
"P45","Muy buena",0.249,0.02,0.029
"P45","Buena",0.199,0.056,0.119
"P45","Ni buena ni mala",0.405,0.287,0.293
"P45","Mala",0.049,0.304,0.155
"P45","Muy mala",0.052,0.271,0.047
"P45","No sabe",0.046,0.062,0.357
