"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.149,0.135,0.165,0.127,0.144,0.137,0.23,0.176,0.127,0.154,0.133,0.191,0.057,0.246,0.072,0.218,0.181,0.119,6
"Buena",0.188,0.218,0.154,0.204,0.173,0.193,0.206,0.152,0.216,0.183,0.171,0.224,0.092,0.376,0.066,0.236,0.181,0.194,6
"Ni buena ni mala",0.256,0.259,0.253,0.257,0.273,0.253,0.201,0.347,0.245,0.193,0.296,0.225,0.198,0.225,0.149,0.348,0.238,0.274,6
"Mala",0.151,0.148,0.154,0.212,0.126,0.153,0.137,0.15,0.178,0.118,0.171,0.122,0.176,0.087,0.269,0.085,0.187,0.118,6
"Muy mala",0.23,0.216,0.246,0.2,0.253,0.237,0.183,0.14,0.202,0.342,0.197,0.23,0.423,0.061,0.412,0.096,0.201,0.257,6
"No sabe",0.026,0.024,0.028,0,0.031,0.027,0.043,0.035,0.032,0.01,0.032,0.008,0.054,0.005,0.032,0.017,0.012,0.038,6
"Positiva",0.337,0.353,0.319,0.331,0.317,0.33,0.436,0.328,0.343,0.337,0.304,0.415,0.149,0.622,0.138,0.454,0.362,0.313,4
"Neutra",0.256,0.259,0.253,0.257,0.273,0.253,0.201,0.347,0.245,0.193,0.296,0.225,0.198,0.225,0.149,0.348,0.238,0.274,4
"Negativa",0.381,0.364,0.4,0.412,0.379,0.39,0.32,0.29,0.38,0.46,0.368,0.352,0.599,0.148,0.681,0.181,0.388,0.375,4
"No sabe",0.026,0.024,0.028,0,0.031,0.027,0.043,0.035,0.032,0.01,0.032,0.008,0.054,0.005,0.032,0.017,0.012,0.038,4
