"var","categoria","Alto","Regular","Bajo","No sabe"
"P08","Siempre",0.317,0.184,0.184,0.198
"P08","Casi siempre",0.275,0.39,0.393,0.352
"P08","Casi nunca",0.273,0.307,0.288,0.126
"P08","Nunca, pero esta es una excepción",0.135,0.119,0.135,0.324
"P09","Muy buena",0.216,0.12,0.14,0.129
"P09","Buena",0.345,0.298,0.22,0.126
"P09","Ni buena ni mala",0.252,0.399,0.356,0.477
"P09","Mala",0.12,0.133,0.193,0.202
"P09","Muy mala",0.061,0.042,0.077,0
"P09","No sabe",0.006,0.008,0.014,0.066
"P10","Muy buena",0.321,0.176,0.173,0.271
"P10","Buena",0.285,0.364,0.28,0.237
"P10","Ni buena ni mala",0.235,0.31,0.286,0.368
"P10","Mala",0.097,0.094,0.148,0.064
"P10","Muy mala",0.047,0.044,0.082,0
"P10","No sabe",0.015,0.012,0.031,0.06
"P13","Si",0.67,0.651,0.613,0.452
"P13","No",0.172,0.129,0.194,0.112
"P13","No sabe",0.158,0.22,0.193,0.436
"P14","Si",0.772,0.671,0.709,0.316
"P14","No",0.108,0.106,0.174,0.2
"P14","No sabe",0.12,0.223,0.117,0.484
"P15","Si",0.766,0.764,0.756,0.535
"P15","No",0.138,0.14,0.16,0.078
"P15","No sabe",0.096,0.096,0.084,0.387
"P16","Si",0.553,0.571,0.57,0.543
"P16","No",0.343,0.31,0.354,0.14
"P16","No sabe",0.104,0.119,0.076,0.317
"P17","El gobierno nacional",0.204,0.2,0.204,0.162
"P17","El gobierno provincial anterior del MPN",0.448,0.577,0.426,0.285
"P17","El actual gobierno provincial de Rolo Figueroa",0.088,0.091,0.109,0.067
"P17","Todos igual",0.155,0.103,0.202,0.27
"P17","No sabe",0.105,0.029,0.059,0.216
"P18","Es un logro muy importante del Gobierno provincial",0.312,0.251,0.205,0.347
"P18","Está bien, pero es insuficiente para resolver la situación de emergencia",0.465,0.568,0.455,0.334
"P18","No alcanza para nada y son negocios del gobierno Provincial",0.111,0.107,0.234,0.178
"P18","No alcanza para nada porque el gobierno gestionó mal la compra",0.023,0.027,0.029,0.027
"P18","No sabe",0.089,0.047,0.077,0.114
"P19","Si",0.711,0.571,0.442,0.507
"P19","No",0.188,0.192,0.251,0.104
"P19","No sabe",0.101,0.237,0.307,0.389
"P20","Si",0.641,0.361,0.341,0.433
"P20","No",0.227,0.271,0.323,0.092
"P20","No sabe",0.132,0.368,0.336,0.475
"P23","Buena",0.503,0.234,0.092,0.23
"P23","Regular",0.351,0.541,0.367,0.207
"P23","Mala",0.124,0.21,0.495,0.218
"P23","No sabe",0.022,0.015,0.046,0.345
"P24","Buena",0.599,0.162,0.011,0.221
"P24","Regular",0.351,0.626,0.455,0.197
"P24","Mala",0.027,0.173,0.497,0.149
"P24","No sabe",0.023,0.039,0.037,0.433
"P25","Buena",0.579,0.168,0.045,0.123
"P25","Regular",0.243,0.509,0.319,0.195
"P25","Mala",0.045,0.161,0.501,0.041
"P25","No sabe",0.133,0.162,0.135,0.641
"P26","La capacitación para atender a la gente",0.207,0.244,0.166,0.097
"P26","La infraestructura y equipamiento de la fuerza",0.354,0.197,0.06,0.032
"P26","La formación técnica y profesional",0.152,0.265,0.465,0.24
"P26","La cantidad y distribución de los efectivos",0.109,0.148,0.086,0.148
"P26","La velocidad de respuesta ante las denuncias",0.024,0.089,0.124,0.181
"P26","Otros",0.11,0.042,0.078,0.059
"P26","No sabe",0.044,0.015,0.021,0.243
"P28","El gobierno de Javier Milei",0.278,0.229,0.325,0.328
"P28","El gobierno de Alberto Fernández",0.636,0.649,0.429,0.211
"P28","Ambos",0.044,0.106,0.228,0.32
"P28","No sabe",0.042,0.016,0.018,0.141
"P29","Dividirla en partes y transformarlas en varios decretos de necesidad y urgencia",0.313,0.2,0.052,0.103
"P29","Dividirlas en diferentes leyes que se puedan ir votando paulatinamente",0.269,0.376,0.34,0.201
"P29","Realizar un plebiscito sobre la necesidad del tratamiento de la ley ómnibus",0.141,0.16,0.157,0.272
"P29","Retirarla y no presentar nada",0.193,0.177,0.331,0.253
"P29","Volverla a presentar igual",0.053,0.056,0.066,0.029
"P29","No sabe",0.031,0.031,0.054,0.142
"P30","Javier Milei",0.582,0.494,0.415,0.212
"P30","Los gobernadores",0.363,0.401,0.48,0.607
"P30","No sabe",0.055,0.105,0.105,0.181
"P31","Muy buena",0.386,0.191,0.175,0.243
"P31","Buena",0.269,0.357,0.246,0.337
"P31","Ni buena ni mala",0.214,0.325,0.387,0.305
"P31","Mala",0.076,0.087,0.154,0.083
"P31","Muy mala",0.025,0.038,0.029,0
"P31","No sabe",0.03,0.002,0.009,0.032
"P32","Muy buena",0.177,0.105,0.108,0.109
"P32","Buena",0.21,0.21,0.169,0.077
"P32","Ni buena ni mala",0.284,0.379,0.349,0.296
"P32","Mala",0.205,0.21,0.25,0.105
"P32","Muy mala",0.081,0.071,0.097,0.014
"P32","No sabe",0.043,0.025,0.027,0.399
"P33","Muy buena",0.139,0.083,0.058,0.048
"P33","Buena",0.252,0.111,0.075,0.25
"P33","Ni buena ni mala",0.242,0.267,0.28,0.202
"P33","Mala",0.221,0.359,0.358,0.309
"P33","Muy mala",0.117,0.15,0.203,0.033
"P33","No sabe",0.029,0.03,0.026,0.158
"P34","Muy buena",0.114,0.063,0.046,0.182
"P34","Buena",0.264,0.135,0.122,0.088
"P34","Ni buena ni mala",0.381,0.466,0.376,0.504
"P34","Mala",0.113,0.224,0.245,0.054
"P34","Muy mala",0.05,0.075,0.148,0.011
"P34","No sabe",0.078,0.037,0.063,0.161
"P35","Muy buena",0.24,0.132,0.131,0.276
"P35","Buena",0.198,0.181,0.135,0.053
"P35","Ni buena ni mala",0.23,0.342,0.262,0.487
"P35","Mala",0.167,0.234,0.26,0.125
"P35","Muy mala",0.128,0.087,0.16,0.016
"P35","No sabe",0.037,0.024,0.052,0.043
"P36","Muy buena",0.242,0.151,0.229,0.22
"P36","Buena",0.109,0.138,0.115,0.169
"P36","Ni buena ni mala",0.145,0.111,0.069,0.157
"P36","Mala",0.215,0.266,0.266,0.379
"P36","Muy mala",0.267,0.332,0.321,0.075
"P36","No sabe",0.022,0.002,0,0
"P37","Muy buena",0.307,0.119,0.045,0.114
"P37","Buena",0.23,0.197,0.097,0.045
"P37","Ni buena ni mala",0.144,0.232,0.233,0.476
"P37","Mala",0.138,0.287,0.31,0.136
"P37","Muy mala",0.159,0.165,0.314,0.229
"P37","No sabe",0.022,0,0.001,0
"P38","Muy buena",0.158,0.061,0.097,0.191
"P38","Buena",0.152,0.178,0.157,0.234
"P38","Ni buena ni mala",0.202,0.179,0.201,0.098
"P38","Mala",0.178,0.289,0.249,0.424
"P38","Muy mala",0.275,0.288,0.296,0.053
"P38","No sabe",0.035,0.005,0,0
"P39","Muy buena",0.485,0.407,0.262,0.156
"P39","Buena",0.144,0.164,0.125,0.092
"P39","Ni buena ni mala",0.107,0.127,0.107,0.25
"P39","Mala",0.107,0.151,0.227,0.211
"P39","Muy mala",0.15,0.15,0.257,0.282
"P39","No sabe",0.007,0.001,0.022,0.009
"P40","Muy buena",0.446,0.304,0.174,0.177
"P40","Buena",0.222,0.214,0.196,0.12
"P40","Ni buena ni mala",0.042,0.162,0.141,0.078
"P40","Mala",0.116,0.17,0.181,0.28
"P40","Muy mala",0.169,0.15,0.308,0.335
"P40","No sabe",0.005,0,0,0.01
"P41","Muy buena",0.268,0.185,0.113,0.072
"P41","Buena",0.204,0.159,0.139,0.07
"P41","Ni buena ni mala",0.238,0.335,0.227,0.476
"P41","Mala",0.1,0.167,0.222,0.076
"P41","Muy mala",0.136,0.12,0.265,0.259
"P41","No sabe",0.054,0.034,0.034,0.047
"P42","Muy buena",0.463,0.379,0.271,0.166
"P42","Buena",0.162,0.157,0.114,0.056
"P42","Ni buena ni mala",0.162,0.171,0.174,0.079
"P42","Mala",0.043,0.139,0.113,0.169
"P42","Muy mala",0.165,0.138,0.316,0.163
"P42","No sabe",0.005,0.016,0.012,0.367
"P43","Muy buena",0.175,0.096,0.056,0.041
"P43","Buena",0.167,0.221,0.142,0.132
"P43","Ni buena ni mala",0.425,0.429,0.372,0.36
"P43","Mala",0.118,0.173,0.206,0.081
"P43","Muy mala",0.089,0.051,0.195,0.037
"P43","No sabe",0.026,0.03,0.029,0.349
"P44","Muy buena",0.227,0.151,0.105,0.086
"P44","Buena",0.217,0.236,0.103,0.106
"P44","Ni buena ni mala",0.225,0.264,0.274,0.159
